snr,arm,method,span95_M,span90_M,median_support_error,median_full_annulus_error,fraction_any_old_span
100,direct,ridge,0,0,0.9534556221907442,1.2886996326428708,0.029166666666666667
100,direct,tsvd,0,0,1.0123614701158634,1.057646584293951,0.004166666666666667
100,labelled,ridge,2,2,0.09631524106964977,0.695014500368522,0.95
100,labelled,tsvd,0,0,0.13771350464933446,0.8918935184289742,0.6666666666666666
300,direct,ridge,0,0,0.9436484549803426,1.2755986087844742,0.03333333333333333
300,direct,tsvd,0,0,0.9825515306662396,1.0029941391790285,0.004166666666666667
300,labelled,ridge,28,28,0.04664369371549799,0.5555637333950529,1.0
300,labelled,tsvd,2,2,0.06783079833090346,0.8044006233159623,0.9916666666666667
