family,median_direct_error,median_labelled_error,median_paired_reduction,improved_pairs,pairs
single_hotspot,0.9436484549803426,0.04762491469940083,0.9541019299097073,80,80
double_hotspot,1.0030633240578468,0.04703642875015141,0.9566048771904703,80,80
flare_drift,0.8069269909487096,0.042075839746379406,0.95968703577836,80,80
