regime,arm,estimator,snr0,family,index,selected_hyperparameter,old_band_feature_error,radial_error_old,angular_error_old_rad,t_birth_error,tau_decay_error
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,1,1.0,0.8630089613054654,0.5579965115763674,1.497677029416708,3.4,2.9
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,2,1.0,0.8774488159727529,0.5614229317079709,1.6285829111698957,3.4,3.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,3,1.0,0.8799839035736536,0.5598756021035204,1.7619714650653422,3.3,2.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,4,1.0,0.8809129683377201,0.5597748106591437,1.7470448343900806,3.4,2.1
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,5,1.0,0.8615652855296875,0.559641342202594,1.4411069412072977,3.4,2.3
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,6,1.0,0.8742622263090054,0.5610193529387105,1.6192507694494729,3.4,1.3
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,7,1.0,0.880790389702113,0.5580779605633912,1.7214931323083913,3.4,1.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,0,1.0,0.8643739657202505,0.530320995192767,2.90684886216539,3.4,1.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,1,1.0,0.7829715907782115,0.5384602329878387,1.815537880391051,3.4,2.3
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,2,1.0,0.8240263925559848,0.5345546362498548,1.0396237424325134,3.3,1.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,3,1.0,0.781898679546321,0.5219425446967246,0.7901658416099071,3.3,4.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,4,1.0,0.7037767078128409,0.4825405497913237,0.2866159199707824,3.4,0.6
