regime,arm,estimator,snr0,hyperparameter,selection_error
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,568336136032197.6
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,793388696782080.9
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,1153974541545423.0
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-08,1764507967019984.0
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,2612417574862720.0
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-09,3740073046523980.5
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,5384498802509551.0
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-10,8434208016730827.0
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1.0,1970989359909.7185
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.31622776601683794,8741667048786.027
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.1,26832362394272.75
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.03162277660168379,26749824600001.652
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.01,158291901999917.88
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.0031622776601683794,580233085894110.4
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.001,781453770200377.4
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.00031622776601683794,1400788476218382.0
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.0001,6355544672485779.0
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,3.1622776601683795e-05,2.0144066023150656e+16
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1e-05,4.5977536382660584e+16
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,3.162277660168379e-06,9.904220425512467e+16
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1e-06,2.101172770654271e+17
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,3.162277660168379e-07,4.090856753333936e+17
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1e-07,1.283550971213743e+18
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,2947280951405.6743
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.31622776601683794,5924028232646.136
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.1,10233087382585.236
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.03162277660168379,15866381410556.594
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.01,21791490505413.453
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.0031622776601683794,30127807691080.855
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.001,47810310406803.79
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.00031622776601683794,82396459600072.7
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.0001,138772242884823.3
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,232873032325693.1
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-05,377867390036369.75
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-06,561210278690911.56
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-06,778233488195223.9
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-07,1120887806239239.9
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-07,1841488722689795.0
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-08,3395813754541234.0
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-08,6418353525093469.0
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,1.1374086289027258e+16
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-09,1.806757704584604e+16
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,2.7040695590234144e+16
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-10,3.986684675971184e+16
oracle_known,TOTAL_FLUX,TSVD,100.0,1.0,2229026394371.912
oracle_known,TOTAL_FLUX,TSVD,100.0,0.31622776601683794,2210470520235.3384
oracle_known,TOTAL_FLUX,TSVD,100.0,0.1,8407385803930.398
oracle_known,TOTAL_FLUX,TSVD,100.0,0.03162277660168379,8407385803930.398
oracle_known,TOTAL_FLUX,TSVD,100.0,0.01,13494582495262.771
oracle_known,TOTAL_FLUX,TSVD,100.0,0.0031622776601683794,19475208731138.543
