regime,arm,estimator,snr0,mean_direct,mean_arm,cell_mean,median,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,n_truths,n_cells,n_families_improved,n_families,meets_materiality,improved_circular_hotspot_trajectory
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.8233181547078913,0.7415300635262406,0.09981986493671138,0.08217431559384546,0.06017959717379866,0.1456179966891039,0.05476217590719299,0.14944241891231635,8,1,1,1,False,True
oracle_known,TOTAL_FLUX,TSVD,100.0,0.8233181547078913,0.8300159380178344,-0.0095154128461718,-0.0016496590475413198,-0.03795898912137748,0.0190316635948597,-0.042846004420506935,0.022988560990682937,8,1,0,1,False,False
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.8233181547078913,0.8137436446044212,0.01210863316775867,0.0029802440613722926,-0.020406311052911935,0.0471582492901321,-0.04136819496380516,0.05141657102660387,8,1,1,1,False,True
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.8153548776496486,0.6841087413108297,0.1576940738971855,0.19446889236984888,0.0733909070217551,0.21883481343001757,0.10676396024656729,0.2187413372373256,8,1,1,1,True,True
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.8153548776496486,0.8287609912516338,-0.01721470406405009,-0.025548274193218052,-0.04532854372924108,0.012416603571255376,-0.043499280890539595,0.03745367714983268,8,1,0,1,False,False
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.8153548776496486,0.7302982605534525,0.1045423431010804,0.1094396241004196,0.0695542110623292,0.1434047382379529,0.05006961692590643,0.13125906471286686,8,1,1,1,True,True
oracle_known,RESOLVED_PHYSICAL,TSVD,1000.0,0.8233788439044656,0.7439226383805975,0.09694323201799028,0.06711153887156177,0.048712563292772175,0.15126712737841255,0.020217679747349275,0.17565388577612573,8,1,1,1,False,True
oracle_known,TOTAL_FLUX,TSVD,1000.0,0.8233788439044656,0.8436710013873674,-0.02627681151644725,-0.033412313817170344,-0.061181257806806805,0.010143065522533887,-0.07799597817837954,0.03509683843322073,8,1,0,1,False,False
oracle_known,UNRESOLVED_IMAGE,TSVD,1000.0,0.8233788439044656,0.8154175439420634,0.010038685986547169,-0.003145917590499487,-0.023315062929357252,0.04627430695712664,-0.04452031479059888,0.05991754270965309,8,1,1,1,False,True
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.8097422274303732,0.7238709964678478,0.1040937219777566,0.11551595528288539,0.05364057705343664,0.15143151219479767,0.03432678188241413,0.1256352828432043,8,1,1,1,False,True
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.8097422274303732,0.8435525503013144,-0.042787890530326785,-0.041840137184682914,-0.07837270060568884,-0.008770040117579592,-0.08373750177631523,0.023659976615261844,8,1,0,1,False,False
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.8097422274303732,0.7338199252668187,0.09375605904346551,0.10349522706571965,0.05318580223339668,0.13702827277555218,0.02014681404266317,0.12737708789054322,8,1,1,1,False,True
