class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized,n_stable_multi_states
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,0.1,0.7425537847313743,0.7425537847313743,0.7425537847313743,0.7425537847313743,0.5450819672131149,0.7425537847313743,0.5450819672131149,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,0.1,0.7418801947100553,0.741675422383477,0.741675422383477,0.7418801947100553,0.5409836065573771,0.741675422383477,0.5409836065573771,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,2,0.1,0.8984649393623543,0.8984649393623543,0.8984649393623543,0.8984649393623543,0.790983606557377,0.8984649393623543,0.790983606557377,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,3,0.1,0.9316649299849525,0.9316649299849525,0.9316649299849525,0.9316649299849525,0.6967213114754098,0.9316649299849525,0.6967213114754098,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,4,0.1,0.8460193759590161,0.8417030095909435,0.8417030095909435,0.8460193759590161,0.6885245901639344,0.8417030095909435,0.6885245901639344,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,5,0.1,0.7782245937500056,0.7782245937500056,0.7782245937500056,0.7782245937500056,0.7049180327868853,0.7782245937500056,0.7049180327868853,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,0,0.1,0.8272265508608996,0.823647947157379,0.823647947157379,0.8272265508608996,0.7172131147540983,0.823647947157379,0.7172131147540983,1.6624672075003735,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,1,0.1,0.5101621921246596,0.5130352261863284,0.41641622566279046,0.5101621921246596,0.16393442622950818,0.5130352261863284,0.16393442622950818,1.350298842518761,132
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,2,0.1,0.7806034771391908,0.7736093212892265,0.7736093212892265,0.7806034771391908,0.6065573770491803,0.7736093212892265,0.6065573770491803,1.630636351709856,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,3,0.1,0.8373744679163291,0.8370007295945359,0.8370007295945359,0.8373744679163291,0.6885245901639344,0.8370007295945359,0.6885245901639344,1.6747489358326582,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,4,0.1,0.5013697256862072,0.4849418857670721,0.3368674422365476,0.5013697256862072,0.012295081967213115,0.4849418857670721,0.012295081967213115,1.3436740712256146,92
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,5,0.1,0.7188563356116769,0.7188563356116768,0.3408987843671479,0.7188563356116769,0.6557377049180327,0.7188563356116768,0.6557377049180327,0.7741905849061291,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,0,0.1,0.7587079009730988,0.7587079009730988,0.7587079009730988,0.7587079009730988,0.5573770491803278,0.7587079009730988,0.5573770491803278,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,1,0.1,0.6655003700627802,0.6588725527454657,0.6588725527454657,0.6655003700627802,0.5737704918032787,0.6588725527454657,0.5737704918032787,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,2,0.1,0.6914809356287335,0.6914809356287335,0.6914809356287335,0.6914809356287335,0.6065573770491803,0.6914809356287335,0.6065573770491803,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,3,0.1,0.5770217060284389,0.5770217060284389,0.5770217060284389,0.5770217060284389,0.5081967213114754,0.5770217060284389,0.5081967213114754,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,4,0.1,0.5556433858499847,0.5556433858499847,0.5556433858499847,0.5556433858499847,0.5081967213114754,0.5556433858499847,0.5081967213114754,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,5,0.1,0.8754537999038894,0.8754537999038894,0.8754537999038894,0.8754537999038894,0.5901639344262295,0.8754537999038894,0.5901639344262295,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,0,0.1,0.6434085308725788,0.6434085308725788,0.6434085308725788,0.6434085308725788,0.5573770491803278,0.6434085308725788,0.5573770491803278,1.2868170617451575,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,1,0.1,0.766750210409574,0.766750210409574,0.766750210409574,0.766750210409574,0.5860655737704918,0.766750210409574,0.5860655737704918,1.727974561260115,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,2,0.1,0.8241337909782589,0.8215267957761312,0.8215267957761312,0.8241337909782589,0.639344262295082,0.8215267957761312,0.639344262295082,1.7206110499828755,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,3,0.1,0.680800880190843,0.680800880190843,0.680800880190843,0.680800880190843,0.6065573770491803,0.680800880190843,0.6065573770491803,1.3871220475297776,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,4,0.1,0.6284925815273517,0.6284925815273517,0.6284925815273517,0.6284925815273517,0.5573770491803278,0.6284925815273517,0.5573770491803278,1.2569851630547033,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,5,0.1,0.7824983461182696,0.7824983461182696,0.7824983461182696,0.7824983461182696,0.5860655737704918,0.7824983461182696,0.5860655737704918,1.5969045872648744,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,0,0.1,0.760340022773504,0.7481902610502777,0.7558733088071808,0.5563321774989547,0.10655737704918034,0.5563321774989547,0.07377049180327869,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,1,0.1,0.8801922503655524,0.8618865521023106,0.8618865521023106,0.8330844115703809,0.4385245901639344,0.8330844115703809,0.4057377049180328,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,2,0.1,0.6416667952742753,0.6319416093456562,0.6319416093456562,0.8389305951239792,0.5819672131147541,0.8340167087406531,0.5819672131147541,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,3,0.1,0.741437006544267,0.7389152662030221,0.7389152662030221,0.5252429221248938,0.3114754098360656,0.5252429221248938,0.29508196721311475,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,4,0.1,0.7321777230048796,0.7277839164847292,0.7277839164847292,0.6034451537918945,0.11475409836065574,0.6034451537918945,0.11475409836065574,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,5,0.1,0.6274570695597744,0.5649112234227955,0.5649112234227955,0.5591106197012663,0.4262295081967213,0.5591106197012663,0.4262295081967213,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,0,0.1,0.8951606157817348,0.894416685569724,0.894416685569724,0.8951606157817348,0.7295081967213115,0.894416685569724,0.7295081967213115,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,1,0.1,0.895266466138973,0.9000590430798063,0.9000590430798063,0.895266466138973,0.5860655737704918,0.9000590430798063,0.5860655737704918,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,2,0.1,0.8736201016200636,0.8732948163916212,0.8732948163916212,0.8736201016200636,0.7950819672131146,0.8732948163916212,0.7950819672131146,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,3,0.1,0.9085764659867412,0.9083133361782535,0.9083133361782535,0.9085764659867412,0.6844262295081968,0.9083133361782535,0.6844262295081968,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,4,0.1,0.8958999400888156,0.8967127860969771,0.8967127860969771,0.8958999400888156,0.4508196721311475,0.8967127860969771,0.4508196721311475,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,5,0.1,0.9320241118434688,0.9344007516570323,0.9344007516570323,0.9320241118434688,0.7418032786885246,0.9344007516570323,0.7418032786885246,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,0,0.1,0.7309792881755934,0.7309792881755934,0.7309792881755934,0.7309792881755934,0.5368852459016393,0.7309792881755934,0.5368852459016393,,0
