class,arm,estimator,snr0,PHYSICAL_END_TO_END_non_dead_direct,PHYSICAL_END_TO_END_non_dead_arm,PHYSICAL_END_TO_END_non_dead_median_reduction,PHYSICAL_END_TO_END_non_dead_ci_low,PHYSICAL_END_TO_END_non_dead_improves,PHYSICAL_END_TO_END_saturation_direct,PHYSICAL_END_TO_END_saturation_arm,CLASS_CONDITIONAL_non_dead_direct,CLASS_CONDITIONAL_non_dead_arm,CLASS_CONDITIONAL_non_dead_median_reduction,CLASS_CONDITIONAL_non_dead_ci_low,CLASS_CONDITIONAL_non_dead_improves,CLASS_CONDITIONAL_saturation_direct,CLASS_CONDITIONAL_saturation_arm
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.7556459958457586,0.7108664458454743,0.06602947082068109,0.013836739752829,True,0.5733151183970856,0.43806921675774135,0.7643365591670147,0.6869621512140803,0.08667677565068829,0.06651580142460084,True,0.5705828779599273,0.43806921675774135
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.7556459958457586,0.7485974592677718,0.006065092464655268,-0.06822382832177577,False,0.5733151183970856,0.4406876138433515,0.7643365591670147,0.7660137636336326,3.949599984584464e-05,-0.07402295703609564,False,0.5705828779599273,0.4408014571948997
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.7556459958457586,0.7558474024425208,0.0,-7.883978100996065e-05,False,0.5733151183970856,0.5480418943533698,0.7643365591670147,0.7648293591688522,-6.502374960145755e-17,-0.00035784738324706023,False,0.5705828779599273,0.5480418943533698
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,0.8002503339575573,0.75266669505218,0.05389922899448804,0.016686112469645124,True,0.6058743169398906,0.41302367941712204,0.8125935509296986,0.7234217208314484,0.08191646044567605,0.035367702923522495,True,0.603142076502732,0.41302367941712204
L448_contrast,TOTAL_FLUX,TSVD,100.0,0.8002503339575573,0.7523577350413175,0.04550645928856987,0.020203529978034332,True,0.6058743169398906,0.45116120218579236,0.8125935509296986,0.7695227428044533,0.03492970433717073,0.022618527548248064,True,0.603142076502732,0.4513888888888889
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,0.8002503339575573,0.8003215610808438,0.0,-0.0005914856069538639,False,0.6058743169398906,0.5774134790528234,0.8125935509296986,0.8134346475611055,0.0,-0.0005458023451231299,False,0.603142076502732,0.5776411657559198
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.7563611560759974,0.709018288899553,0.05375800305003661,0.012460511903043802,True,0.5853825136612021,0.4414845173041894,0.7652302629030222,0.6848141673019713,0.08972663512910418,0.05549254295935517,True,0.5823087431693988,0.4414845173041894
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.7563611560759974,0.7308445638535532,0.014953316425062452,-0.06433763814132841,False,0.5853825136612021,0.4426229508196722,0.7652302629030222,0.7477065349566933,0.012569803128356982,-0.061250942848159406,False,0.5823087431693988,0.4426229508196722
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.7563611560759974,0.7567770765912867,0.0,0.0,False,0.5853825136612021,0.5603369763205829,0.7652302629030222,0.7656211642088007,0.0,0.0,False,0.5823087431693988,0.5603369763205829
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,0.8036612804761666,0.7517189057853473,0.050916427147658275,0.022554486769976435,True,0.6316029143897998,0.4241803278688525,0.8162302120780824,0.722858926530389,0.10626875202378697,0.04078422373191164,True,0.6288706739526412,0.4241803278688525
L448_contrast,TOTAL_FLUX,TSVD,1000.0,0.8036612804761666,0.7267912450552667,0.07673159938379524,0.0271262339835597,True,0.6316029143897998,0.43522313296903453,0.8162302120780824,0.7433832520379061,0.06488564053253025,0.026491344361499466,True,0.6288706739526412,0.43522313296903453
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,0.8036612804761666,0.8024362111870355,0.0,0.0,False,0.6316029143897998,0.5984744990892532,0.8162302120780824,0.8161121282291199,0.0,-1.4057858794948998e-05,False,0.6288706739526412,0.5985883424408014
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.7106747807942385,0.6150857114934801,0.12295268005474376,0.07790668172505445,True,0.5704690346083788,0.4158697632058288,0.7082926167883192,0.6116336615604476,0.13334240432835526,0.08307335048695796,True,0.5684198542805099,0.4158697632058288
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.7106747807942385,0.7285707837333099,-0.029708402349980276,-0.10528965041368159,False,0.5704690346083788,0.4126821493624772,0.7082926167883192,0.7300184107304165,-0.03154200602833691,-0.10331923146144405,False,0.5684198542805099,0.4126821493624772
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.7106747807942385,0.7102884365530236,0.0,0.0,False,0.5704690346083788,0.5448542805100182,0.7082926167883192,0.7082787830922284,0.0,0.0,False,0.5684198542805099,0.5448542805100182
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,0.7466940718792134,0.6687816702122391,0.10365800657096484,0.05865135643513485,True,0.545992714025501,0.4196265938069217,0.7456795878843095,0.6671736341271255,0.10662152600548597,0.05878194110768961,True,0.5437158469945355,0.4196265938069217
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,0.7466940718792134,0.7075013731224646,0.04234533084121002,0.005157381474946849,True,0.545992714025501,0.4094945355191257,0.7456795878843095,0.7091991266689678,0.04234533084121002,-0.003469051581937737,False,0.5437158469945355,0.4094945355191257
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,0.7466940718792134,0.7261136174780553,0.025161745954768576,-0.04104787556262757,False,0.545992714025501,0.38160291438979954,0.7456795878843095,0.7260144932408212,0.01846553717872764,-0.040607872044867536,False,0.5437158469945355,0.38160291438979954
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.708250115247079,0.6120725407823203,0.1361368694151749,0.08312000697608878,True,0.5795765027322405,0.42087887067395263,0.7059495316148069,0.6089207535073684,0.1415765560395269,0.09374752721028137,True,0.5782103825136612,0.42087887067395263
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.708250115247079,0.6991815802562507,-0.02005041521875822,-0.0697439848303838,False,0.5795765027322405,0.4145036429872496,0.7059495316148069,0.7004777114434666,-0.01655398406942947,-0.0697439848303838,False,0.5782103825136612,0.4145036429872496
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.708250115247079,0.7083245717884241,0.0,0.0,False,0.5795765027322405,0.554872495446266,0.7059495316148069,0.7063831077216236,0.0,0.0,False,0.5782103825136612,0.554872495446266
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,0.7492663893900156,0.6703136207890779,0.11581106465104228,0.05426699222366335,True,0.5636384335154827,0.43123861566484517,0.7482996468858305,0.6680175734677243,0.11581106465104228,0.06100358047753282,True,0.5613615664845173,0.43123861566484517
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,0.7492663893900156,0.6938799283351713,0.03406390660247347,-0.0018229073790658739,False,0.5636384335154827,0.4109744990892532,0.7482996468858305,0.6953642290679639,0.03406390660247347,-0.005388444961430442,False,0.5613615664845173,0.4109744990892532
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,0.7492663893900156,0.7408854794457574,0.011561840913534675,-0.06618890517999024,False,0.5636384335154827,0.4532103825136612,0.7482996468858305,0.7399948763713181,0.005906571347926794,-0.06618890517999024,False,0.5613615664845173,0.4532103825136612
