class,arm,estimator,snr0,family,n_truths,PHYSICAL_END_TO_END_median_reduction,PHYSICAL_END_TO_END_ci_low,PHYSICAL_END_TO_END_ci_high,PHYSICAL_END_TO_END_improves,CLASS_CONDITIONAL_median_reduction,CLASS_CONDITIONAL_ci_low,CLASS_CONDITIONAL_ci_high,CLASS_CONDITIONAL_improves
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,6,0.10669213987932691,-0.0729745177049449,0.17668554289650393,False,0.1422803258251932,0.04672418973034034,0.180632693458481,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,6,0.016935451837896614,-0.06885164890967752,0.156452976860216,False,0.01615666664443673,-0.07368208265395036,0.08184148446369434,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,6,0.00013999864530093715,-7.342629007157106e-17,0.004513753970872803,False,0.00017039534777828701,-6.502374960145755e-17,0.004521528928786955,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,6,0.14241377266010943,0.055113731221390475,0.4750902683000964,True,0.17059567163127612,0.0006005191779983182,0.4974516851258602,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,6,0.08774277898938516,-0.06775438846761671,0.49028108989093955,False,0.1579689726073524,-0.11540089146127619,0.40774936173179077,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,6,0.12303442382076117,0.004465748956267106,0.2869395199709798,True,0.11616393447900689,0.007332534256796646,0.27577580149070163,True
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,6,-0.04864664042312954,-0.13732823655208082,0.11469001340573647,False,0.08920111683836587,-0.06598458288808216,0.22843307700857196,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,m1_rotating_crescent,6,0.004243463155748917,-0.13418171079940983,0.15947855243203068,False,-0.05331736524413294,-0.14062444997866902,0.09366962807266407,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,6,-0.0001922837683092636,-0.0012647255356659677,0.0,False,-0.00021462465748445188,-0.0014441968792035804,-5.7264553679642796e-05,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,6,0.09939274057387057,0.004169497304902731,0.20105749562870182,True,0.1640860437353392,0.09543611082100403,0.21523988617327675,True
