source_class,bank,family,split,index,content_hash,achieved_structure_fraction,level_fraction,target_structure_fraction,representation_floor,in_class_residual,reprojection_residual_relative,min_value,negative_mass_relative,achievable
L1056,constant_flux_structural,circular_single_hotspot,selection,0,29a12f5362906cff09112020bb4c0c93a5c9fe07db2139d5a179a023492a5790,0.7314470313263324,0.6818982624731459,,1.1519972350812007e-15,0.0,0.08406535383767179,0.0,0.0,True
L1056,constant_flux_structural,circular_single_hotspot,selection,1,d236bfac1a8545c55b24ecfe95f276111b2e31f4a41802f1374f6f38d34460c7,0.9453070670498681,0.32618177292052386,,1.5308044140384954e-15,0.0,0.08403316516647337,-4.921188259602197,0.18213106705939994,True
L1056,constant_flux_structural,circular_single_hotspot,selection,2,b29d2b46906b1051ac11a934a75e8ccd14c6491067713915e3af901b9a03db57,0.9289737141693118,0.3701456988571847,,1.2531060752497414e-15,0.0,0.08410672768741562,-0.02534734733424491,0.0011187176319318295,True
L1056,constant_flux_structural,circular_single_hotspot,selection,3,197eba50310d523d32a4832233b5ba7fad23a5915244f96899b6c598fe67af33,0.7798257488347516,0.6259966465200264,,1.3166356269267981e-15,0.0,0.08409292611237607,-0.06376676242452717,0.005793975749467082,True
L1056,constant_flux_structural,circular_single_hotspot,selection,4,ffebe2a659a48c5bc58444396e9f2fd2c7370c3d6ee32dfa06fa37870a450526,0.7407323580436933,0.6718002483975648,,1.519378110677251e-15,0.0,0.08401938112276276,-0.08178225849353041,0.008435784198304654,True
L1056,constant_flux_structural,circular_single_hotspot,selection,5,b5129b7b20061723dbb626eadd71ea327f14441bfff43f6fd243a96e21a22311,0.8906403615765125,0.454708419023509,,1.6246745770506703e-15,0.0,0.08344922768953988,-0.8521544583287178,0.02180447545633512,True
L1056,constant_flux_structural,circular_single_hotspot,selection,6,2c1309d801865f89d8545d7188803c4f2b47da5a78b88382428765110bcbb583,0.9148711724484633,0.4037458827316685,,1.1790192403962718e-15,0.0,0.08408198596773997,-2.0897970187292056,0.1674689428654443,True
L1056,constant_flux_structural,circular_single_hotspot,selection,7,fb6ee6e0c06582ef0f3df3c8fc997a4dda93a0eb7ec427f5e17da21bed258bda,0.6565186047987889,0.7543098312716411,,1.6352885277150475e-15,0.0,0.08407301595843691,-0.0629226465804111,0.008339879589364453,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,0,521b890ecd4baf0a0c33a11c3ae7847932c9f594bde7f10ba84d2526657250c8,0.85191768983006,0.5236757104875246,,1.151820861000309e-15,0.0,0.08417218879237995,0.0,0.0,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,1,51cbc08af0ffa6ac821fda7b4f4446c8e2b9e811d0f1c2d6f02d57f2ecdd1742,0.6750751796513723,0.7377489422687554,,1.5808479728685915e-15,0.0,0.08414769330350237,0.0,0.0,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,2,ea50b959363e061ba21c184003dc34ec580ae30a9abc5705d2c8a7edfb81d57b,0.65315686745016,0.7572226267767586,,1.3547736864657673e-15,0.0,0.08405002149645747,-0.004270277116968619,0.0005702094347889906,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,3,c45f9d359d77c9ba983c34fc7fd459cfd352546d01f0b63e3c525d39861b87e7,0.869827736397412,0.49335556041637396,,1.5825400902704423e-15,0.0,0.08408241031093065,-0.5806088616939222,0.042325445312627656,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,4,8fca56e82c2d328bb614b561e9261db4b559be26e31ec89a3d3a27421ab6d63a,0.8952957629958391,0.4454722177214851,,1.3419351435646421e-15,0.0,0.0840609202712076,-1.8656306159421956,0.1733811482378411,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,5,123dace81d3b9b6646ce09cedf0a93ad782b4e0bc5d0e54c70a770cbd7d65c68,0.8988963512076165,0.43816132849172507,,1.5777466154150462e-15,0.0,0.08392310723853884,-0.39498989630996173,0.022562084619342213,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,6,c780b2e0cac3911a444be334bb064806e268cfe073cb46bc09467e48573cc798,0.7731773668475755,0.6341898449160548,,1.3701940051801835e-15,0.0,0.08408341681386418,-0.11891062898010696,0.011519268201739302,True
L1056,constant_flux_structural,circular_single_hotspot,pilot,7,528941ca38618b832cb4f3b77ea1bbf015cc55ac90c2178b9121e1d9e305b8d9,0.8891420103019559,0.45763138606983295,,1.0691889360694971e-15,0.0,0.08405318130718095,-1.3078059641191384,0.14364740132774664,True
L1056,constant_flux_structural,circular_two_hotspots,selection,0,4ded28aa3be2240d607f7269c4bb1a7cd5f7334c06fed9a37bfceb12a98f2c4b,0.7319273194824405,0.6813827111067975,,1.4033781692525124e-15,0.0,0.08456892249695296,-0.0007184771256892742,8.746041707445432e-06,True
L1056,constant_flux_structural,circular_two_hotspots,selection,1,8570fb78c76a8fe898510d4e3ac8cd9f485e8e23c3535e08db856e4e4328e03a,0.8142879031526478,0.580461205231895,,1.4830711488372047e-15,0.0,0.08331070412443706,-0.40855864129945096,0.0325994758540765,True
L1056,constant_flux_structural,circular_two_hotspots,selection,2,71dfe0a9da7ebc5c36cdff6eb244f3daf76ad9d6a76726005053db6afb7dc01d,0.8191393996474473,0.5735944943470253,,1.4179456651175784e-15,0.0,0.08282280481661149,-1.4113211979619935,0.13080533890519985,True
L1056,constant_flux_structural,circular_two_hotspots,selection,3,9a341cf5d2f4a6118e947d9c8de29024df0cdfb6e94e19d3a30c0221865b2599,0.7248971211118556,0.6888571432479624,,1.4129036413688978e-15,0.0,0.08625195534574659,-0.5559975156014241,0.05725540041704488,True
L1056,constant_flux_structural,circular_two_hotspots,selection,4,1e8a11518232e34ba0b0538300177cd7ed3d57e7f68496e101b45ed1402c1ae0,0.7202432414633618,0.6937216106813665,,1.430674169105769e-15,0.0,0.08853803174714629,-0.11879527818872308,0.0033935871163705035,True
L1056,constant_flux_structural,circular_two_hotspots,selection,5,a38ae193759ce694e2a494fbf76d7c6ec0b1343513485771f0101b67d174b9da,0.745975880330825,0.6659729618870804,,1.510822208725731e-15,0.0,0.08237458996022139,-0.3801163854662176,0.03127814283263788,True
L1056,constant_flux_structural,circular_two_hotspots,selection,6,50d92aa9d8586c5620ed36cab61a3602d880eb211fcedd84847d6561de02e568,0.7227673404638429,0.6910914350205937,,1.365033276576158e-15,0.0,0.08539929900157761,-0.40145484470993886,0.03582036258084609,True
L1056,constant_flux_structural,circular_two_hotspots,selection,7,796536ba905c663f7db2d2df45eb7dc0126d56315af0a04d16a5fe0fed81adc7,0.702920294456972,0.7112686269199027,,1.4740409998250804e-15,0.0,0.08425604453656392,-0.17439979312195955,0.024257496315985255,True
