source_class,arm,estimator,snr0,scope,bank,n_banks_in_scope,mean_direct,mean_arm,median_relative_reduction,median_ci_low,median_ci_high,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L1056,RESOLVED_PHYSICAL,TSVD,100.0,physical_banks_only,MULTI,2,3.1191245118504733,2.4596330909797643,0.16819950229342667,0.09894080885580268,0.24090038156467936,0.11634226275435527,0.0390712225778172,0.1870731770534436,3,True,64,8,False,True,True,True,False,,True,True
L1056,TOTAL_FLUX,TSVD,100.0,physical_banks_only,MULTI,2,3.1191245118504733,3.0979109550457964,0.005635526126281111,-0.0002739264222377883,0.012879428146741013,0.02680088952053304,0.01293352742010886,0.04318136307825303,2,True,64,8,False,True,False,False,True,,True,True
L1056,UNRESOLVED_IMAGE,TSVD,100.0,physical_banks_only,MULTI,2,3.1191245118504733,2.9712518845660716,0.00900708806835648,-0.08357773069358246,0.08976298561515163,-0.023700981382846396,-0.0787703328463338,0.02840311953394003,3,True,64,8,False,True,True,True,False,,True,True
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,2.693170239833506,2.0448300886832484,0.24366716853028036,0.04373194031336306,0.3480389965394954,0.003287366419233488,-0.1438975702283104,0.1362495706937007,3,True,64,8,False,True,True,True,False,,True,True
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,2.693170239833506,2.847708750011261,-0.036414375587725256,-0.06361432624438045,-0.010002164853267426,-0.019443144337519105,-0.05020233711820281,0.013430076972777047,1,False,64,8,False,False,False,False,True,,False,False
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,2.693170239833506,2.5238925708871713,0.04587014283483125,-0.059563662053993015,0.1194459505884107,-0.07751699039903445,-0.16603892493518138,0.0049297862411193565,3,True,64,8,False,True,True,True,False,,True,True
L224,RESOLVED_PHYSICAL,TSVD,100.0,physical_banks_only,MULTI,2,2.725089852901979,2.3724069469789315,0.1563334387293922,-0.14073439645698982,0.2817867199237199,-0.26046382286482306,-0.5209623475842761,-0.040331153294114165,3,True,64,8,False,True,True,True,False,,True,True
L224,TOTAL_FLUX,TSVD,100.0,physical_banks_only,MULTI,2,2.725089852901979,2.8581631141608606,-0.03151935477162921,-0.055181207991957665,-0.0003534753035276172,-0.026454362998850352,-0.0472821848779702,-0.005095316473120009,1,False,64,8,False,False,False,False,True,,False,False
L224,UNRESOLVED_IMAGE,TSVD,100.0,physical_banks_only,MULTI,2,2.725089852901979,2.567115620478673,0.012840759424390065,-0.03535359620648598,0.10735172401319015,-0.03687566757288347,-0.09837878626122368,0.020492990004082726,3,True,64,8,False,True,True,True,False,,True,True
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,2.8711927766171903,2.1842431079170375,0.2701761162884062,0.13413067848096566,0.31126884206171895,0.05123371137327616,-0.07384976177284024,0.1622488049599724,3,True,64,8,False,True,True,True,False,,True,True
