source_class,arm,estimator,snr0,bank,family,index,selected_hyperparameter,old_band_structure_error,running_max_rel_at_age0
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,0,0.00031622776601683794,18.51094055671849,0.5546968035733247
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,1,0.00031622776601683794,11.204846968979629,0.5787322167029154
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,2,0.00031622776601683794,10.047932504947582,0.4708859197299391
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,3,0.00031622776601683794,20.59222516287652,0.7788316956518039
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,4,0.00031622776601683794,23.858734408698957,0.7404912349513653
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,5,0.00031622776601683794,25.448831690773275,0.32548894460387245
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,6,0.00031622776601683794,14.080146518426025,0.7564860462640168
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,7,0.00031622776601683794,23.56328928299309,0.3957558398965155
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,0,0.00031622776601683794,9.606077168732607,0.9335524136356346
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,1,0.00031622776601683794,11.299407153767426,0.5670228631974398
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,2,0.00031622776601683794,9.802364590106365,0.6445946573633017
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,3,0.00031622776601683794,8.035230085149454,0.5146137798509227
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,4,0.00031622776601683794,18.054194607624368,0.4871522531891241
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,5,0.00031622776601683794,14.425641700562473,0.7162419805554294
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,6,0.00031622776601683794,25.12060837155939,0.8277619878032629
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,7,0.00031622776601683794,14.688525088535918,0.6969561794234543
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,0,0.00031622776601683794,8.604395787743229,0.6733064544897154
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,1,0.00031622776601683794,19.27836224885924,0.2125766864470867
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,2,0.00031622776601683794,10.346994633691656,0.8748054573216416
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,3,0.00031622776601683794,16.273304616931732,0.24665084320423555
L1056,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,4,0.00031622776601683794,12.545294774390642,0.7485180819043119
