snr,alpha,arm,identity_accuracy,median_target_relative_error,p90_target_relative_error,movie_pass_rate,bootstrap_movie_median,bootstrap_movie_p2p5,bootstrap_movie_p97p5,bootstrap_identity_p2p5,expected_GLS_relative_RMS,median_peak_truth_weighted_rms
100,0.08,direct,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0020451964829426
100,0.08,labelled,0.9958333333333332,0.7651482121114439,1.168332529433019,0.0041666666666666,0.0041666666666666,0.0,0.0125,0.9895833333333334,0.8363490259006049,0.0020451964829426
100,0.16,direct,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0040903929658852
100,0.16,labelled,1.0,0.3825745228757921,0.5841698316927894,0.025,0.025,0.0083333333333333,0.0458333333333333,1.0,0.4181745129503024,0.0040903929658852
100,0.24,direct,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5,1.0,0.0061355894488279
100,0.24,labelled,1.0,0.2550499598130696,0.3894489325644102,0.1708333333333333,0.1708333333333333,0.1208333333333333,0.225,1.0,0.2787830086335349,0.0061355894488279
100,0.32,direct,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0081807859317705
100,0.32,labelled,1.0,0.19128767829358,0.2920884830889871,0.2916666666666667,0.2916666666666667,0.2291666666666666,0.3541666666666667,1.0,0.2090872564751512,0.0081807859317705
100,0.4,direct,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5,1.0,0.0102259824147131
100,0.4,labelled,1.0,0.1530303093913832,0.2336722134747476,0.4875,0.4875,0.4125,0.5625,1.0,0.1672698051801209,0.0102259824147131
100,0.48,direct,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5,1.0,0.0122711788976558
100,0.48,labelled,1.0,0.1275253967978329,0.1947280337910995,0.6291666666666667,0.6291666666666667,0.5625,0.6916666666666667,1.0,0.1393915043167674,0.0122711788976558
300,0.08,direct,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0020451964829426
300,0.08,labelled,1.0,0.2505436406129858,0.375169128061307,0.1541666666666666,0.1541666666666666,0.1083333333333333,0.2,1.0,0.2787830086337848,0.0020451964829426
300,0.16,direct,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0040903929658852
300,0.16,labelled,1.0,0.1252672783925436,0.1875871852975199,0.6125,0.6125,0.5458333333333333,0.675,1.0,0.1393915043168924,0.0040903929658852
300,0.24,direct,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5,1.0,0.0061355894488279
300,0.24,labelled,1.0,0.083508491280749,0.1250598711290422,0.8645833333333334,0.8645833333333334,0.8208333333333333,0.90625,1.0,0.0929276695445949,0.0061355894488279
300,0.32,direct,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0081807859317705
300,0.32,labelled,1.0,0.0626290979461709,0.0937962141093971,0.9541666666666668,0.9541666666666668,0.9291666666666668,0.975,1.0,0.0696957521584462,0.0081807859317705
300,0.4,direct,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5,1.0,0.0102259824147131
300,0.4,labelled,1.0,0.0501014621225244,0.0750380199492763,1.0,1.0,1.0,1.0,1.0,0.0557566017267569,0.0102259824147131
300,0.48,direct,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5,1.0,0.0122711788976558
300,0.48,labelled,1.0,0.0417497050543784,0.0625325572189208,1.0,1.0,1.0,1.0,1.0,0.0464638347722974,0.0122711788976558
