class,arm,estimator,snr0,n_truths,PHYSICAL_END_TO_END_direct,PHYSICAL_END_TO_END_arm,PHYSICAL_END_TO_END_median_reduction,PHYSICAL_END_TO_END_ci_low,PHYSICAL_END_TO_END_ci_high,PHYSICAL_END_TO_END_material,CLASS_CONDITIONAL_direct,CLASS_CONDITIONAL_arm,CLASS_CONDITIONAL_median_reduction,CLASS_CONDITIONAL_ci_low,CLASS_CONDITIONAL_ci_high,CLASS_CONDITIONAL_material,CC_PROJLAB_direct,CC_PROJLAB_arm,CC_PROJLAB_median_reduction,CC_PROJLAB_ci_low,CC_PROJLAB_ci_high,CC_PROJLAB_material,PHYSICAL_END_TO_END_non_dead_median_reduction,PHYSICAL_END_TO_END_non_dead_ci_low,PHYSICAL_END_TO_END_non_dead_material,PHYSICAL_END_TO_END_saturation_direct,PHYSICAL_END_TO_END_saturation_arm,CLASS_CONDITIONAL_non_dead_median_reduction,CLASS_CONDITIONAL_non_dead_ci_low,CLASS_CONDITIONAL_non_dead_material,CLASS_CONDITIONAL_saturation_direct,CLASS_CONDITIONAL_saturation_arm
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,60,0.75989450255151,0.6652013391534031,0.1013166300205908,0.0637211074597669,0.15646427042954822,True,0.7804531703879017,0.6681354670434243,0.13202641261117842,0.0992123930578389,0.15506441528229647,True,0.7678363499131642,0.6518776619295149,0.133391049834082,0.0992123930578389,0.15951179081064684,True,0.1013166300205908,0.0637211074597669,True,0.5680327868852458,0.4279371584699454,0.13202641261117842,0.10444698532828237,True,0.5653688524590165,0.4279371584699454
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,60,0.75989450255151,0.756591279252889,0.011129002664520929,-0.03504287756904137,0.029158791506877592,False,0.7804531703879017,0.783374185858324,-0.0024004101435043407,-0.02521992878096371,0.026041977130398627,False,0.7678363499131642,0.7757227413455825,-0.003650013724774278,-0.04243717616641831,0.023093589482451018,False,0.005918798262152784,-0.036406860710777006,False,0.5680327868852458,0.4439890710382513,-0.010985874673959948,-0.03900546718382877,False,0.5653688524590165,0.44453551912568307
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,60,0.75989450255151,0.7502086020138697,8.635601888305034e-05,0.0,0.00020957962620153284,False,0.7804531703879017,0.769568478360468,5.846189103355267e-05,0.0,0.0002342128576700043,False,0.7678363499131642,0.7589211663208367,3.4407724955256644e-05,0.0,0.00028990953862913216,False,3.88133030728476e-05,0.0,False,0.5680327868852458,0.5331967213114753,0.0,0.0,False,0.5653688524590165,0.5331967213114753
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,60,0.7926216962499552,0.7091352643797851,0.060595123423292374,0.032534023551308425,0.12788693390813227,False,0.8134582262538136,0.6913628214360615,0.16169963044001526,0.09468939716797331,0.20412513840277047,True,0.8028139936798708,0.6784446462948647,0.16365271635651019,0.13366717593512245,0.2044554052128772,True,0.05640903293951739,0.032534023551308425,False,0.5918715846994534,0.40525956284153003,0.16230949114879537,0.09307336590966261,True,0.5902322404371584,0.40546448087431697
L448_contrast,TOTAL_FLUX,TSVD,100.0,60,0.7926216962499552,0.7568525867030489,0.04440453232994128,0.0020104404543869587,0.06538008608247833,False,0.8134582262538136,0.7835632850602673,0.01809178697293393,0.0019419104042298762,0.052114429554993194,False,0.8028139936798708,0.776367488156199,0.01706301210037845,-0.0012928236086125944,0.03162387646478144,False,0.03427988414263933,-0.0017959340610642042,False,0.5918715846994534,0.4459699453551913,0.016515661172226706,-2.7238700302413023e-05,False,0.5902322404371584,0.4466530054644809
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,60,0.7926216962499552,0.7917547212562821,2.742773435144474e-05,0.0,0.0002448818156035206,False,0.8134582262538136,0.8115409422761775,3.36545168108525e-05,0.0,0.0002845143473561608,False,0.8028139936798708,0.8014408342959861,0.0,0.0,0.00026498531982962917,False,0.0,0.0,False,0.5918715846994534,0.5547131147540983,0.0,0.0,False,0.5902322404371584,0.5551229508196721
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,60,0.7646416418273928,0.6734201796344119,0.10222532698138126,0.0604924916030479,0.16173937757896367,True,0.7843269802962656,0.6641770994775997,0.13458840436017416,0.09897218683131445,0.1754707946176813,True,0.7719456511776531,0.6471079529594971,0.14024397723662776,0.09945106389406717,0.18481526419148897,True,0.10222532698138126,0.05025289370592386,True,0.582172131147541,0.4383879781420765,0.1322587737877511,0.09897218683131445,True,0.5791666666666668,0.4383879781420765
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,60,0.7646416418273928,0.7616093011811175,0.01900110754581394,-0.003417704323136548,0.04184962131164828,False,0.7843269802962656,0.79501531412351,-0.011934412364366046,-0.03744956296961532,0.023120968794861845,False,0.7719456511776531,0.7888149461155368,-0.01882430228337724,-0.05399599332846863,0.022293742984084985,False,0.03431331086381818,-0.012582389241095972,False,0.582172131147541,0.4474726775956284,-0.011934412364366046,-0.03744956296961532,False,0.5791666666666668,0.44822404371584695
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,60,0.7646416418273928,0.7524130651450786,0.0,0.0,3.1037000859732974e-05,False,0.7843269802962656,0.7712855008944941,0.0,0.0,0.00010210701676071555,False,0.7719456511776531,0.7608488442564596,0.0,0.0,8.017585638685445e-05,False,0.0,0.0,False,0.582172131147541,0.5441256830601092,0.0,0.0,False,0.5791666666666668,0.5441256830601092
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,60,0.8000061028400222,0.7132457242261014,0.06456096723043081,0.03826689741505638,0.1287422421830895,False,0.8204386677262062,0.6911175658145182,0.16139652985792619,0.1021972221846191,0.2046711348738649,True,0.8098080016214698,0.6791276632623747,0.16396801878800205,0.12924524760476155,0.21169179722872333,True,0.06456096723043081,0.03826689741505638,False,0.6084016393442622,0.4190573770491803,0.16139652985792619,0.1021972221846191,True,0.6066256830601093,0.4190573770491803
