retarded_age,I_order0,I_order1,I_order2,age_specific_order_dominance_ratio_0_to_1,age_specific_order_dominance_ratio_0_to_1_status,age_specific_order_dominance_ratio_1_to_2,age_specific_order_dominance_ratio_1_to_2_status
0.0003821855154910736,232.17588951659445,5.006182389541534e-35,1.0272305666354515e-88,,undefined: at least one order carries no information at this age,,undefined: at least one order carries no information at this age
4.000382185515491,242.45002100640096,1.6077968294895902e-25,4.6189180143997265e-73,,undefined: at least one order carries no information at this age,,undefined: at least one order carries no information at this age
8.000382185515491,238.888384502872,1.5629739650887235e-17,6.038826393508553e-59,,undefined: at least one order carries no information at this age,,undefined: at least one order carries no information at this age
12.000382185515491,245.72669427544136,4.709854194543019e-11,2.307147940065371e-46,,undefined: at least one order carries no information at this age,,undefined: at least one order carries no information at this age
16.00038218551549,258.5692263770419,4.591134757393908e-06,2.5947289489210514e-35,1.77559210031405e-08,ok,,undefined: at least one order carries no information at this age
20.00038218551549,272.1206397470524,0.01577957878068719,8.687362319836524e-26,5.798743820150862e-05,ok,,undefined: at least one order carries no information at this age
24.00038218551549,288.3856911945595,2.3489518502912254,8.815910418151354e-18,0.008145174750388376,ok,,undefined: at least one order carries no information at this age
28.00038218551549,299.7583323764236,26.941494904718162,2.7926819606716678e-11,0.08987738452883502,ok,,undefined: at least one order carries no information at this age
32.00038218551549,304.9400559271211,72.52174219795018,2.9015676187936114e-06,0.2378229451603513,ok,4.000962374667861e-08,ok
36.00038218551549,292.04932784437676,114.55918039596634,0.010825714847411806,0.3922596954477877,ok,9.449888529224308e-05,ok
40.00038218551549,245.28981557107198,151.2916625165763,1.7861585465207444,0.6167873793061743,ok,0.011806060669900057,ok
44.00038218551549,189.6107627446831,184.06654496669603,22.945133843180173,0.9707600048766614,ok,0.12465673133231102,ok
48.00038218551549,135.65347071202163,205.64733202374055,65.30278446405423,1.5159754552856866,ok,0.3175474430979512,ok
52.00038218551549,84.67819518550179,198.17783070676657,100.04323356972415,2.3403643673867256,ok,0.5048154640351923,ok
56.00038218551549,35.38483720128296,174.0360741902638,126.86751513659343,4.91837996032814,ok,0.7289725174902322,ok
60.00038218551549,4.302485125049293,152.1303584347998,147.7590058094321,35.35871804624935,ok,0.9712657442581312,ok
64.00038218551549,0.04229091222199864,132.02657896099998,158.7906015898444,3121.866425296051,ok,1.2027169289658743,ok
68.00038218551549,1.8256195387948757e-05,113.93024802867319,141.99978792124102,6240634.787677645,ok,1.2463747808703398,ok
72.00038218551549,2.7774980254607546e-10,101.53213750897532,110.83728355192656,,undefined: at least one order carries no information at this age,1.0916472978038965,ok
76.00038218551549,1.340773541332605e-16,83.40378103561031,87.91035201083156,,undefined: at least one order carries no information at this age,1.0540331735475772,ok
80.00038218551549,1.9506054072172662e-24,64.03598442821017,71.94944793502783,,undefined: at least one order carries no information at this age,1.123578384520493,ok
84.00038218551549,8.342387493206053e-34,46.91135488457507,59.375668911554826,,undefined: at least one order carries no information at this age,1.2656992972735084,ok
88.00038218551549,1.0359585191858442e-44,32.07836857121415,50.4391679227391,,undefined: at least one order carries no information at this age,1.5723732274839315,ok
92.00038218551549,3.7112363913976217e-57,18.66428019066936,42.08336200202768,,undefined: at least one order carries no information at this age,2.254754084921313,ok
96.00038218551549,3.821888335693665e-71,5.434749618096553,33.0019865152568,,undefined: at least one order carries no information at this age,6.0724023799306694,ok
100.00038218551549,1.129102545972307e-86,1.053699391174817,24.614632112574512,,undefined: at least one order carries no information at this age,23.360203411649074,ok
104.00038218551549,9.557643495530305e-104,0.12044062421842248,15.73856083932534,,undefined: at least one order carries no information at this age,130.67485278707136,ok
108.00038218551549,2.316299219850338e-122,0.0008483753055022129,9.806397969365916,,undefined: at least one order carries no information at this age,11559.032783917279,ok
112.00038218551549,1.6063669538531184e-142,1.960545539177951e-07,4.331841968843999,,undefined: at least one order carries no information at this age,22095084.670465358,ok
116.00038218551549,3.186770489271809e-164,1.3611424016122315e-12,1.0301414311769943,,undefined: at least one order carries no information at this age,,undefined: at least one order carries no information at this age
120.00038218551549,1.8080321074207371e-187,2.765222185465021e-19,0.33868796737740425,,undefined: at least one order carries no information at this age,,undefined: at least one order carries no information at this age
