order,ray_index,alpha,beta,source_r_aart,source_r_kgeo,relative_difference,delay,screen_azimuth,kgeo_nmax_crossings
0,363,-24.2,19.400000000000006,35.66224072864347,35.66224072864346,1.9924231378691836e-16,51.54432068935046,2.4658446623612544,0.0
0,455,-23.8,5.800000000000001,23.915457717113586,23.91545771711358,2.9710605758201533e-16,36.56322104383344,2.902554514641324,0.0
0,552,-23.4,-5.799999999999997,24.337006698447563,24.33700669844756,1.4597989484989234e-16,22.746646537902393,-2.898626060182295,0.0
0,739,-23.0,18.6,33.86493258613644,33.864932586136426,4.1963333838200567e-16,50.60976303514451,2.461571929381287,0.0
0,981,-22.2,14.600000000000001,28.988203218770185,28.988203218770174,3.6767166822882757e-16,46.240520649814584,2.559853016169893,0.0
0,1058,-21.8,-5.0,22.41868294604364,22.418682946043642,1.5847111479969745e-16,23.832533434176753,-2.916134287306733,0.0
0,1247,-21.4,20.200000000000003,34.58471305319998,34.58471305319999,4.108998878591862e-16,52.28433662794566,2.3850326470634635,0.0
0,1248,-21.4,20.6,35.07020304520357,35.070203045203556,4.052116463906693e-16,52.72413918976474,2.375239806174361,0.0
0,1269,-21.0,-21.4,38.17086305773559,38.17086305773562,9.307396779126583e-16,3.7692527530595044,-2.346760807786344,0.0
0,1564,-20.2,-4.199999999999999,20.509895927736903,20.5098959277369,1.732194883542012e-16,24.940639310755046,-2.9365926775862192,0.0
0,1698,-19.8,-1.0,18.966559304011238,18.966559304011238,0.0,28.926080715073567,-3.091130479572937,0.0
0,1734,-19.8,13.400000000000006,25.86027184775756,25.86027184775755,4.12143425991313e-16,44.92173682385669,2.546629605605899,0.0
0,2114,-18.6,14.200000000000003,25.722818675063984,25.722818675063966,6.905762785329093e-16,45.73493561083308,2.489544744363897,0.0
0,2204,-18.2,-0.1999999999999993,17.251078821566782,17.251078821566782,0.0,30.062990555213787,-3.1306040849070595,0.0
0,2321,-17.8,-3.799999999999997,18.068566441120723,18.068566441120726,1.9662399285397542e-16,25.645318714968198,-2.9312667799247354,0.0
0,2578,-17.0,-1.7999999999999972,16.433385156913083,16.433385156913083,0.0,28.237127892016247,-3.036103345064703,0.0
0,2819,-16.2,-6.199999999999999,18.281378719558923,18.28137871955892,1.943351064107389e-16,22.723432105401685,-2.7760744473978964,0.0
0,2915,-15.799999999999999,-18.2,31.534582531686976,31.534582531686976,0.0,7.652370524621119,-2.285723145613549,0.0
0,3058,-15.399999999999999,-11.399999999999999,22.90278974625735,22.902789746257355,1.5512143796286067e-16,16.108082034976633,-2.504354510924176,0.0
0,3059,-15.399999999999999,-11.0,22.446401105000017,22.446401105000017,0.0,16.616093961729007,-2.5213431676069717,0.0
0,3063,-15.399999999999999,-9.399999999999999,20.690295379124834,20.69029537912484,3.434183624449324e-16,18.65938818469658,-2.5935687371655156,0.0
0,3092,-15.399999999999999,2.200000000000003,14.49631809941314,14.496318099413138,1.225384837183011e-16,33.25447772308837,2.999695598985629,0.0
0,3283,-14.6,-22.2,36.356526440519374,36.35652644051938,1.9543746483112858e-16,2.8451278877914774,-2.1525359642147968,0.0
0,3367,-14.6,11.399999999999999,19.707884408176973,19.70788440817697,1.8026864808109231e-16,42.80262440763272,2.4786555476096863,0.0
0,3376,-14.6,15.0,23.65616886316861,23.65616886316862,4.505438348047836e-16,46.39291385777585,2.3426817991790165,0.0
0,3416,-14.2,-19.4,32.416987255997554,32.41698725599757,4.383767869289832e-16,6.211833886324484,-2.202650707652789,0.0
0,3530,-13.799999999999999,-24.2,38.81163425887081,38.81163425887081,0.0,0.47576084004310815,-2.0890519693266496,0.0
0,3600,-13.799999999999999,3.8000000000000007,13.363150639190932,13.363150639190932,0.0,35.25470206119121,2.872889628954622,0.0
0,3769,-13.399999999999999,21.0,30.64783524644969,30.64783524644969,0.0,52.58736141016777,2.1387570707893975,0.0
0,3859,-13.0,6.600000000000001,14.164193603084149,14.164193603084149,0.0,38.18717368922978,2.671810152231111,0.0
