arm,snr0,retarded_age,fisher_information,sqrt_fisher,crlb,detectable
DIRECT_PHYSICAL,1.0,0.0003821855154910736,0.023025304573699605,0.15174091265607836,43.43047870655482,False
DIRECT_PHYSICAL,1.0,4.000382185515491,0.023973019730732043,0.15483223091698978,41.713560128516356,False
DIRECT_PHYSICAL,1.0,8.000382185515491,0.023596458630827488,0.15361138835004223,42.3792407007022,False
DIRECT_PHYSICAL,1.0,12.000382185515491,0.024267819134457184,0.1557813183101786,41.20683422187404,False
DIRECT_PHYSICAL,1.0,16.00038218551549,0.02564325982988891,0.16013512990561724,38.99660209480989,False
DIRECT_PHYSICAL,1.0,20.00038218551549,0.027250509734825363,0.16507728412723952,36.69656126549548,False
DIRECT_PHYSICAL,1.0,24.00038218551549,0.028917567471946008,0.1700516611854939,34.58105530384382,False
DIRECT_PHYSICAL,1.0,28.00038218551549,0.03009380212106796,0.17347565281925864,33.2294336214806,False
DIRECT_PHYSICAL,1.0,32.00038218551549,0.0305773967901999,0.17486393793518404,32.703895850300164,False
DIRECT_PHYSICAL,1.0,36.00038218551549,0.029371800651260806,0.17138203129634333,34.046261305980714,False
DIRECT_PHYSICAL,1.0,40.00038218551549,0.02469312768511085,0.15714047118775878,40.49709752252111,False
DIRECT_PHYSICAL,1.0,44.00038218551549,0.019049599394716458,0.13802028617097,52.49454223574681,False
DIRECT_PHYSICAL,1.0,48.00038218551549,0.013680208648767069,0.11696242408896572,73.09830030188357,False
DIRECT_PHYSICAL,1.0,52.00038218551549,0.00855681723425172,0.09250306608027498,116.86588279543268,False
DIRECT_PHYSICAL,1.0,56.00038218551549,0.003601988408266822,0.06001656778146199,277.6244359101568,False
DIRECT_PHYSICAL,1.0,60.00038218551549,0.00043924348998104177,0.020958136605648933,2276.6415958564603,False
DIRECT_PHYSICAL,1.0,64.00038218551549,4.314191951212419e-06,0.0020770632997606066,231793.117067721,False
DIRECT_PHYSICAL,1.0,68.00038218551549,1.862035172769938e-09,4.315130557433851e-05,537046783.3389064,False
DIRECT_PHYSICAL,1.0,72.00038218551549,2.834051595567428e-14,1.683464165216304e-07,35285172703420.1,False
DIRECT_PHYSICAL,1.0,76.00038218551549,1.368823327538474e-20,1.1699672335319796e-10,7.305544695810224e+19,False
DIRECT_PHYSICAL,1.0,80.00038218551549,1.9923365344169994e-28,1.4115015176814367e-14,5.019232357211286e+27,False
DIRECT_PHYSICAL,1.0,84.00038218551549,8.523666278848702e-38,2.919531859536508e-19,1.1732040735586738e+37,False
DIRECT_PHYSICAL,1.0,88.00038218551549,1.058696129978011e-48,1.0289296039953418e-24,9.445580952683467e+47,False
DIRECT_PHYSICAL,1.0,92.00038218551549,3.7931951303138376e-61,6.158892051589992e-31,2.636299915098918e+60,False
DIRECT_PHYSICAL,1.0,96.00038218551549,3.906603449330517e-75,6.25028275306847e-38,2.559768384404033e+74,False
DIRECT_PHYSICAL,1.0,100.00038218551549,1.1541848694926273e-90,1.0743299630433042e-45,8.66412328243043e+89,False
DIRECT_PHYSICAL,1.0,104.00038218551549,9.770234261363442e-108,3.125737394817972e-54,1.0235169119276055e+107,False
DIRECT_PHYSICAL,1.0,108.00038218551549,2.367859528341721e-126,1.5387850819207083e-63,4.2232234979763695e+125,False
DIRECT_PHYSICAL,1.0,112.00038218551549,1.6421400728692966e-146,1.2814601331564306e-73,6.089614500745415e+145,False
DIRECT_PHYSICAL,1.0,116.00038218551549,3.257756783380777e-168,1.8049257002383165e-84,3.0695968621765485e+167,False
