bank,family,split,index,truth_seed,content_hash,bank_kind,target_structure_fraction,achieved_structure_fraction,level_fraction,max_structure_fraction_positivity_ceiling,at_positivity_ceiling,within_tolerance,min_value,positive,slice_mean_max_relative_deviation,baseline,analytic_shaping_relative_error
constant_flux_structural,circular_two_hotspots,selection,1,5387709704786521904,31db32cf38f6436ea2317c15c14555d7061644f3e5403743c7de83b15c63f427,constant_flux,,0.8025606101386341,0.5965705884921778,0.8025271895613978,False,True,1.6687891313592925e-17,True,2.220446049250313e-16,,4.322744106675879e-16
constant_flux_structural,circular_two_hotspots,selection,2,5313044496806082066,58c132f07a6a591a1084ebaccfc327ca922879ebcc2a452bf6d8eb5d4af04e74,constant_flux,,0.6653872540801263,0.7464983604186344,0.6655901529047303,False,True,0.00044805463386652397,True,2.220446049250313e-16,,5.076153859353766e-16
constant_flux_structural,circular_two_hotspots,selection,3,8001931926045008854,19752711afc5bdc12b562725fac2eb6cf72dec1e1084b79c402c211cc8563d9b,constant_flux,,0.8704992409889047,0.49216975875986196,0.8704709898499006,False,True,1.3064823351697182e-05,True,2.220446049250313e-16,,3.793997685917447e-16
constant_flux_structural,circular_two_hotspots,selection,4,3682570921044823417,aacf72872fad0a11811f266b6cafdb72469280fd8d83189ffc1994d2cb11246f,constant_flux,,0.7317700460791149,0.6815516118837737,0.7317213327600628,False,True,5.544446167375937e-06,True,2.220446049250313e-16,,3.457289420989637e-16
constant_flux_structural,circular_two_hotspots,selection,5,2692868759900474638,056521b7208bfe0c5d7ee4a51716323b81096e6d9f3b9166b25b8fecbe5d3c89,constant_flux,,0.7819390887418968,0.6233548439672961,0.7820560076599372,False,True,0.00033421589829518207,True,2.220446049250313e-16,,2.989446940884634e-16
constant_flux_structural,circular_two_hotspots,selection,6,924532752789538148,6d5092c71f2372e9601e3d267141b1ad5c7594d01f66a1bd9c794889c34434c1,constant_flux,,0.6185058238954856,0.7857802146957931,0.6185022231192996,False,True,7.241742546484247e-08,True,3.3306690738754696e-16,,4.604108698629627e-16
constant_flux_structural,circular_two_hotspots,selection,7,591600408950947159,82e8eb48dd56e58f286c060f2b21bb5965be02d19304df4dcd5e34e3b4c049ad,constant_flux,,0.6426990506748934,0.7661187442306778,0.6442381494119328,False,True,0.003718879695594694,True,2.220446049250313e-16,,5.203375971093131e-16
constant_flux_structural,circular_two_hotspots,pilot,0,5122897567648174088,5e315b191ad8c90a6fddf2f017ed2c6878a605d54b3ca36dbac0d9755b52cd84,constant_flux,,0.6258197669266127,0.7799677040262117,0.6289126239326972,False,True,0.007507653067622048,True,2.220446049250313e-16,,3.9646348215267914e-16
constant_flux_structural,circular_two_hotspots,pilot,1,8489709836004672390,19e6241edaf896c87a998c1c28a370278f1fad44201cac084a54537eb5deab91,constant_flux,,0.7004639827168797,0.7136877530940312,0.7013153719168677,False,True,0.0021773349380566757,True,2.220446049250313e-16,,4.183547795958635e-16
constant_flux_structural,circular_two_hotspots,pilot,2,3005987718623333544,f7132d526a402fcd14c0f6d40b318be15a775d107e4ba45ece05a5e8f1046cfb,constant_flux,,0.9392461454768637,0.34324434184244634,0.9391708086846655,False,True,9.469600924857102e-12,True,4.440892098500626e-16,,4.3786614104077363e-16
constant_flux_structural,circular_two_hotspots,pilot,3,4517952941024842254,d1edd5e2f85135a43e93387604ee1f0fc552eef2ee8b09b8435d9964603b06b7,constant_flux,,0.8430730396970079,0.5377990793373,0.8428945398488814,False,True,0.00011494717589057826,True,3.3306690738754696e-16,,3.0807997888925384e-16
