source_class,bank,family,index,retarded_age,oracle_floor_absolute,oracle_floor_normalized,truth_structure_norm,reachable_at_epsilon,in_old_band
L224,constant_flux_structural,circular_single_hotspot,0,0.0,6.016492718533995,0.3801628028143991,15.826095225500882,False,False
L224,constant_flux_structural,circular_single_hotspot,0,2.0,5.957308448321636,0.3782238573391,15.750747428342569,False,False
L224,constant_flux_structural,circular_single_hotspot,0,4.0,5.97010723817183,0.37729321151863926,15.82352148383908,False,False
L224,constant_flux_structural,circular_single_hotspot,0,6.0,5.92239732953428,0.37627220430930386,15.739662036438764,False,False
L224,constant_flux_structural,circular_single_hotspot,0,8.0,5.93044865773518,0.37482660503937165,15.821845562729594,False,False
L224,constant_flux_structural,circular_single_hotspot,0,10.0,5.855684993306863,0.3722143503633354,15.732023731999751,False,False
L224,constant_flux_structural,circular_single_hotspot,0,12.0,5.837874469944502,0.3689277451621882,15.82389653935638,False,False
L224,constant_flux_structural,circular_single_hotspot,0,14.0,5.729239451024619,0.3642552304500517,15.728640173391383,False,False
L224,constant_flux_structural,circular_single_hotspot,0,16.0,5.72466688563928,0.36163984622508094,15.829745934789237,False,False
L224,constant_flux_structural,circular_single_hotspot,0,18.0,5.702528504285884,0.3625358767301024,15.72955635651821,False,False
L224,constant_flux_structural,circular_single_hotspot,0,20.0,5.769285544849313,0.36423511998658903,15.839454320225178,False,False
L224,constant_flux_structural,circular_single_hotspot,0,22.0,5.761229024041468,0.36615427957035085,15.734430390385583,False,False
L224,constant_flux_structural,circular_single_hotspot,0,24.0,5.8202040767013985,0.3672296391123107,15.84894969472056,False,False
L224,constant_flux_structural,circular_single_hotspot,0,26.0,5.770233236139041,0.3668322953758975,15.729894311039907,False,False
L224,constant_flux_structural,circular_single_hotspot,0,28.0,5.79268214314892,0.36560565836770187,15.844071366431168,False,False
L224,constant_flux_structural,circular_single_hotspot,0,30.0,5.709686785918391,0.3632149674448161,15.719855451127229,False,False
