geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i020,0.0,20,DIRECT_PHYSICAL,1.0,18.47709816245863,0.01701566011967139,0.2118083092928306,0.4627304395541607,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,3.0,18.47709816245863,0.14849208284922907,1.4757427116649882,3.4208510004081396,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,10.0,18.47709816245863,1.308628080779548,6.758760815930845,18.994126937050087,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,30.0,18.47709816245863,5.672942305428739,15.682629235834602,57.56092695673106,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,100.0,18.47709816245863,15.015935530161347,30.588481563994243,145.8930294377733,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,300.0,18.47709816245863,28.22909501389291,46.832826841347874,281.30951761755256,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,1000.0,18.47709816245863,45.871624858844754,66.42552903548004,501.66684117206717,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,3000.0,18.47709816245863,63.47635952517828,88.2888691842629,774.8413605371957,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,10000.0,18.47709816245863,86.93505060972345,115.36236494673604,1153.1317879204028,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,30000.0,18.47709816245863,111.51819393432463,140.657896451278,1565.0808722702989,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,100000.0,18.47709816245863,139.20878136394091,168.85195293765722,2083.9963918931753,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,1000000.0,18.47709816245863,195.06184932126123,232.0820659397985,3273.134885975854,,,,,,,
a000_i020,0.0,20,DIRECT_PHYSICAL,100.0,18.47709816245863,15.015935530161347,30.588481563994243,145.8930294377733,,,,,,,
a000_i020,0.0,20,RESOLVED_PHYSICAL,1.0,18.47709816245863,0.02786709488831139,0.32200044802418265,1.0598058173578573,,,,,,,
