arm,estimator,snr0,regime,draw,error_data_supported,error_weak,n_data_directions,error_in_reference_data_subspace,error_outside_reference_data_subspace,n_reference_data_directions,note,freeze_sha256
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_ID,4,0.9569410682240176,1.569615569227623,85,0.9569410682240176,1.5696155692276232,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_ID,5,0.950193073143955,1.569615569227623,85,0.950193073143955,1.5696155692276232,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_ID,6,0.9534165982068161,1.569615569227623,85,0.9534165982068161,1.5696155692276235,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_ID,7,0.9523177198598363,1.569615569227623,85,0.9523177198598363,1.5696155692276232,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,0,0.8801465342328421,1.3388334115555471,85,0.880146534232842,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,1,0.8637143772530572,1.3388334115555471,85,0.8637143772530573,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,2,0.8754507136358308,1.3388334115555471,85,0.8754507136358307,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,3,0.8704717360290934,1.3388334115555471,85,0.8704717360290934,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,4,0.8873836545495275,1.3388334115555471,85,0.8873836545495274,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,5,0.8687003546948653,1.3388334115555471,85,0.8687003546948653,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,6,0.895130330663277,1.3388334115555471,85,0.895130330663277,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,OFF_GRID_OOD,7,0.8869953492019776,1.3388334115555471,85,0.8869953492019776,1.3388334115555476,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,0,1.3045513173636416,2.102369274589379,85,1.3045513173636416,2.1023692745893796,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,1,1.2935891285146455,2.1036226874711534,85,1.2935891285146457,2.1036226874711534,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,2,1.2928389141441503,2.1050681824302737,85,1.2928389141441503,2.1050681824302737,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,3,1.3041657742211437,2.10185060435862,85,1.3041657742211437,2.10185060435862,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,4,1.2968916803182147,2.1067902070191686,85,1.2968916803182147,2.106790207019169,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,5,1.2922413883097477,2.1056402486808574,85,1.2922413883097474,2.1056402486808583,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,6,1.2979337913698723,2.103658668293991,85,1.2979337913698723,2.103658668293991,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,7,1.3019128657969579,2.096821638710789,85,1.3019128657969579,2.0968216387107894,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,0,1.2697984172536125,1.4268598051913548,85,1.2697984172536123,1.4268598051913552,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,1,1.2173351682416047,1.4246559529769107,85,1.2173351682416047,1.4246559529769112,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,2,1.2427689901102443,1.4313551679986847,85,1.2427689901102443,1.4313551679986851,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,3,1.2368453686081278,1.417396212354203,85,1.2368453686081278,1.4173962123542034,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,4,1.2435640943428758,1.4347666047011134,85,1.2435640943428758,1.4347666047011138,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,5,1.2543951894717802,1.4320366354573846,85,1.2543951894717802,1.432036635457385,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,6,1.2439059882870944,1.4345980269779361,85,1.2439059882870944,1.4345980269779364,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,7,1.2589746248200926,1.4245498828041645,85,1.2589746248200924,1.4245498828041647,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,0,1.2642391856247457,1.6242997248236613,85,1.2642391856247455,1.6242997248236617,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,1,1.2518504905516266,1.6268430405114227,85,1.2518504905516266,1.6268430405114231,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,2,1.2557036123302663,1.6301784944112243,85,1.2557036123302665,1.6301784944112243,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,3,1.2663872592277832,1.6253052983273835,85,1.2663872592277832,1.6253052983273837,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,4,1.258109152045012,1.6313258637823573,85,1.2581091520450123,1.6313258637823576,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,5,1.2521196371609387,1.6289357524278403,85,1.2521196371609387,1.6289357524278407,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,6,1.2561404663094584,1.6281644694928512,85,1.2561404663094582,1.6281644694928517,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,7,1.2605828911251975,1.6208105633153043,85,1.2605828911251975,1.6208105633153045,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_OOD,0,1.2639211631699885,1.4050912165659037,85,1.2639211631699885,1.405091216565904,85,"a weak-subspace improvement is a prior effect, not measured recovery",4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
