family,index,truth_seed,contrast_fraction,peak_fraction_of_background,min_total,min_background,zero_mean_max_abs,azimuthal_mean_max_abs,positivity_scale,g10c_radial_cells,g10c_azimuthal_cells,g10c_ages_scored,chose_global_maximum_fraction,hash_dj,hash_bg,hash_total,hash_features
m1_rotating_crescent,8,1160432488126418160,0.04895129093943082,0.570645269583804,0.14538263880875915,0.2582393839765347,1.4261836946635792e-18,2.9219248548484344e-17,1.0,0.20714560860346481,0.12517050065345559,61,1.0,e8c0970a1dd2691798465f1b11306e487283d58856feeba2b30986826aae4eef,5d6301e2220111fffefc8dc00c52976327bbfc140fc7a13f3f2f562c8a2a8c53,91971c90a58b380093393aff5424900e66d458ddeced8fe0b636a9450bb7954c,c5300ba51787990056b16c6718093322b092990a8fa96619725f595f4b755c82
m1_rotating_crescent,9,830205200896664085,0.044167698433642634,0.5342495973088062,0.1610801221426615,0.3458507415386225,1.024973016247593e-18,1.9081958235744878e-17,1.0,0.0,0.12399106981669361,61,1.0,d2a060484b8a8fe3d51da2783e04a36d88f7492a5fc392873c1c19c983a906bb,0e70889d0d12be33c0df32feffe22401a91647d78d21226a8b532ff43877bfe6,cb995a8aa8a676164bface904294c65a625d4997b31c6e74306a287a3de380b7,bcad02b651d2bd9a4a9b0367dd9a5c52ac0127b996b050d09b18fcf148c1455c
m1_rotating_crescent,10,5475631835447810929,0.07172577053383523,0.5635092592403712,0.28834196568218795,0.4424313643582434,4.361139496801926e-18,8.977193988179977e-17,1.0,0.11590148615333154,0.12152368781396646,61,1.0,b3bb5bf5599ea86d02fea99a6a7c9af769cf83cc848a60658096eaeef99e4f6e,63421525be0c6a6aee389354eeeaf9186074798c5df1f1c07743d60c44a7692a,f327e73a0b6bcdbb278859397422f6aa54c7cee49a4ffb48dcf0b8314ef6045f,fb3c5ea31a3c477c43f06c559fd2a21f74892132c677bd31d6a79bac11033138
m1_rotating_crescent,11,2651486142271039294,0.07567436480696436,0.7443645389703585,0.08167913341287261,0.31951409669021513,1.467358842129768e-18,3.122502256758253e-17,1.0,0.47619047619047566,0.12432927354867222,61,1.0,f9c3ad3bf8148a98181d6740d47d9b0470553d58159f5bdd28ff0a83362b89c3,d3f7b19d35c69a917a6d0ad28c3925732b5624ad2ec8debd2a9d227907189d01,e11d554971b0a537c2b4a1438181a2f01a41fb11bdfcd782c34ab7ae77a7aef4,417181772c1bf1e7fd7f12823f625a8e797f4509890ed66e11f891a74e810eaa
m1_rotating_crescent,12,2695697002184662060,0.0353301497815039,0.5200496808821418,0.1431667858315097,0.25987328473050153,1.3744163303597362e-18,2.970713952610282e-17,1.0,0.05309014661596912,0.1141511097519881,61,1.0,a4e42e102f0987d3f652f609d74b6083b1e0f9b4f1035a3ab6b628f864cbc583,ab99752911d78d96e748967f1f9543fc93f8d007d62962e9267b8b2b7a82f540,e7ecc6ae45a75100befe8f2e40acf039eaa1e9723cfb485b5a4420dfd6015111,2f7f27e820afd35872599aa43d1a471c35db6ede95026c6941a3cb93cca9ce19
m1_rotating_crescent,13,798868731004968620,0.04825254462574809,0.4225854024762322,0.18387762903616683,0.2395408494797609,1.9159885266892274e-18,2.2551405187698492e-17,1.0,0.03590395662292805,0.12434654149353158,61,1.0,d08a907f23e29494c0f2ccfb72976642425f2a9ff25033cc221be3611a73eeec,8df30d6f7f90660cb0190accdc59b1a2ffe7ee190052334aef81f76535177128,8b763f514822f0fa49bd37c96169df5315f18614949891ce918ffd33db30792d,f4ef56ca49a3bc5d028eee431fade3f557d9dae59a179b901dd7e675314ba900
m1_rotating_crescent,14,1190811921381907651,0.05932303009311892,0.74129738793494,0.09653548788681243,0.3263386433245147,1.9550281436487892e-18,4.0332320816460765e-17,1.0,0.13300393028269417,0.10831530559632674,61,1.0,8091e30e52370fd58d95c19afbd517caff553d62cd8191acf0595b52498a6254,21f8a5f9dc0329bf75d1db6305a694f8a77830da16052f49ddc07c1b005d472b,1fb372cdeaf8c7d09f6af43a86fa561a30e172518ec08ae829bf23e7b76c3ccb,f087695683206481491241db9fe0a11f53b1487049fac28a3b7347eb2611b033
m1_rotating_crescent,15,564672600034572673,0.18324549961149852,0.42255055690770393,0.21576277488651135,0.21576277492215068,4.410488290841654e-18,4.0332320816460765e-17,1.0,0.14954445431232968,0.1250715959131246,61,1.0,17535b9cb876441a1b95d62056ebf8af7ab6a7dcbc2f22e448d8e006964d5739,d482f0e8d5843ded582c95eaff54ce3a872f0cb7495610a3969083ed9ba503b6,8c32cb2bb8df450779acca5376c48b6230aff5760dae9d8893c04b15a2abd24f,569ec80a4b977db8e7455e0774e038ff51f49cd063f393a2d5fdf861e67a668f
m2_structural_mode,0,2397261574576083922,0.03626852560716075,0.4783120575967408,0.15774523687642203,0.23444216863959258,9.479795876684342e-19,1.0408340855860843e-17,1.0,0.009863174425167303,0.1241593537982438,61,1.0,a5e43f5198bea5517c98e8680190a77a160370d2920baf04d85e54bb6b51c21b,6e90a407f3c56a6dacb5829f2c337be65c504665dfda8fcaf521c13aa3a1620c,d8e49f2e3d61acb25b7c131df934b8e12e56601f69c990161c99be354a2972c9,27e9dbb5f6a7850d526b1baec4d8283ded153472994176768ca1283324e8f477
m2_structural_mode,1,7764666582103974659,0.1437584996610713,0.5145651094929665,0.4174550555327131,0.45498165514338806,4.9703115795106544e-18,3.3176586478056436e-17,1.0,0.04340178702507937,0.12522915392907344,61,1.0,d410f14ebd0cb1c70e2f1e17328dfa958741e40fb7ce0fc18c2cb10c1702d391,19e6fd6275e45d2e568aab48cff247e860a9dbf259b68a8e3a8aa2546e6d6be9,efc04ec42d6990e33c9532fa55fb689eca25e85da78e610aa02f91b95bd3ba05,8a981a8c91b69c86442de6bfde6976a2d7e949453eb9b4d4b5df1c8640a3215d
