arm,estimator,snr0,regime,n_truths,n_draws,seconds,peak_rss_mb,iterations,note,freeze_sha256
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_off_grid,320,5,0.23644495010375977,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3.0,validation_ood,256,5,0.19038701057434082,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,3.0,validation_in_class,512,5,0.3768744468688965,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,3.0,validation_off_grid,320,5,0.25771474838256836,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,3.0,validation_ood,256,5,0.19689297676086426,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,3.0,validation_in_class,512,5,0.3783245086669922,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,3.0,validation_off_grid,320,5,0.2527010440826416,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,3.0,validation_ood,256,5,0.21038317680358887,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,10.0,validation_in_class,512,5,0.4274406433105469,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,10.0,validation_off_grid,320,5,0.23434233665466309,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,10.0,validation_ood,256,5,0.19095730781555176,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,10.0,validation_in_class,512,5,0.37917113304138184,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,10.0,validation_off_grid,320,5,0.41497206687927246,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,10.0,validation_ood,256,5,0.25290465354919434,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,10.0,validation_in_class,512,5,0.37576770782470703,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,10.0,validation_off_grid,320,5,0.24898386001586914,695.56640625,1,direct linear solve; no iterative scheme,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
