family,index,age_M,class,label_fine,label_coarser,label_reconciled,label_projected,cardinality_pre,cardinality_post,matched_position_cost_cells,unbalanced_cost_cells,unbalanced_cost_normalized,canary,off_manifold
circular_hotspot_trajectory,0,48.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,50.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,52.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,54.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,56.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,58.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,60.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,62.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,64.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,66.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
circular_hotspot_trajectory,0,68.0,L448_contrast,SINGLE_RESOLVED,SINGLE_RESOLVED,SINGLE_RESOLVED,MULTI_RESOLVED,1,2,0.2380952380952389,22.169807437556546,1.0108562083949417,False,False
