family,index,class,off_manifold,canary,n_multi_before,n_merged,merger_rate,representation_floor_median,representation_floor_max
two_hotspot_trajectories,2,L896_radial_enriched,False,False,61,0,0.0,0.7142857142857122,0.8214285714285708
two_hotspot_trajectories,3,L448_contrast,False,False,0,0,0.0,22.276950294699404,22.48550759706193
two_hotspot_trajectories,3,L896_radial_enriched,False,False,0,0,0.0,0.34523809523809507,0.5537953976006201
two_hotspot_trajectories,4,L448_contrast,False,False,61,0,0.0,24.344930508116178,24.344930508116178
two_hotspot_trajectories,4,L896_radial_enriched,False,False,61,0,0.0,0.7142857142857149,0.8214285714285711
two_hotspot_trajectories,5,L448_contrast,False,False,61,61,1.0,22.169807437556546,22.276950294699407
two_hotspot_trajectories,5,L896_radial_enriched,False,False,61,61,1.0,22.169807437556546,22.276950294699407
two_hotspot_trajectories,6,L448_contrast,False,False,61,0,0.0,2.1688239473834723,2.5891973403227926
two_hotspot_trajectories,6,L896_radial_enriched,False,False,61,0,0.0,0.7142857142857157,1.1020102416815623
two_hotspot_trajectories,7,L448_contrast,False,False,0,0,0.0,22.169807437556546,22.276950294699407
two_hotspot_trajectories,7,L896_radial_enriched,False,False,0,0,0.0,22.16980743755655,22.276950294699407
two_hotspot_trajectories,8,L448_contrast,False,False,61,61,1.0,22.469538723179237,22.6221883899375
two_hotspot_trajectories,8,L896_radial_enriched,False,False,61,0,0.0,0.8830646189560243,1.035714285714288
two_hotspot_trajectories,9,L448_contrast,False,False,61,19,0.3114754098360656,23.360283628032736,24.36459818946635
two_hotspot_trajectories,9,L896_radial_enriched,False,False,61,0,0.0,0.3452380952380952,0.7380952380952395
two_hotspot_trajectories,10,L448_contrast,False,False,61,61,1.0,23.1221883899375,23.1221883899375
two_hotspot_trajectories,10,L896_radial_enriched,False,False,61,0,0.0,0.5378265237179277,0.7878265237179268
two_hotspot_trajectories,11,L448_contrast,False,False,61,0,0.0,2.3809523809523796,2.4589246247612344
two_hotspot_trajectories,11,L896_radial_enriched,False,False,61,0,0.0,22.407902675651783,22.75314077088988
two_hotspot_trajectories,12,L448_contrast,False,False,57,53,0.9298245614035088,22.276950294699404,22.967426485175597
two_hotspot_trajectories,12,L896_radial_enriched,False,False,57,46,0.8070175438596491,22.169807437556546,22.276950294699407
two_hotspot_trajectories,13,L448_contrast,False,False,61,0,0.0,22.945729199369715,22.945729199369715
two_hotspot_trajectories,13,L896_radial_enriched,False,False,61,0,0.0,0.7759217618131652,0.8214285714285694
two_hotspot_trajectories,14,L448_contrast,False,False,61,0,0.0,23.978812078273332,24.428256389571118
two_hotspot_trajectories,14,L896_radial_enriched,False,False,61,0,0.0,22.645997913747024,22.860283628032736
two_hotspot_trajectories,15,L448_contrast,False,False,61,0,0.0,22.645997913747024,22.916359079544748
two_hotspot_trajectories,15,L896_radial_enriched,False,False,61,0,0.0,0.0,0.24999999999999914
two_hotspot_trajectories,16,L448_contrast,False,False,61,61,1.0,23.18171219946131,23.43171219946131
two_hotspot_trajectories,16,L896_radial_enriched,False,False,61,61,1.0,22.18171219946131,22.18171219946131
two_hotspot_trajectories,17,L448_contrast,False,False,61,0,0.0,12.427822518962742,13.011871358590469
two_hotspot_trajectories,17,L896_radial_enriched,False,False,61,61,1.0,22.967426485175594,23.37140108308605
two_hotspot_trajectories,18,L448_contrast,False,False,61,0,0.0,24.8148218611305,24.83346756247689
two_hotspot_trajectories,18,L896_radial_enriched,False,False,61,0,0.0,1.1904761904761916,1.2521122380036465
two_hotspot_trajectories,19,L448_contrast,False,False,61,61,1.0,23.593098392263165,23.821872002661202
two_hotspot_trajectories,19,L896_radial_enriched,False,False,61,61,1.0,24.194274760453517,24.43171219946131
two_hotspot_trajectories,20,L448_contrast,False,False,61,61,1.0,23.503185864037984,23.70851536201423
two_hotspot_trajectories,20,L896_radial_enriched,False,False,61,61,1.0,24.194274760453517,24.44302447442905
two_hotspot_trajectories,21,L448_contrast,False,False,61,0,0.0,24.32456934231845,24.64289878428178
two_hotspot_trajectories,21,L896_radial_enriched,False,False,61,0,0.0,22.64599791374702,22.81477681841733
two_hotspot_trajectories,22,L448_contrast,False,False,61,38,0.6229508196721312,23.852810300504615,24.641656774306096
two_hotspot_trajectories,22,L896_radial_enriched,False,False,61,0,0.0,22.88409315184226,23.041704267251813
two_hotspot_trajectories,23,L448_contrast,False,False,61,0,0.0,22.407902675651783,22.6221883899375
two_hotspot_trajectories,23,L896_radial_enriched,False,False,61,0,0.0,0.47619047619047544,0.5833333333333325
m1_rotating_crescent,0,L448_contrast,False,False,0,0,0.0,22.169807437556546,22.169807437556546
m1_rotating_crescent,0,L896_radial_enriched,False,False,0,0,0.0,0.23809523809523603,0.23809523809523603
m1_rotating_crescent,1,L448_contrast,False,False,0,0,0.0,66.03323183647916,66.03323183647916
