regime,arm,estimator,snr0,mean_direct,mean_arm,cell_mean,median,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,n_truths,n_cells,n_families_improved,n_families,meets_materiality,improved_circular_hotspot_trajectory,improved_flare_birth_motion_decay,improved_m1_rotating_crescent,improved_m2_structural_mode,improved_plunging_feature,improved_two_hotspot_trajectories
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.6690374523632308,0.5340048595005206,0.17615221609768028,0.18241304611849155,0.11321178510775873,0.23448381147377145,0.14526207348731118,0.2136688906943522,48,6,6,6,True,True,True,True,True,True,True
oracle_known,TOTAL_FLUX,TSVD,100.0,0.6690374523632308,0.6953239130699508,-0.044703487556796075,-0.045136285195933115,-0.0892939672975281,-0.0013717993173908627,-0.09811640446311405,-0.007018712088294175,48,6,2,6,False,False,False,True,False,False,True
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.6690374523632308,0.6221005855251028,0.06452733123901917,0.08582334193817212,0.007758402360710834,0.11957512498120562,0.015319071319328569,0.1489192745244826,48,6,5,6,False,True,True,True,True,False,True
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.6691127422360849,0.5046491629632337,0.23242379248674708,0.2512525247488249,0.17745449039742978,0.281756968528882,0.21785503731633718,0.29122401632746325,48,6,6,6,True,True,True,True,True,True,True
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.6691127422360849,0.6953239840885921,-0.041499813088833604,-0.03722625868135933,-0.08653109745206748,0.005515538465270244,-0.07618262538180909,-0.005921432865310457,48,6,3,6,False,False,True,False,True,False,True
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.6691127422360849,0.6000950496495018,0.09961618762120793,0.11055242713167425,0.03970975096980578,0.1580259445915234,0.06744350408882488,0.18031342302673573,48,6,5,6,False,True,True,True,True,False,True
oracle_known,RESOLVED_PHYSICAL,TSVD,1000.0,0.6709096020018697,0.5384497342413508,0.18005424216461438,0.17135649012365128,0.11876209704567331,0.244972115480845,0.11319924452373617,0.20546836436946136,48,6,6,6,True,True,True,True,True,True,True
oracle_known,TOTAL_FLUX,TSVD,1000.0,0.6709096020018697,0.6972435234564411,-0.04322290112115862,-0.05877944490656539,-0.08247490281072188,-0.0047637005678619485,-0.08888559733801868,-0.018483637735779365,48,6,1,6,False,False,False,False,False,False,True
oracle_known,UNRESOLVED_IMAGE,TSVD,1000.0,0.6709096020018697,0.6177129650044145,0.07837591643660702,0.08022148917494432,0.02102550013515333,0.13503557987829895,0.015645256373059916,0.15511906153008626,48,6,5,6,False,True,True,True,True,False,True
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.6691100006857504,0.49251307526555094,0.2606989840483542,0.22432976599045856,0.21374395311212527,0.30952109799730515,0.18818890979766625,0.28291648276707204,48,6,6,6,True,True,True,True,True,True,True
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.6691100006857504,0.6972435303657293,-0.04982933036687417,-0.05675211055976627,-0.10005721239451254,-5.673618524554399e-05,-0.09055290087890512,-0.007712787747729409,48,6,2,6,False,False,False,False,True,False,True
