regime,retarded_age,median_normalized_error,median_structure_normalized_error,median_absolute_error,in_old_band,definition,freeze_sha256
IN_CLASS_ID,104.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,108.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,112.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,116.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,120.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,0.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,4.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,8.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,12.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,16.0,1.0548584301038006e-08,1.3406930843240237e-07,1.0536712127723509e-08,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,20.0,1.0608879325396793e-08,1.544576980529593e-07,1.0536712127723509e-08,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,24.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,28.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,32.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,36.0,1.4477842213601849e-08,2.662390910211553e-07,1.4901161193847656e-08,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,40.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,44.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,48.0,1.351403135383976e-08,2.54719226819419e-07,1.4901161193847656e-08,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,52.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,56.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,60.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,64.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,68.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,72.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,76.0,1.4897779675484305e-08,9.311989301375426e-07,1.4901161193847656e-08,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,80.0,1.0540613087139842e-08,1.4889079402823502e-07,1.0536712127723509e-08,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,84.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,88.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,92.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,96.0,1.0540272689259448e-08,3.318370035599186e-07,1.0536712127723509e-08,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,100.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,104.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,108.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,112.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,116.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_OOD,120.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,0.0,0.07307605923546667,0.8096312004125363,0.07537774241725546,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,4.0,0.07400003018065475,0.8119770018857498,0.07583489916666093,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,8.0,0.07275023855130933,0.8136696202319385,0.07549882512168532,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,12.0,0.0693346077948847,0.813677152014654,0.07176652690075311,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,16.0,0.07065583432481864,0.8118416470438168,0.0729511036590661,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,20.0,0.07454802253747303,0.8094006965853044,0.07637875463755045,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,24.0,0.07084100071330611,0.8066489055800946,0.07339916098311372,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,28.0,0.07254961225312116,0.8075727485451556,0.07533160009442125,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,32.0,0.0729856249833328,0.8048724106812519,0.07500591404442344,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,36.0,0.07256239846939658,0.811226340275609,0.07464846115160324,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,40.0,0.07201051963423424,0.8064504408047317,0.07494519262201504,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,44.0,0.07076530272290457,0.8070663944314813,0.0728280077394845,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,48.0,0.07112948961111408,0.8064340135556556,0.07259350085411373,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,52.0,0.07051013324734343,0.8111399487279682,0.07296087900439294,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,56.0,0.07025183192619423,0.8113200056550951,0.07236238054672697,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,60.0,0.07044639753905668,0.812949566832211,0.07222608382093236,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,64.0,0.07053998223033367,0.8085965311472706,0.07331819422668129,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,68.0,0.0714542291343975,0.8100008800092777,0.07389410674511074,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,72.0,0.06960553430878288,0.8054207939123766,0.0717687450279661,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,76.0,0.0690061637038317,0.8070126459562221,0.07056727540785307,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,80.0,0.0689882390426763,0.8058483546070748,0.07161311321270263,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
OFF_GRID_ID,84.0,0.07434938283324694,0.8049851978115123,0.07619557063114249,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
