spin,status,n_valid_min,r_min,area_n0,rel_area_vs_schwarzschild
0.001,ok,3085,2.0004740871699425,2494.720000000001,0.011744857569268713
0.0001,ok,3088,2.0005490017157426,2494.720000000001,0.011744857569268713
1e-05,ok,2923,2.0001862274930966,2488.3200000000015,0.00914930893517633
1e-06,AART_FAILED,-1,,,
