arm,snr0_reference,source_dimension,data_dimension,numerical_rank,operational_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information
DIRECT_PHYSICAL,100.0,224,12288,224,153,0,12311.040293547552,1.0852367084276049e-05,1134410603.5064893,5.835830496026721,43.393305471948736,884488467.3936057
RESOLVED_PHYSICAL,100.0,224,36864,224,201,0,12321.319007162905,0.017512826733048308,703559.69341668,5.8915873779399375,53.15247714907294,894430760.8557628
RESOLVED_EQUALIZED,100.0,224,36864,224,216,0,15621.23105504729,0.3320093176041873,47050.5802902511,10.926880345691085,96.11726123447139,2666408589.2839913
DELAY_ONLY_PHYSICAL,100.0,224,36864,224,214,0,12328.439880064385,0.15743135502931097,78309.93945119157,5.882652822391978,55.59924942820449,894106931.2887505
SPATIAL_ONLY_PHYSICAL,100.0,224,36864,224,177,0,12333.788688773671,0.0010318857263622793,11952669.150928313,5.87960514789911,50.2584334180802,894419313.4787182
PAIRING_DESTROYED,100.0,224,36864,224,221,0,9444.829552320032,0.45018266924906813,20979.993672512046,10.028610413616656,93.01959349320066,894600239.0992142
UNRESOLVED_PHYSICAL,100.0,224,12288,224,181,0,12212.337062726765,0.0017276255708089888,7068856.394043843,5.8096380773978815,44.76067581388855,866456258.0978112
TOTAL_FLUX,100.0,224,24,24,13,200,10258.311208860474,9.844693530258114e-06,1042014276.7604789,1.1744988530640237,3.276698039379982,123595977.73806925
