window_fraction,age_order0,I_order0,age_order1,I_order1,age_order2,I_order2,Gamma_info_matched_0_to_1,Gamma_info_matched_0_to_1_status,Gamma_info_matched_1_to_2,Gamma_info_matched_1_to_2_status
0.05,2.890738863645032,242.43400498212083,49.03847712441207,207.00357332044064,65.2610061836985,157.07801948314093,0.0789967367009707,ok,0.13799671711803793,ok
0.1,5.781095541774573,240.37068203179513,51.75696237198556,199.46566185279644,68.13265567360713,140.98475166565606,0.09327006990227502,ok,0.17349518008091103,ok
0.15,8.671452219904113,239.27802307336339,54.475447619559056,183.15742681731422,71.00430516351577,117.97398371581212,0.13364005672077026,ok,0.21994095784668172,ok
0.2,11.561808898033656,244.59109279934157,57.193932867132546,167.3004161674571,73.8759546534244,99.17812953972108,0.1898983558367796,ok,0.26143678695360356,ok
0.25,14.452165576163196,253.32974596196476,59.91241811470604,152.59068969073763,76.74760414333304,84.41846235405649,0.25346643902369204,ok,0.29598648991867815,ok
0.3,17.342522254292735,262.8619588915957,62.63090336227954,138.84514857804862,79.61925363324167,73.25522495458289,0.3191348750644698,ok,0.31970484866493115,ok
0.35,20.232878932422278,273.03160855463625,65.34938860985304,125.34515319257406,82.4909031231503,63.84685612707932,0.3892582065357227,ok,0.3372919074066547,ok
0.39999999999999997,23.123235610551816,285.0161660442124,68.06787385742652,113.69604105552742,85.36255261305894,55.89650044543835,0.4595086603422126,ok,0.3550134032873243,ok
0.44999999999999996,26.01359228868136,294.7290911163576,70.78635910500002,105.57884028988661,88.23420210296757,49.97319058592569,0.513299312030735,ok,0.37398565090257047,ok
0.49999999999999994,28.903948966810898,301.8039566374071,73.50484435257351,95.39281168881422,91.1058515928762,44.00312418369199,0.5758872149684455,ok,0.38687129543454607,ok
0.5499999999999999,31.79430564494044,304.99296676737936,76.223329600147,82.30283881072407,93.97750108278484,37.653345584262254,0.6549415580134353,ok,0.390991895048867,ok
0.6,34.68466232306998,299.64797516754555,78.94181484772051,69.05395624001447,96.84915057269347,31.173533256894537,0.7338600980244194,ok,0.397659365872217,ok
0.65,37.57501900119953,276.85894437854915,81.66030009529399,56.57216497283457,99.72080006260211,25.234291055434635,0.7939955355532379,ok,0.40365662680762115,ok
0.7,40.465375679329064,238.8565790179891,84.37878534286749,45.39796259614882,102.59244955251074,18.628421803359352,0.8301980283562131,ok,0.4453893794633873,ok
0.75,43.355732357458606,198.5363915159218,87.09727059044098,35.10414432527728,105.46409904241938,13.302242538051292,0.8663266102253487,ok,0.4851932812746102,ok
0.7999999999999999,46.24608903558814,158.98752903578654,89.81575583801447,26.322368903885923,108.33574853232801,9.338301118191255,0.8992033295264579,ok,0.5181473818925612,ok
0.85,49.136445713717684,120.95816114063916,92.53424108558798,16.65513220787524,111.20739802223665,5.3093172159720075,0.9913631502310359,ok,0.5716275836099192,ok
0.9,52.026802391847234,84.34212114934053,95.25272633316146,7.329559788291909,114.07904751214528,2.2251830725627655,1.2214829700274545,ok,0.5960381329453385,ok
0.95,54.91715906997677,48.024949785515346,97.97121158073496,2.317552073406955,116.95069700205391,0.7217412253496414,1.5156045876055535,ok,0.5833000529152182,ok
