order,unit_source_throughput,independent_sum,relative,ray,r_analytic,r_numerical,note
0.0,1798.2461635056518,1798.246163505652,1.2644190770854794e-16,,,,
1.0,15.676120635538549,15.676120635538549,1.2644190770854794e-16,,,,
2.0,0.45170981818301703,0.45170981818301703,1.2644190770854794e-16,,,,
-1.0,224.0,224.0,52661.630822353145,,,,
,,,3.2423249458907577e-08,15307.0,23.30937496965033,23.30937572541601,ok
,,,2.004199169780457e-08,4935.0,8.401749798264621,8.401749966652421,ok
,,,1.6587088898422714e-05,4722.0,16.422516828546836,16.422244426800265,ok
,,,7.985305486422461e-08,6924.0,5.72219531256957,5.722195769504347,ok
,,,1.8411100320238665e-05,12443.0,14.040380554741834,14.040122055886906,ok
,,,8.74739336763826e-09,8557.0,2.652257269788611,2.6522572929889487,ok
,,,7.222695115648028e-06,6614.0,20.848086643552218,20.847936064178647,ok
,,,3.378891378291659e-06,564.0,22.365926052570472,22.36600162460518,ok
,,,1.75671776300134e-10,11802.0,12.776069892551062,12.776069894795457,ok
,,,1.919543935912901e-08,7769.0,17.83638767848038,17.83638802085768,ok
