arm,target_delta,pair,realized_delta,relative_delta_error,bayes_accuracy,observed_accuracy,monte_carlo_tolerance,exceeds_bayes,disposition,reason,freeze_sha256
RESOLVED_PHYSICAL,0.25,7,0.24999999999999992,3.3306690738754696e-16,0.5497382248301129,0.529296875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,7,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.5234375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,7,0.25,0.0,0.5497382248301129,0.55859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,8,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.544921875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,8,0.25,0.0,0.5497382248301129,0.583984375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,8,0.25,0.0,0.5497382248301129,0.55859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,8,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.572265625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,9,0.25,0.0,0.5497382248301129,0.546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,9,0.25,0.0,0.5497382248301129,0.51171875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,9,0.25,0.0,0.5497382248301129,0.546875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,9,0.25,0.0,0.5497382248301129,0.576171875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,10,0.24999999999999994,2.220446049250313e-16,0.5497382248301129,0.603515625,0.04397496704365141,True,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,10,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.541015625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,10,0.25,0.0,0.5497382248301129,0.5390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,10,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.591796875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,11,0.25,0.0,0.5497382248301129,0.501953125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
