geometry,spin,inclination_deg,order_pair,n_fractions_total,n_fractions_defined,n_fractions_unsupported,median,q25,q75,iqr,minimum,maximum,window_overlap_fraction,Gamma_amp,exponent_difference_amp_minus_sensitivity,asymptotic_law_fitted,n_fractions_negative,windows_disjoint,usable,disposition,undefined_reasons,counts_toward_denominator
a000_i020,0.0,20,0->1,19,19,0,2.613977943721441,2.2360182352560103,2.632917984374477,0.3968997491184667,0.1199012760582407,2.6452488038723425,0.0,4.7142313128650795,2.1002533691436382,False,0,True,False,UNDEFINED_NO_COMMON_MATCHED_SUPPORT,windows_disjoint,True
a000_i020,0.0,20,1->2,19,19,0,1.831082805048167,1.7523197835507607,1.8758554801166714,0.12353569656591068,1.3704549607475625,1.9231593746154534,0.5343895675013575,3.602138633553201,1.7710558285050342,False,0,False,True,SUPPORTED,,True
a000_i050,0.0,50,0->1,19,19,0,2.441451563104086,2.1429906522998428,2.726283683614849,0.5832930313150064,1.9670289998391794,3.1088300425459137,0.11456897897549514,4.274263527449642,1.8328119643455558,False,0,False,True,SUPPORTED,,True
a000_i050,0.0,50,1->2,19,19,0,2.1872811403983596,2.0794902852168087,2.342201238299148,0.2627109530823395,1.9411181995052011,2.384528821846929,0.49314638758445767,3.887175501194268,1.6998943607959083,False,0,False,True,SUPPORTED,,True
a000_i075,0.0,75,0->1,19,19,0,1.979059795964976,1.4406431143035887,2.349767287751157,0.9091241734475684,1.0594914635631414,3.4051659395937373,0.3083709431887621,3.248288322170091,1.269228526205115,False,0,False,True,SUPPORTED,,True
a000_i075,0.0,75,1->2,19,19,0,2.0593682418490045,1.9580365541882934,2.0890761695886173,0.13103961540032394,0.9495465024338345,2.1239832447751663,0.5780355047789261,4.057068054359834,1.9976998125108296,False,0,False,True,SUPPORTED,,True
a050_i020,0.5,20,0->1,19,19,0,2.723488519280769,2.6348706913220843,2.760461809162762,0.12559111784067767,2.5211028348288202,2.7906506428289797,0.0,4.68113143107981,1.9576429117990406,False,0,True,False,UNDEFINED_NO_COMMON_MATCHED_SUPPORT,windows_disjoint,True
a050_i020,0.5,20,1->2,19,19,0,1.7944122228945318,1.782259718342226,1.8006124932907213,0.0183527749484953,1.5704796187262087,1.830006614070573,0.545489782797807,3.500905333395378,1.706493110500846,False,0,False,True,SUPPORTED,,True
a050_i050,0.5,50,0->1,19,19,0,2.4864491340968184,2.194034592329121,2.75529038883976,0.5612557965106388,1.9804364420047353,3.4216440300673945,0.11408880785434944,4.272045747772266,1.7855966136754473,False,0,False,True,SUPPORTED,,True
a050_i050,0.5,50,1->2,19,19,0,2.120181076593587,2.0442758424605243,2.2011351635984697,0.15685932113794543,1.8867667923225295,2.329909733210144,0.521076370070978,3.7842769468545074,1.6640958702609203,False,0,False,True,SUPPORTED,,True
a050_i075,0.5,75,0->1,19,19,0,1.5298937408308875,1.1291828563879154,1.9439001651304202,0.8147173087425048,0.9570862104691541,3.5186389198856896,0.3092199118515936,2.8702686072268233,1.3403748663959358,False,0,False,True,SUPPORTED,,True
a050_i075,0.5,75,1->2,19,19,0,2.569482465003321,2.326806564096519,2.669512470989617,0.342705906893098,1.7028337085561527,2.686824163811461,0.5185833651592088,4.388229524847705,1.8187470598443838,False,0,False,True,SUPPORTED,,True
a090_i020,0.9,20,0->1,19,19,0,2.6092860594717187,2.4113218437276953,2.6702420142857877,0.25892017055809236,0.8497552716974848,2.695167506074096,0.0,4.619730740970078,2.010444681498359,False,0,True,False,UNDEFINED_NO_COMMON_MATCHED_SUPPORT,windows_disjoint,True
a090_i020,0.9,20,1->2,19,19,0,1.7036930446242313,1.6628227531287054,1.7747365970031326,0.11191384387442715,1.6293480691552398,1.9298495257142196,0.5453522791917543,3.2026226845617347,1.4989296399375034,False,0,False,True,SUPPORTED,,True
a090_i050,0.9,50,0->1,19,19,0,2.4916475663795885,2.2057950007614107,2.7736966670387604,0.5679016662773497,1.9956599214357487,3.4266991492118626,0.11655490042525003,4.249377216852735,1.7577296504731463,False,0,False,True,SUPPORTED,,True
a090_i050,0.9,50,1->2,19,19,0,1.9495521404142735,1.8364620951072084,2.0471733385184634,0.21071124341125502,1.6142690253681433,2.0781134394362955,0.5570820084912195,3.548496318321117,1.5989441779068436,False,0,False,True,SUPPORTED,,True
a090_i075,0.9,75,0->1,19,19,0,1.5599603385340026,1.1317504182304088,2.0161477225091344,0.8843973042787256,0.9758152686032225,3.0667669502533763,0.30872173028675504,2.875223472359633,1.3152631338256302,False,0,False,True,SUPPORTED,,True
a090_i075,0.9,75,1->2,19,19,0,2.3100183114074264,2.092489452984176,2.495141679092944,0.40265222610876794,1.793756826231383,2.5598217895722297,0.5713382849299955,4.250871966118362,1.9408536547109358,False,0,False,True,SUPPORTED,,True
a098_i020,0.98,20,0->1,19,10,9,1.909266429436311,-1.0140547038073127,2.3951763355760067,3.4092310393833194,-8.566006326667146,2.5682321435824145,0.43470540075641606,4.592383081828545,2.6831166523922336,False,3,False,False,UNDEFINED_NO_COMMON_MATCHED_SUPPORT,fractions_without_information;negative_exponent_fractions,True
a098_i020,0.98,20,1->2,19,19,0,1.6816763611659702,1.66167606680215,1.70332782215988,0.041651755357730025,1.5735117204322657,1.9215875621903928,0.5362110834647277,3.0754533411958707,1.3937769800299005,False,0,False,True,SUPPORTED,,True
