geometry,source_class,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,log_information_volume_at_reference_snr
a000_i020,C224,RESOLVED_PHYSICAL,12.0,0.42410683783869263,7.738873789726027e-07,101.80227590997639
a000_i020,C224,RESOLVED_PHYSICAL,16.0,0.25731806249071343,3.10757340291317e-08,77.4471960191681
a000_i020,C224,RESOLVED_PHYSICAL,20.0,0.04745171061168988,1.1294671323232983e-08,50.48712668615609
a000_i020,C224,RESOLVED_PHYSICAL,24.0,0.006054787517150716,3.5157856287425844e-08,36.226100072673454
a000_i020,C224,RESOLVED_PHYSICAL,28.0,0.006091672425614284,1.0270879159644895e-07,36.33469661284326
a000_i020,C224,RESOLVED_PHYSICAL,32.0,0.005301102820615492,2.685928959079108e-07,36.45144625433682
a000_i020,C224,RESOLVED_PHYSICAL,36.0,0.0032113028135883287,5.6115956103316e-07,31.831241163158797
a000_i020,C224,RESOLVED_PHYSICAL,40.0,0.0018741172338156283,5.566519573411356e-07,25.881067472561867
a000_i020,C224,RESOLVED_PHYSICAL,44.0,0.0012483827286606842,8.019998685730167e-07,21.772575142651295
a000_i020,C224,RESOLVED_PHYSICAL,48.0,0.0008576507925917691,8.807020612048339e-07,18.57868043286132
a000_i020,C224,RESOLVED_PHYSICAL,52.0,0.0006141676353714806,3.995742805152126e-07,15.302923852690428
a000_i020,C224,RESOLVED_PHYSICAL,56.0,0.0004436913465742168,1.0336232299618211e-07,12.205235992542386
a000_i020,C224,RESOLVED_PHYSICAL,60.0,0.00030226213850387246,3.106954820403627e-08,9.37606108584713
a000_i020,C224,RESOLVED_PHYSICAL,64.0,0.00018496564420725773,4.649109679790097e-09,7.144963617936553
a000_i020,C224,RESOLVED_PHYSICAL,68.0,0.00013426506702857516,9.206703148928892e-10,5.205075033512635
a000_i020,C224,RESOLVED_PHYSICAL,72.0,9.198197361159479e-05,1.2919172243509725e-10,3.477609098915625
a000_i020,C224,RESOLVED_PHYSICAL,76.0,4.4260519672289284e-05,1.593191460553112e-11,1.9683833935644715
a000_i020,C224,RESOLVED_PHYSICAL,80.0,2.4637283824842482e-05,2.0402446404304756e-12,0.7204403071157164
a000_i020,C224,RESOLVED_PHYSICAL,84.0,8.400506417647921e-06,1.440285683838478e-13,0.2594079624106346
a000_i020,C224,RESOLVED_PHYSICAL,88.0,2.5990366364149584e-06,1.3406189570443447e-14,0.13587161737659054
a000_i020,C224,RESOLVED_PHYSICAL,92.0,1.8367184088354667e-06,1.3569554733628284e-16,0.07720305429584969
a000_i020,C224,RESOLVED_PHYSICAL,96.0,8.217859642461817e-07,6.989317450456289e-19,0.02508146857255466
a000_i020,C224,RESOLVED_PHYSICAL,100.0,7.695631215559106e-08,1.4582858637313842e-22,0.00200596238355409
a000_i020,C224,RESOLVED_PHYSICAL,104.0,4.435006842217005e-10,3.394282923611093e-27,1.100323677768359e-05
a000_i020,C224,RESOLVED_PHYSICAL,108.0,8.670982479970005e-14,0.0,2.030705849110199e-09
a000_i020,C224,RESOLVED_PHYSICAL,112.0,5.019866487244219e-19,0.0,1.10295309945825e-14
a000_i020,C224,RESOLVED_PHYSICAL,116.0,8.377844438487978e-26,0.0,1.726760638133573e-21
a000_i020,C224,RESOLVED_PHYSICAL,120.0,4.006330945841623e-34,0.0,7.762877160525985e-30
a000_i020,C224,RESOLVED_PHYSICAL,124.0,5.480126811676662e-44,0.0,1.0013279045153718e-39
a000_i020,C224,RESOLVED_PHYSICAL,128.0,2.142888335604198e-55,0.0,3.705087741914659e-51
a000_i020,C224,RESOLVED_PHYSICAL,132.0,2.3947254193726625e-68,0.0,3.9322635125910123e-64
a000_i020,C224,RESOLVED_PHYSICAL,136.0,7.647078898049785e-83,0.0,1.1969150554316011e-78
a000_i020,C224,RESOLVED_PHYSICAL,140.0,6.977183877996092e-99,0.0,1.0447359645564728e-94
a000_i020,C224,RESOLVED_PHYSICAL,144.0,1.8187951583539055e-116,0.0,2.614617646781885e-112
a000_i020,C224,RESOLVED_PHYSICAL,148.0,1.3545298088154067e-135,0.0,1.8758380080535649e-131
a000_i020,C224,RESOLVED_PHYSICAL,152.0,2.881918258690336e-156,0.0,3.857340387518717e-152
a000_i020,C224,RESOLVED_PHYSICAL,156.0,1.7516752158166774e-178,0.0,2.273007788706108e-174
a000_i020,C224,RESOLVED_PHYSICAL,160.0,3.0415656629135444e-202,0.0,3.837477073092914e-198
a000_i020,C224,RESOLVED_PHYSICAL,164.0,1.5087142725062107e-227,0.0,1.8558064554857707e-223
a000_i020,C224,RESOLVED_PHYSICAL,168.0,2.1378572479306678e-254,0.0,2.5702288989075717e-250
a000_i020,C224,RESOLVED_PHYSICAL,172.0,8.653841019051317e-283,0.0,1.019236221661695e-278
a000_i020,C224,RESOLVED_PHYSICAL,176.0,1.000679281077e-312,0.0,1.1570606281562636e-308
a000_i020,C224,RESOLVED_PHYSICAL,180.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,184.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,188.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,192.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,196.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,200.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,204.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,208.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,212.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,216.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,220.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,224.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,228.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,232.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,236.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,240.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,244.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,248.0,0.0,0.0,0.0
a000_i020,C224,RESOLVED_PHYSICAL,252.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,0.0,0.4715846329751633,4.6269376246884695e-05,127.76589286118556
a000_i020,C224,DELAY_ONLY,4.0,0.4716063903858725,3.922198280149148e-05,124.29619455325539
a000_i020,C224,DELAY_ONLY,8.0,0.4664240010944871,1.1043688856607556e-05,115.66415471228943
a000_i020,C224,DELAY_ONLY,12.0,0.4238096966321345,2.5017740657564086e-06,101.96990078363811
a000_i020,C224,DELAY_ONLY,16.0,0.25628947312044836,1.8608258079184511e-06,79.44714565914119
a000_i020,C224,DELAY_ONLY,20.0,0.04607985326955527,1.3261860899150748e-06,53.491442141974744
a000_i020,C224,DELAY_ONLY,24.0,0.003009578088812392,1.108422429511389e-06,40.27870106405846
a000_i020,C224,DELAY_ONLY,28.0,0.0034465837619975853,1.3187285889156374e-06,41.29233085696587
a000_i020,C224,DELAY_ONLY,32.0,0.003697095834543173,1.5211895335739525e-06,42.838433515213985
a000_i020,C224,DELAY_ONLY,36.0,0.0037383169959875765,1.4024450444348792e-06,42.15122354584583
a000_i020,C224,DELAY_ONLY,40.0,0.003269955577001386,1.0991205042561007e-06,39.488992923729036
a000_i020,C224,DELAY_ONLY,44.0,0.0027613178640507902,7.313668084876617e-07,36.51535003963802
a000_i020,C224,DELAY_ONLY,48.0,0.002299393850219483,5.237615489955582e-07,34.04508874471281
a000_i020,C224,DELAY_ONLY,52.0,0.002103892263659141,4.738556032856359e-07,31.61279541563296
a000_i020,C224,DELAY_ONLY,56.0,0.0017658875203779717,4.1804989547193373e-07,28.39756012993523
a000_i020,C224,DELAY_ONLY,60.0,0.0014889511963395111,3.118575352750548e-07,24.699128571592613
a000_i020,C224,DELAY_ONLY,64.0,0.0011456021897427418,1.6911025734907137e-07,21.176312577939928
a000_i020,C224,DELAY_ONLY,68.0,0.00081892205109865,5.844473947655717e-08,16.30855703701889
a000_i020,C224,DELAY_ONLY,72.0,0.000730493476164624,2.2270539846707346e-08,11.613267065476474
a000_i020,C224,DELAY_ONLY,76.0,0.0005586529905804224,5.068656920774793e-09,7.543974904950094
a000_i020,C224,DELAY_ONLY,80.0,0.000137503680200258,1.4857845572475378e-09,3.4259623289980667
a000_i020,C224,DELAY_ONLY,84.0,3.673204336560626e-05,3.032872695453069e-10,1.4158460302140654
a000_i020,C224,DELAY_ONLY,88.0,3.2761657865558165e-05,3.046055561454042e-11,0.8026337562144689
a000_i020,C224,DELAY_ONLY,92.0,2.3619142203301874e-05,2.128997556952007e-12,0.4787718077067496
a000_i020,C224,DELAY_ONLY,96.0,3.7450014100264736e-06,8.77153661285113e-15,0.10294667237490321
a000_i020,C224,DELAY_ONLY,100.0,3.150466409763583e-07,6.544818995341008e-19,0.004263587984977414
a000_i020,C224,DELAY_ONLY,104.0,2.0024735608420795e-09,4.408193652937235e-24,2.1976104850964903e-05
a000_i020,C224,DELAY_ONLY,108.0,3.8804998738507055e-13,0.0,4.165226613523233e-09
a000_i020,C224,DELAY_ONLY,112.0,2.1776496628201154e-18,0.0,2.3251139394360227e-14
a000_i020,C224,DELAY_ONLY,116.0,3.512097792186702e-25,0.0,3.736708519371559e-21
a000_i020,C224,DELAY_ONLY,120.0,1.625150454397211e-33,0.0,1.7230765577355078e-29
a000_i020,C224,DELAY_ONLY,124.0,2.1563061723680635e-43,0.0,2.2779883027534036e-39
a000_i020,C224,DELAY_ONLY,128.0,8.20092631115927e-55,0.0,8.631597475827712e-51
a000_i020,C224,DELAY_ONLY,132.0,8.937629364678653e-68,0.0,9.371821136746622e-64
a000_i020,C224,DELAY_ONLY,136.0,2.790412581871422e-82,0.0,2.9151280456969376e-78
a000_i020,C224,DELAY_ONLY,140.0,2.4950912364604433e-98,0.0,2.59717559143348e-94
a000_i020,C224,DELAY_ONLY,144.0,6.38803937092899e-116,0.0,6.626213569971033e-112
a000_i020,C224,DELAY_ONLY,148.0,4.68176711930623e-135,0.0,4.840190383832342e-131
a000_i020,C224,DELAY_ONLY,152.0,9.820154050695367e-156,0.0,1.0120635875206407e-151
a000_i020,C224,DELAY_ONLY,156.0,5.893941251591625e-178,0.0,6.056485782380574e-174
a000_i020,C224,DELAY_ONLY,160.0,1.0120281414488357e-201,0.0,1.037109713244513e-197
a000_i020,C224,DELAY_ONLY,164.0,4.970570942674247e-227,0.0,5.080986989339463e-223
a000_i020,C224,DELAY_ONLY,168.0,6.98202641686338e-254,0.0,7.120722830828278e-250
a000_i020,C224,DELAY_ONLY,172.0,2.8045257169857433e-282,0.0,2.854243121269139e-278
a000_i020,C224,DELAY_ONLY,176.0,3.220975403703e-312,0.0,3.2718394434943814e-308
a000_i020,C224,DELAY_ONLY,180.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,184.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,188.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,192.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,196.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,200.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,204.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,208.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,212.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,216.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,220.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,224.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,228.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,232.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,236.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,240.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,244.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,248.0,0.0,0.0,0.0
a000_i020,C224,DELAY_ONLY,252.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,0.0,0.4739883790499737,8.637853264185704e-05,129.62128437566534
a000_i020,C224,SPATIAL_ONLY,4.0,0.47380840754592646,7.177341895143671e-05,126.10563059923155
a000_i020,C224,SPATIAL_ONLY,8.0,0.46815762574547864,3.3770366608522874e-05,117.52343412470013
a000_i020,C224,SPATIAL_ONLY,12.0,0.4251008759925826,1.1923260401415362e-05,103.37420061364118
a000_i020,C224,SPATIAL_ONLY,16.0,0.2568175681851897,3.650304462472304e-06,77.60565631546001
a000_i020,C224,SPATIAL_ONLY,20.0,0.045362292566418626,5.164163791340645e-07,36.721986571649275
a000_i020,C224,SPATIAL_ONLY,24.0,0.0007461892129240668,6.876295795762894e-09,5.3256559242765
a000_i020,C224,SPATIAL_ONLY,28.0,4.782089201042509e-06,4.0686890511298055e-12,0.07910260648493983
a000_i020,C224,SPATIAL_ONLY,32.0,2.01660145409825e-07,9.506349435776305e-17,0.0022974066152505338
a000_i020,C224,SPATIAL_ONLY,36.0,2.922605014904245e-10,6.349205905047578e-23,3.1562255853375353e-06
a000_i020,C224,SPATIAL_ONLY,40.0,1.2272331056407079e-14,1.1484402579864235e-30,1.315449314779039e-10
a000_i020,C224,SPATIAL_ONLY,44.0,1.473890562135863e-20,0.0,1.5782747998230036e-16
a000_i020,C224,SPATIAL_ONLY,48.0,5.057025734720545e-28,0.0,5.4144714052714526e-24
a000_i020,C224,SPATIAL_ONLY,52.0,4.956462720031981e-37,0.0,5.306709625447422e-33
a000_i020,C224,SPATIAL_ONLY,56.0,1.3876849626358386e-47,0.0,1.4857419567513762e-43
a000_i020,C224,SPATIAL_ONLY,60.0,1.1098181423869706e-59,0.0,1.1882400809714172e-55
a000_i020,C224,SPATIAL_ONLY,64.0,2.5354474092045717e-73,0.0,2.7146070180960185e-69
a000_i020,C224,SPATIAL_ONLY,68.0,1.6546236838698229e-88,0.0,1.771542578790629e-84
a000_i020,C224,SPATIAL_ONLY,72.0,3.084506631689555e-105,0.0,3.3024638062526104e-101
a000_i020,C224,SPATIAL_ONLY,76.0,1.64253269232611e-123,0.0,1.7585972131777235e-119
a000_i020,C224,SPATIAL_ONLY,80.0,2.498527756812657e-143,0.0,2.6750785361262624e-139
a000_i020,C224,SPATIAL_ONLY,84.0,1.0856658490437236e-164,0.0,1.1623810871257512e-160
a000_i020,C224,SPATIAL_ONLY,88.0,1.347565913952276e-187,0.0,1.442787514604835e-183
a000_i020,C224,SPATIAL_ONLY,92.0,4.777995096286456e-212,0.0,5.115617424268853e-208
a000_i020,C224,SPATIAL_ONLY,96.0,4.839307559543596e-238,0.0,5.181262344165643e-234
a000_i020,C224,SPATIAL_ONLY,100.0,1.4001113979408697e-265,0.0,1.4990459636073044e-261
a000_i020,C224,SPATIAL_ONLY,104.0,1.1571343872963669e-294,0.0,1.2388997298207029e-290
a000_i020,C224,SPATIAL_ONLY,108.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,112.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,116.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,120.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,124.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,128.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,132.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,136.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,140.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,144.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,148.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,152.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,156.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,160.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,164.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,168.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,172.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,176.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,180.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,184.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,188.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,192.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,196.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,200.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,204.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,208.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,212.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,216.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,220.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,224.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,228.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,232.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,236.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,240.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,244.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,248.0,0.0,0.0,0.0
a000_i020,C224,SPATIAL_ONLY,252.0,0.0,0.0,0.0
a000_i020,C224,UNRESOLVED_IMAGE,0.0,0.4644768565223554,4.557916948753396e-05,127.39331493120959
a000_i020,C224,UNRESOLVED_IMAGE,4.0,0.46447914625315084,3.86312060822324e-05,123.92864226145781
