family,index,truth_seed,zero_mean_max_abs,min_total,n_ambiguous,n_single_resolved,n_multi_resolved,n_blended,n_dead,hash_dj,hash_labels
flare_birth_motion_decay,9,1222473328871889438,2.2326696611214787e-18,0.24864074627789579,0,35,0,0,26,d77d2f5d471aefcc1122cef15822803a54553f3e3ee286836d13ab0cc573edf2,c5a67e8632361f30c6a7edc6eb90d81b9a10ee82d86b505a3b55ed1ee85a64a4
m1_rotating_crescent,0,2300154046187735370,3.499478093059173e-18,0.15973390730453096,0,61,0,0,0,cf2b049922d726cb25b9552f230b4a49c9ccb1791618d08c681892100d6ac013,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,1,6087779110306010014,5.754338174205643e-18,0.1617368906199303,0,61,0,0,0,fef9bca42893fb69808fd481bdf1a9f6bae2f5c93af20a84d82eb663513b87e2,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,2,6712330232648206024,8.230327909808467e-18,0.14307825665335744,0,61,0,0,0,3511d429c2f4a07e7bc2df963981c900394353fc1a07bff9685a278e0d9ab6a4,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,3,2517295822229574705,6.743652809565112e-18,0.13136846063995444,0,61,0,0,0,373033edd3b819dd2e2f78bbb7e1a25e7f182dd517a93ad38b83f60a51b27ac0,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,4,6318604284649201888,1.0165118542780654e-17,0.2084685987004995,0,61,0,0,0,69884c0bbd5f4a097b6c90636b5e1601df27e170df758ed5c2f2cb2e37b83749,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,5,2858293320503689612,1.9795689372925033e-18,0.31415057566670507,0,61,0,0,0,676df3faf19fd46ec41419a50246cee4242a4e44a3ca735adb021239ff3da731,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,6,4861259343512744397,6.12776555670673e-18,0.1965387172156333,0,61,0,0,0,04c4478b0603b1176da3e84c6c40fbeda816c0ad2f4e8d0cfeb04674ffeb0f04,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,7,2226812884961676839,3.006424228873355e-18,0.14276863971338383,0,61,0,0,0,199bd098c74fc280e83dbdb52ea04274a4e4036cffcefbfadd6b32767f921b9c,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
m1_rotating_crescent,8,4747882964772794906,5.207168098158571e-19,0.08826468473340773,0,61,0,0,0,5a5283a8eabc59b1aa9650275e86edd9c78eb3854175d34291630705a3825f07,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
