error_in_reference_data_subspace,error_outside_reference_data_subspace,n_reference_data_directions,reference_arm,arm,estimator,snr0,regime,draw,error_data_supported,error_weak,error_total,n_data_directions,n_weak_directions,note,freeze_sha256
1.2979214889994486,2.1043006088985385,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,0,1.2979214889994484,2.1043006088985385,2.4864692101438592,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.2932403574037405,2.1052809328565054,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,1,1.2932403574037405,2.1052809328565045,2.484891437896222,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.285072556385205,2.1049202453549167,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,2,1.285072556385205,2.1049202453549163,2.4812731734686726,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.299562400857233,2.104107749147034,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_ID,3,1.299562400857233,2.1041077491470337,2.4875025526322974,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.247636681545804,1.4287538376438673,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,0,1.247636681545804,1.428753837643867,1.8993987798063177,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.2370191963553154,1.4306812498304011,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,1,1.2370191963553154,1.4306812498304011,1.8938162885935692,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.2405097384757855,1.436475502182005,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,2,1.2405097384757855,1.4364755021820048,1.9009269421898518,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.246449251865596,1.4311128536112463,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,IN_CLASS_OOD,3,1.246449251865596,1.431112853611246,1.900469796858995,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.2602222515518384,1.591625076438917,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,0,1.2602222515518384,1.5916250764389166,2.037802281636221,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
1.2482733976144622,1.5934269038915974,85,DIRECT_PHYSICAL,DIRECT_PHYSICAL,RIDGE_IDENTITY,1.0,OFF_GRID_ID,1,1.2482733976144622,1.593426903891597,2.031003250238049,85,139,"a weak-subspace improvement is a prior effect, not measured recovery",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
