regime,family,split,index,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
oracle_known,plunging_feature,pilot,5,0.0,0.0,0.0,0.4554817548495874,,
oracle_known,plunging_feature,pilot,6,0.0,0.0,0.0,0.25357626742669326,,
oracle_known,plunging_feature,pilot,7,0.0,0.0,0.0,0.22895974565646002,,
oracle_known,plunging_feature,selection,0,0.0,0.0,0.0,0.27881879628835493,,
oracle_known,plunging_feature,selection,1,0.0,0.0,0.0,0.2944921910656315,,
oracle_known,plunging_feature,selection,2,0.0,0.0,0.0,0.24325511546119172,,
oracle_known,plunging_feature,selection,3,0.0,0.0,0.0,0.19121713003075652,,
oracle_known,plunging_feature,selection,4,0.0,0.0,0.0,0.19224821722495672,,
oracle_known,plunging_feature,selection,5,0.0,0.0,0.0,0.3349586878131356,,
oracle_known,plunging_feature,selection,6,0.0,0.0,0.0,0.1854474772436369,,
oracle_known,plunging_feature,selection,7,0.0,0.0,0.0,0.3116698674774827,,
oracle_known,two_hotspot_trajectories,pilot,0,0.0,0.0,0.0,0.20133215021021267,,
oracle_known,two_hotspot_trajectories,pilot,1,0.0,0.0,0.0,0.18870364082190288,,
oracle_known,two_hotspot_trajectories,pilot,2,0.0,0.0,0.0,0.22473756230974745,,
oracle_known,two_hotspot_trajectories,pilot,3,0.0,0.0,0.0,0.32931317493394757,,
oracle_known,two_hotspot_trajectories,pilot,4,0.0,0.0,0.0,0.28165075405840145,,
oracle_known,two_hotspot_trajectories,pilot,5,0.0,0.0,0.0,0.2784803239377985,,
oracle_known,two_hotspot_trajectories,pilot,6,0.0,0.0,0.0,0.21543892314490204,,
oracle_known,two_hotspot_trajectories,pilot,7,0.0,0.0,0.0,0.1757925391615783,,
oracle_known,two_hotspot_trajectories,selection,0,0.0,0.0,0.0,0.2335504473162516,,
oracle_known,two_hotspot_trajectories,selection,1,0.0,0.0,0.0,0.3416482015234358,,
oracle_known,two_hotspot_trajectories,selection,2,0.0,0.0,0.0,0.1791895830488253,,
oracle_known,two_hotspot_trajectories,selection,3,0.0,0.0,0.0,0.31637517182078595,,
oracle_known,two_hotspot_trajectories,selection,4,0.0,0.0,0.0,0.306576912617015,,
oracle_known,two_hotspot_trajectories,selection,5,0.0,0.0,0.0,0.27401291145070145,,
oracle_known,two_hotspot_trajectories,selection,6,0.0,0.0,0.0,0.2397976479326384,,
oracle_known,two_hotspot_trajectories,selection,7,0.0,0.0,0.0,0.3802043610907967,,
estimated_from_data,circular_hotspot_trajectory,pilot,0,0.014493886427299388,0.05784111364858413,-2.460098097456509e-15,0.3008907374184361,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,pilot,1,0.010787647547933241,0.056038767114201526,5.986790924117358e-15,0.2813612937736572,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,pilot,2,0.010484816063019872,0.05896052731047674,2.53109165571086e-15,0.33766891952741546,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,pilot,3,0.012861477099254543,0.025383080089101395,5.719036355600338e-15,0.19644595668671289,0.0,0.0
estimated_from_data,circular_hotspot_trajectory,pilot,4,0.01570667756480112,0.05403680881905926,6.890668591275073e-15,0.20343713868555308,0.0,0.0
