source_class,arm,estimator,snr0,mean_direct,mean_arm,median_relative_reduction,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,8.935442771625182,6.519808603276428,0.2388703684242442,0.1784746341826489,0.10458624337850218,0.2433907389733648,4,True,96,12,True,True,True,True,True,True,True,True
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,8.935442771625182,9.047710403289685,-0.007433113327974321,-0.0061772293923655274,-0.011280548752943109,-0.0006757402912543851,1,False,96,12,False,False,False,False,True,False,False,False
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,8.935442771625182,8.000686218192874,0.07621871134362687,0.029769560771584463,-0.023457943785858654,0.07760365160348685,3,True,96,12,False,True,True,True,False,True,True,True
L1056,RESOLVED_PHYSICAL,TSVD,100.0,8.958569570288914,6.753762269152351,0.22497432658591748,0.18170681308058398,0.12135963182049342,0.2360367250501157,4,True,96,12,True,True,True,True,True,True,True,True
L1056,TOTAL_FLUX,TSVD,100.0,8.958569570288914,9.04771483274403,-0.0005535590213209803,0.011268294422148306,0.0006747654992302048,0.02372810015054185,1,False,96,12,False,False,False,False,True,False,True,True
L1056,UNRESOLVED_IMAGE,TSVD,100.0,8.958569570288914,8.191384185340485,0.05809335519000337,0.025954443188135373,-0.016895647471573898,0.06468316346994653,3,True,96,12,False,True,True,True,False,True,True,True
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,7.153995349922947,4.134510883657575,0.3683018116241056,0.18049911894210927,0.06596356225263372,0.28341190521154624,4,True,96,12,True,True,True,True,True,True,True,True
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,7.153995349922947,7.684709251103631,-0.0550871234171223,-0.04846685391751576,-0.07346211861039358,-0.022186902753132422,1,False,96,12,False,False,False,False,True,False,False,False
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,7.153995349922947,6.169133835069885,0.11741842717215091,0.01689236816507626,-0.050572502617486394,0.07840896991453203,3,True,96,12,False,True,True,True,False,True,True,True
L224,RESOLVED_PHYSICAL,TSVD,100.0,7.270319521551518,4.584559159507829,0.3124521548345489,-0.006176127062481163,-0.19624128434474397,0.15794610236981874,4,True,96,12,False,True,True,True,True,True,True,True
L224,TOTAL_FLUX,TSVD,100.0,7.270319521551518,7.689362490120765,-0.04607081268930499,-0.04639268702634012,-0.06479070932306931,-0.028194342772736542,1,False,96,12,False,False,False,False,True,False,False,False
L224,UNRESOLVED_IMAGE,TSVD,100.0,7.270319521551518,6.762255599664329,0.05872188637568225,0.011711615978429528,-0.033919892230559516,0.05320632324303679,3,True,96,12,False,True,True,True,False,True,True,True
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,8.244918223452858,5.55651809847787,0.31591920441929233,0.17452184350649216,0.07924105640679634,0.25756684351818177,4,True,96,12,True,True,True,True,True,True,True,True
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,8.244918223452858,8.38216282666373,-0.005724666037704553,-0.0006561705729334384,-0.010884113715280377,0.011250243161401843,1,False,96,12,False,False,False,False,True,False,False,False
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,8.244918223452858,7.366678678746642,0.09852862722445824,-0.023244186278873046,-0.10241402749309021,0.04643114080948768,3,True,96,12,False,True,True,True,False,True,True,True
L448,RESOLVED_PHYSICAL,TSVD,100.0,8.294313938892104,6.003363012872515,0.22222728352524496,-0.06375877281211367,-0.2557746929325624,0.09590901237206374,4,True,96,12,False,True,True,True,True,True,True,True
