arm,estimator,snr0,selected_hyperparameter,selection_rule,selected_T_stable_anchor,selected_L_stable_anchor,a_anchor_M,selected_old_band_normalized_error,oracle_hyperparameter,oracle_old_band_normalized_error,oracle_label,n_grid,selection_seconds,freeze_sha256
DIRECT_PHYSICAL,RIDGE_IDENTITY,30.0,3.162277660168379e-07,lexicographic_validation,56.0,56.0,0.0,0.6577261197509134,3.162277660168379e-07,0.6577261197509134,ORACLE_UPPER_BOUND,21,1.6776299476623535,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,30.0,9.999999999999999e-06,lexicographic_validation,92.0,92.0,0.0,1.102781550795694,9.999999999999999e-06,1.102781550795694,ORACLE_UPPER_BOUND,21,1.6036336421966553,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,30.0,1e-06,lexicographic_validation,120.0,120.0,0.0,0.20296263633210251,1e-06,0.20296263633210251,ORACLE_UPPER_BOUND,13,1.0280108451843262,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,30.0,1.0,lexicographic_validation,92.0,92.0,0.0,1.111749928349499,1.0,1.111749928349499,ORACLE_UPPER_BOUND,7,0.5612070560455322,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,100.0,0.00031622776601683794,lexicographic_validation,64.0,64.0,0.0,0.6353806662986006,9.999999999999999e-05,0.6290867053218344,ORACLE_UPPER_BOUND,15,1.256420373916626,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,lexicographic_validation,64.0,64.0,0.0,0.6118623448273945,3.162277660168379e-08,0.6118623448273945,ORACLE_UPPER_BOUND,21,1.8042078018188477,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,3.162277660168379e-06,lexicographic_validation,96.0,96.0,0.0,1.0940955710902525,3.162277660168379e-06,1.0940955710902525,ORACLE_UPPER_BOUND,21,2.197920799255371,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,1e-06,lexicographic_validation,120.0,120.0,0.0,0.2056241145612232,1e-06,0.2056241145612232,ORACLE_UPPER_BOUND,13,1.0013532638549805,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,1.0,lexicographic_validation,92.0,92.0,0.0,1.107067278857036,1.0,1.107067278857036,ORACLE_UPPER_BOUND,7,0.5738482475280762,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,300.0,9.999999999999999e-05,lexicographic_validation,68.0,68.0,0.0,0.5677740355777471,9.999999999999999e-05,0.5677740355777471,ORACLE_UPPER_BOUND,15,1.1750617027282715,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,300.0,3.162277660168379e-09,lexicographic_validation,68.0,68.0,0.0,0.5655151436573276,3.162277660168379e-09,0.5655151436573276,ORACLE_UPPER_BOUND,21,1.712841272354126,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,300.0,3.162277660168379e-06,lexicographic_validation,96.0,96.0,0.0,1.0924582969188275,3.162277660168379e-06,1.0924582969188275,ORACLE_UPPER_BOUND,21,1.6405248641967773,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,300.0,1e-06,lexicographic_validation,120.0,120.0,0.0,0.20639059521328934,1e-06,0.20639059521328934,ORACLE_UPPER_BOUND,13,1.074164628982544,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,300.0,1.0,lexicographic_validation,92.0,92.0,0.0,1.106994748742537,1.0,1.106994748742537,ORACLE_UPPER_BOUND,7,0.5636661052703857,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,1000.0,3.1622776601683795e-05,lexicographic_validation,76.0,76.0,0.0,0.5177824542648783,3.1622776601683795e-05,0.5177824542648783,ORACLE_UPPER_BOUND,15,1.180518627166748,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,9.999999999999999e-10,lexicographic_validation,76.0,76.0,0.0,0.5142884388880407,9.999999999999999e-10,0.5142884388880407,ORACLE_UPPER_BOUND,21,1.7360074520111084,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1000.0,3.162277660168379e-06,lexicographic_validation,96.0,96.0,0.0,1.0923706628574705,3.162277660168379e-06,1.0923706628574705,ORACLE_UPPER_BOUND,21,1.5315849781036377,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,1000.0,1e-06,lexicographic_validation,120.0,120.0,0.0,0.20665744150362264,1e-06,0.20665744150362264,ORACLE_UPPER_BOUND,13,0.985846757888794,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,1000.0,1.0,lexicographic_validation,92.0,92.0,0.0,1.1068698912750616,1.0,1.1068698912750616,ORACLE_UPPER_BOUND,7,0.7377963066101074,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,3000.0,9.999999999999999e-06,lexicographic_validation,80.0,80.0,0.0,0.47885587948679414,9.999999999999999e-06,0.47885587948679414,ORACLE_UPPER_BOUND,15,1.205721378326416,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,RIDGE_IDENTITY,3000.0,9.999999999999999e-11,lexicographic_validation,80.0,80.0,0.0,0.47275930976219166,9.999999999999999e-11,0.47275930976219166,ORACLE_UPPER_BOUND,21,1.5969901084899902,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,3000.0,3.162277660168379e-06,lexicographic_validation,96.0,96.0,0.0,1.0923543508070621,3.162277660168379e-06,1.0923543508070621,ORACLE_UPPER_BOUND,21,1.598092794418335,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,WIENER_GAUSSIAN,3000.0,1e-06,lexicographic_validation,120.0,120.0,0.0,0.20673474417563506,1e-06,0.20673474417563506,ORACLE_UPPER_BOUND,13,1.003791093826294,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,3000.0,1.0,lexicographic_validation,92.0,92.0,0.0,1.1068981004082659,1.0,1.1068981004082659,ORACLE_UPPER_BOUND,7,0.5340144634246826,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
DIRECT_PHYSICAL,TSVD,10000.0,3.162277660168379e-06,lexicographic_validation,84.0,84.0,0.0,0.4484615149589988,3.162277660168379e-06,0.4484615149589988,ORACLE_UPPER_BOUND,15,1.2071824073791504,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
