geometry,spin,inclination_deg,arm,retarded_age,information_per_snr2,information_at_reference_snr,lambda_max_per_snr2,lambda_min_per_snr2,log_information_volume_at_reference_snr
a000_i020,0.0,20,DIRECT_PHYSICAL,148.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,152.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,156.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,160.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,164.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,168.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,172.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,176.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,180.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,184.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,188.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,192.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,196.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,200.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,204.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,208.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,212.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,216.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,220.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,224.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,228.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,232.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,236.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,240.0,0.0,0.0,0.0,0.0,0.0
a000_i020,0.0,20,DIRECT_PHYSICAL,244.0,0.0,0.0,0.0,0.0,0.0
