regime,arm,estimator,snr0,hyperparameter,selection_error
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.0031622776601683794,0.6287141688546187
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.001,0.6024621423812181
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,0.5830971357765526
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,0.5568503329646418
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.5289849355195164
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,0.5047614288440478
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,0.5021611303443597
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,0.5400898929479965
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,0.6571109527123292
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,0.9302962002932889
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,1.5049862913170102
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-08,2.5736888550637187
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,4.323800129880208
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-09,6.992890315737948
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,11.440998670705662
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-10,19.505095492514247
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1.0,0.7211927412793399
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.31622776601683794,0.7125161878082712
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.1,0.7045577553290414
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.03162277660168379,0.7035676531582057
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.01,0.6567603388448108
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.0031622776601683794,0.6834933968976392
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.001,0.8598679468457195
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.00031622776601683794,1.3808849487147563
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.0001,7.481248703380486
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,3.1622776601683795e-05,23.402248110366255
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1e-05,61.31141100226669
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,3.162277660168379e-06,165.31528457230002
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1e-06,424.9536041751838
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,3.162277660168379e-07,1015.6370283931701
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1e-07,2377.204717640406
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,0.7108140045875547
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.31622776601683794,0.7120772713682083
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.1,0.7118498164703254
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.03162277660168379,0.7092504361514212
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.01,0.7038331606506288
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.0031622776601683794,0.694536201449283
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.001,0.680716885848648
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.00031622776601683794,0.6547091158353749
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.0001,0.620665461175024
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.5980188718902684
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-05,0.606527544543447
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-06,0.6586355413131025
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-06,0.7726394449408499
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-07,1.0413349912958774
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-07,1.8449455505710215
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-08,3.829928782610185
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-08,7.657016680971638
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,13.778493098683597
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-09,22.567490809632176
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,35.60448133944011
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-10,55.6771850153797
oracle_known,TOTAL_FLUX,TSVD,100.0,1.0,0.708714583586432
oracle_known,TOTAL_FLUX,TSVD,100.0,0.31622776601683794,0.7136615010137809
oracle_known,TOTAL_FLUX,TSVD,100.0,0.1,0.7127592695163529
oracle_known,TOTAL_FLUX,TSVD,100.0,0.03162277660168379,0.7127592695163529
oracle_known,TOTAL_FLUX,TSVD,100.0,0.01,0.7155390405124039
oracle_known,TOTAL_FLUX,TSVD,100.0,0.0031622776601683794,0.7114383036346679
oracle_known,TOTAL_FLUX,TSVD,100.0,0.001,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,0.00031622776601683794,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,0.0001,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,3.1622776601683795e-05,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,1e-05,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,3.162277660168379e-06,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,1e-06,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,3.162277660168379e-07,0.7055153341046386
oracle_known,TOTAL_FLUX,TSVD,100.0,1e-07,0.7055153341046386
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,0.7137013633491521
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.31622776601683794,0.7139402190047356
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.1,0.7122881319875956
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.03162277660168379,0.7117532542007585
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.01,0.71156923505263
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.0031622776601683794,0.7139477514719229
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.001,0.7157485304639101
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.00031622776601683794,0.7160680751942557
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.0001,0.7147537118055669
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.7110568521442179
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-05,0.7099788428652705
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.162277660168379e-06,0.7077372271048947
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-06,0.7065657847684622
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.162277660168379e-07,0.7059926561064583
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-07,0.7056867211746137
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.162277660168379e-08,0.7055690520368035
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-08,0.7055225904718235
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,0.7055176303424169
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-09,0.7055160604106502
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,0.7055155637999434
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-10,0.7055154067423891
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1.0,0.6831652596960963
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.31622776601683794,0.6800940279634196
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.1,0.6675212608312986
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.03162277660168379,0.6774004048822384
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.01,0.6669472275745539
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.6613277176876536
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.001,0.9839084045007364
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.00031622776601683794,1.2582709362007152
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.0001,1.8988855378401777
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,4.81625309779827
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1e-05,6.361930015217838
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-06,57.5442507609173
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1e-06,146.83882953776023
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-07,409.24153810023
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1e-07,831.29918492322
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,0.682826594420574
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.31622776601683794,0.6820824390089371
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.1,0.6808510370671724
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.03162277660168379,0.6805765421863614
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.01,0.679115419249004
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0031622776601683794,0.6751678725436726
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.001,0.664292156739925
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,0.6557284197925967
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,0.6509267639370634
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.6525589142844161
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,0.6557476284092466
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,0.7029376373670483
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,0.8159326070403523
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,0.9821934575881519
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,1.2168954876051117
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,1.5284743038135256
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-08,1.9896670711498576
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,2.8844333851151105
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-09,4.28649369375328
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,7.007766607850088
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-10,13.507247966340492
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1.0,0.6934698489789887
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.31622776601683794,0.7025952910880079
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.1,0.6611526565023006
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.03162277660168379,0.6073538004335491
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.01,0.5882330993631362
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.5354078927288769
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.001,0.6747252736640897
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.00031622776601683794,1.1810330722859972
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.0001,3.5657060508212854
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,8.229948707650946
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1e-05,26.999725977815896
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-06,59.36075397509868
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1e-06,173.88308128945337
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-07,438.17734110356315
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1e-07,819.8921171374881
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,0.6905474962399344
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.31622776601683794,0.6864193963289115
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.1,0.6798450794548212
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.03162277660168379,0.6685821759492069
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.01,0.6493996706669515
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.0031622776601683794,0.6246743081929458
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.001,0.5956225265095936
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,0.5744038215582082
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,0.5469349674233278
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.5184523786247541
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,0.4984866996444514
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,0.5196777315828448
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,0.5931142236534767
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,0.7647486018228881
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,1.1492518870573531
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,1.8825126470648286
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-08,3.1589248574897737
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,5.283791133490287
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-09,8.665088053509349
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,14.398403597110788
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-10,24.264607990120766
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,1.0,0.7033623054196524
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.31622776601683794,0.7035701855712017
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.1,0.691680878789129
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.03162277660168379,0.6886598280902175
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.01,0.6427847165266866
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.0031622776601683794,0.7715449598082996
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.001,1.1256858164934362
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.00031622776601683794,1.7659423917441013
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.0001,9.006095968105845
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,3.1622776601683795e-05,32.72743827737498
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,1e-05,76.20291796470315
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,3.162277660168379e-06,241.3597331487592
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,1e-06,567.6457855178285
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,3.162277660168379e-07,1198.4677683317707
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,1e-07,2799.993645028561
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,0.7014039888782765
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.31622776601683794,0.7017131995061646
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.1,0.6999898617594645
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.03162277660168379,0.6957248211383379
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.01,0.6901112717390623
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.0031622776601683794,0.6842895664219629
