source_class,arm,bank,family,index,retarded_age,structure_error_absolute,structure_error_normalized,in_old_band
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,94.0,6.6716584600063165,0.9999822484025694,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,96.0,6.717819568082647,1.0000121036776448,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,98.0,6.673251530104448,1.0000144742589927,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,100.0,6.716392335573292,1.0000121279374663,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,102.0,6.674700713127234,1.0000078223647422,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,104.0,6.714792085574239,1.0000030022394046,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,106.0,6.676267658198468,1.0000026983643144,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,108.0,6.713164824945178,1.000005274165582,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,110.0,6.678004930120243,1.00000824539816,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,112.0,6.711466091606447,1.0000110505103104,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,114.0,6.679810466484695,1.0000105256876455,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,116.0,6.709619626874909,1.0000076165467875,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,118.0,6.68164211431561,1.0000046529650009,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,0,120.0,6.707680896155574,1.000001817073063,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,0.0,6.8745134337548714,1.1245745704746632,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,2.0,6.745575324411443,1.1085303496018992,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,4.0,6.754569498752404,1.1046559066348758,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,6.0,6.780041380989105,1.1144901764100983,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,8.0,6.8896737186946275,1.1264625506171393,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,10.0,6.92213069010763,1.1381331057367787,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,12.0,6.9235839905530465,1.1317333412386745,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,14.0,6.649537732744132,1.093572412465456,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,16.0,6.464424502098436,1.0564401113210649,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,18.0,6.240417019067651,1.0265153552788604,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,20.0,6.161245909170093,1.0066830584804067,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,22.0,6.064554895649875,0.9977894774368978,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,24.0,6.116076539874742,0.9991119030285811,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,26.0,6.165011289561198,1.014504423798288,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,28.0,6.296623202450704,1.0284286338757114,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,30.0,6.2883590327568895,1.0349729029314505,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,32.0,6.32434410198964,1.032798962962993,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,34.0,6.180262697834436,1.017328663479611,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,36.0,6.192231005391103,1.0110910180213957,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,38.0,6.280422988200055,1.0339432749227722,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,40.0,6.5650147804008965,1.0718422192144246,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,42.0,6.875088887023947,1.1319574373220833,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,44.0,7.34584462395721,1.1992188103140955,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,46.0,7.7659692489991246,1.2787382603938235,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,48.0,8.208040974485334,1.3398847467375747,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,50.0,8.242468573151212,1.3572741363167817,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,52.0,8.243970087756056,1.3456911821353148,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,54.0,7.834891637233261,1.290201326369125,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,56.0,7.488652590482802,1.2223728358263413,False
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,58.0,7.064037935719537,1.1632728395977845,True
L224,DIRECT_PHYSICAL,baseline_one_positive,circular_crescent,1,60.0,6.804954150991599,1.1107752623295108,True
