arm,estimator,snr0,regime,family,hyperparameter,n_truths,L_stable_anchor,T_stable_anchor,old_band_normalized_error,old_band_absolute_error,freeze_sha256
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_ID,correlated_extended_field,0.0031622776601683794,512,0.0,-1.0,2.54229752665844,2.576899088654875,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_ID,rotating_asymmetric_crescent,0.0031622776601683794,512,0.0,-1.0,1.9401022680593627,3.0337952062623863,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_ID,single_orbiting_hotspot,0.0031622776601683794,512,0.0,-1.0,2.288487420001213,2.6961096264673556,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_ID,two_independent_hotspots,0.0031622776601683794,512,0.0,-1.0,2.1491833049957525,2.8880282536729713,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,IN_CLASS_OOD,moving_flare_birth_decay,0.0031622776601683794,1024,0.0,-1.0,2.5964155000704,2.607177048143141,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,OFF_GRID_ID,correlated_extended_field,0.0031622776601683794,256,0.0,-1.0,2.596302033164024,2.640689867750003,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,OFF_GRID_ID,rotating_asymmetric_crescent,0.0031622776601683794,256,0.0,-1.0,2.3066816200095577,2.72245425636346,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,OFF_GRID_ID,single_orbiting_hotspot,0.0031622776601683794,256,0.0,-1.0,2.5502041262597954,2.5810338610760692,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,OFF_GRID_ID,two_independent_hotspots,0.0031622776601683794,256,0.0,-1.0,2.5059405525935627,2.5705048859067015,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,1.0,OFF_GRID_OOD,moving_flare_birth_decay,0.0031622776601683794,1024,0.0,-1.0,2.5823119503020937,2.5829478101215164,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
