arm,estimator,snr0,regime,family,n_truths,L_stable_anchor,old_band_normalized_error,old_band_absolute_error,freeze_sha256
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,OFF_GRID_ID,correlated_extended_field,512,76.0,1.0655083136716528,1.0840832370039615,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,OFF_GRID_ID,rotating_asymmetric_crescent,512,0.0,1.1042875558412022,1.3436158955152733,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,OFF_GRID_ID,single_orbiting_hotspot,512,80.0,1.060797539700006,1.077777077459434,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,OFF_GRID_ID,two_independent_hotspots,512,72.0,1.0730836474600702,1.1091053000114668,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,OFF_GRID_OOD,moving_flare_birth_decay,512,92.0,1.0499957130921371,1.0501289212347167,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_ID,correlated_extended_field,512,44.0,0.19748481653449995,0.1994885406187486,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_ID,rotating_asymmetric_crescent,512,60.0,0.1689453637540952,0.27326185369349343,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_ID,single_orbiting_hotspot,512,68.0,0.17800240084295407,0.21313527452535172,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_ID,two_independent_hotspots,512,68.0,0.1776422772926433,0.25121548233057023,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_OOD,moving_flare_birth_decay,512,120.0,0.17912925396001547,0.18058111032396285,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,OFF_GRID_ID,correlated_extended_field,512,0.0,0.21294595221994708,0.21789053749523035,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,OFF_GRID_ID,rotating_asymmetric_crescent,512,0.0,0.25219929508778444,0.31017469392327557,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,OFF_GRID_ID,single_orbiting_hotspot,512,120.0,0.188880773959227,0.19225183167645904,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,OFF_GRID_ID,two_independent_hotspots,512,56.0,0.20169833832238987,0.20902743428262047,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,OFF_GRID_OOD,moving_flare_birth_decay,512,120.0,0.1760893176160528,0.17618262446008898,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,IN_CLASS_ID,correlated_extended_field,512,48.0,1.0567056095033949,1.0674727332212375,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,100.0,IN_CLASS_ID,rotating_asymmetric_crescent,512,44.0,1.1216731161428188,1.782430990492736,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
