epsilon,sigma_min,sigma_max,rank,kappa_positive,sigma_min_over_epsilon
0.01,0.0003200833301022257,138.50057269729936,225,432701.6113368545,0.032008333010222566
0.001,0.0003200817977528308,138.50057716754668,225,432703.6968047077,0.3200817977528308
0.0001,0.0003199553270517807,138.50057761487116,225,432874.7356422561,3.1995532705178067
1e-05,5.5778269513685404e-05,138.5005776596068,225,2483056.194951067,5.57782695136854
1e-06,5.5789697395061664e-06,138.50057766408023,225,24825475.69371471,5.578969739506166
1e-07,5.578850095968614e-07,138.5005776645276,225,248260080.98803523,5.578850095968614
