geometry,profile,order,weighting,n_valid,sampled_max_RETIRED,total_weight,q0.5,q0.9,q0.99,q0.999
a098_i075,coarse,0,solid_angle,2557,137.5425132974708,1636.4800000000005,97.04871191858864,126.64692301620433,135.25875323089872,137.43514500061664
a098_i075,coarse,0,throughput,2557,137.5425132974708,1439.1997285105647,96.17630114314835,126.8924828197763,135.33615655227976,137.4364377947218
a098_i075,coarse,0,fisher,2557,137.5425132974708,1509.3224064240212,93.73811196318199,125.70362736950088,135.1134095556485,137.42808210926333
a098_i075,coarse,1,solid_angle,4997,162.03706343095246,127.92320000000002,112.2456067006028,136.26718479763903,145.63869391639255,149.87768201109077
a098_i075,coarse,1,throughput,4997,162.03706343095246,78.85829867168789,117.19519008323034,139.40622838680775,145.93768776348418,152.67397965375304
a098_i075,coarse,1,fisher,4997,162.03706343095246,63.12669203024643,118.53138052196562,139.93928392740068,146.27242614306064,152.77383119377933
a098_i075,coarse,2,solid_angle,2449,177.01717948282794,3.918400000000001,121.47795423220303,139.95730092909253,163.23292600592907,174.83642562126062
a098_i075,coarse,2,throughput,2449,177.01717948282794,1.3052191511470208,128.22052038502036,152.05859574149952,166.31552898476858,176.7521712859903
a098_i075,coarse,2,fisher,2449,177.01717948282794,0.8812440849132956,133.60549615330683,154.64706861223695,167.1127050084859,176.82068808985517
a098_i075,core,0,solid_angle,9995,138.7696577146686,1599.2000000000005,98.37335487974482,127.8515950016171,136.7192583852211,138.5842223846933
a098_i075,core,0,throughput,9995,138.7696577146686,1406.9403303935342,97.15057725550052,128.18616223696688,136.76569337734927,138.58538531421058
a098_i075,core,0,fisher,9995,138.7696577146686,1474.2410338496502,95.193366899226,127.03401427294448,136.51832078070063,138.56594794935614
a098_i075,core,1,solid_angle,20139,161.84523349232006,128.88960000000003,113.5312017036752,137.666568708832,146.95418848197804,154.17362252113034
a098_i075,core,1,throughput,20139,161.84523349232006,79.50047639257261,118.50434167296706,140.6861696819936,147.39820338221875,155.98808380549602
a098_i075,core,1,fisher,20139,161.84523349232006,63.29529008621127,120.26699235445015,141.43288300186785,147.58039969440276,156.15428900124158
a098_i075,core,2,solid_angle,9804,191.5339600433582,3.921600000000001,122.67498899132428,140.7712862554065,161.51725674806636,175.64268667700227
a098_i075,core,2,throughput,9804,191.5339600433582,1.299502630352171,129.1718352312615,149.92098124762973,167.1732037973253,178.88065009886833
a098_i075,core,2,fisher,9804,191.5339600433582,0.8392049756503974,134.1458291856845,153.79014555073158,168.68529008933794,179.74196715484277
a098_i075,fine,0,solid_angle,39538,139.4665110539371,1581.5200000000004,99.0913479148724,128.51523976253793,137.33852934419463,139.07941151320261
a098_i075,fine,0,throughput,39538,139.4665110539371,1390.454879826646,97.87201067800605,128.83540517676613,137.3952684714185,139.091338187229
a098_i075,fine,0,fisher,39538,139.4665110539371,1456.5650023237972,95.79495077590829,127.6874548244519,137.21296809810585,139.04064592240357
a098_i075,fine,1,solid_angle,80388,173.04512415312195,128.62080000000003,114.1553053845741,138.2853637841094,147.61564991177613,154.78406624369092
a098_i075,fine,1,throughput,80388,173.04512415312195,79.31605624109437,119.14398628297837,141.26360352081116,148.11133490970946,156.5881128162641
a098_i075,fine,1,fisher,80388,173.04512415312195,63.150697071436255,120.76517602701922,142.04394706703184,148.27833473287902,157.21475095431296
a098_i075,fine,2,solid_angle,39302,192.16410628925803,3.930200000000001,123.30958652554935,141.71150967937638,163.96051234967618,176.9536375717733
a098_i075,fine,2,throughput,39302,192.16410628925803,1.2939483451288323,129.80656541803458,151.41767845498526,168.3367133359988,180.8175885784274
a098_i075,fine,2,fisher,39302,192.16410628925803,0.8210159810758456,134.3464349484217,155.84928869814644,170.15466820882386,183.22983113110976
