family,index,off_manifold,canary,age_M,level,multiplicity_label,centroid_r,centroid_phi,total_contrast,second_moment_rr,second_moment_pp,second_moment_rp,a_m1,a_m2,radial_mass_fraction_peak
two_hotspot_trajectories,3,False,False,0.0,2,2,10.117332029443583,3.7020909562007422,113.90943013909583,0.06096846793334131,0.21285983492880076,-0.0016336404568156168,0.8978328249943702,0.6381863022879408,0.09417414885234249
two_hotspot_trajectories,3,False,False,2.0,2,2,10.117294784011532,3.647314746823148,113.93313032257592,0.06096648923704453,0.21274230900190222,-0.0012683499080172356,0.8978868326595054,0.6383524436727291,0.09417414764057609
two_hotspot_trajectories,3,False,False,4.0,2,2,10.117308036360035,3.5925375308153495,113.94455646049039,0.060966834058439244,0.21259630534733445,-0.0009038982745548814,0.8979529667148222,0.6385464078525057,0.0941722621092625
two_hotspot_trajectories,3,False,False,6.0,2,2,10.117390133089756,3.537778235934845,113.94571841024933,0.0609689365771053,0.21244044138373985,-0.0005381848168659664,0.8980229728793767,0.638745785723292,0.0941668299365506
two_hotspot_trajectories,3,False,False,8.0,2,2,10.117403133410585,3.482946976070673,113.94780782926892,0.06096933794375847,0.21237933202375753,-0.00016028524827335823,0.8980505261056487,0.6388253083816849,0.09415739788624436
two_hotspot_trajectories,3,False,False,10.0,2,2,10.117344141265969,3.4281417120043507,113.95406989744043,0.06096747949796615,0.2124422216764949,0.00021303958123544177,0.898022625167648,0.6387493543660024,0.09417031136182363
two_hotspot_trajectories,3,False,False,12.0,2,2,10.11727285109255,3.373370211762484,113.95644412133453,0.060965430867919,0.21255518870590034,0.000577821324465593,0.8979720694713463,0.638607218293312,0.09417440931655843
two_hotspot_trajectories,3,False,False,14.0,2,2,10.117264290001337,3.3185943622263228,113.94746244992339,0.06096560003974255,0.2126479917039795,0.0009432923382346987,0.8979299463552501,0.6384828020451406,0.094175863248942
two_hotspot_trajectories,3,False,False,16.0,2,2,10.117327309748296,3.263811391823053,113.92731483294139,0.06096787480229526,0.2127221329162339,0.00130765673906835,0.8978955807609116,0.6383741860456373,0.09417451693528771
two_hotspot_trajectories,3,False,False,18.0,2,2,10.117450606600121,3.209028124700638,113.8956363440877,0.06097226278322428,0.2127743818740647,0.001672550784950868,0.8978704124494107,0.6382853494104401,0.09417067341310731
two_hotspot_trajectories,3,False,False,20.0,2,2,10.117524666107919,3.1541688415826727,113.8625515894908,0.06097576170694167,0.2129015453740646,0.0020520300343337627,0.8978116606693867,0.6381014554000525,0.0941559619418755
