order,field,n_matched,max_screen_distance,median_relative,p95_relative,p99_relative,max_relative_interior,max_relative_boundary,max_absolute,expected_to_differ
0,source_r,9995,0.14235687404912353,0.006519721592630294,0.031132249634923503,0.06631818944664485,0.11981984240034288,0.23019397874326114,0.47404528992940786,False
0,source_phi,9995,0.14235687404912353,0.0003445100318515846,0.004227046456829513,0.012979321243977611,0.04757599637706719,0.408142961634419,2.564437859770143,False
0,delay,9995,0.14235687404912353,0.004502884053819892,0.018645794401591892,0.020703434044969073,0.020141100114275928,0.1727606223262895,20.7868205674946,False
0,redshift,9995,0.14235687404912353,0.0007481625059644524,0.01013039005686029,0.06949858444067622,0.16326087346249685,31.76431096292215,0.32268105857860896,False
0,pixel_area,9995,0.14235687404912353,0.75,0.75,0.75,0.75,0.75,0.12000000000000002,True
0,validity_match_distance,9995,0.14235687404912353,0.09010315606348794,0.12269980050716744,0.1310295972009975,0.13748789372388637,0.14235687404912353,0.14235687404912353,False
1,source_r,20139,0.033282732394744184,0.009860939758005635,0.0637863173105996,0.17970131066234035,0.24629821480003453,0.48265439991134906,22.755302780099388,False
1,source_phi,20139,0.033282732394744184,0.0001925243118261718,0.019738211028774832,0.1508212867472817,0.1784807606033018,0.4988851229106569,3.1345876742427214,False
1,delay,20139,0.033282732394744184,0.004631859828675627,0.009789284135787526,0.0406572678900156,0.030662709204213642,0.21444774980498182,24.98087943089581,False
1,redshift,20139,0.033282732394744184,0.0010565886469841666,0.0760280377187815,0.38785598017407336,0.39996658781204375,53.40330921071178,0.6529584398809469,False
1,pixel_area,20139,0.033282732394744184,0.75,0.75,0.75,0.75,0.75,0.0048000000000000004,True
1,validity_match_distance,20139,0.033282732394744184,0.021520761318527138,0.02495386320862348,0.025957255428135855,0.026471176470655052,0.033282732394744184,0.033282732394744184,False
2,source_r,9804,0.00998103261254129,0.05184300985889874,0.42103632838446653,1.115641132400093,2.518697583501008,3.1651857986441367,42.08158759742623,False
2,source_phi,9804,0.00998103261254129,0.007762303426862864,0.14048038837023505,0.35076192761655695,0.49773999985285483,0.49584816256459485,3.127392653871027,False
2,delay,9804,0.00998103261254129,0.006706560201305948,0.05450819583747067,0.11688593671213622,0.25928120949641237,0.28759726136772157,44.4914218044496,False
2,redshift,9804,0.00998103261254129,0.028522363701163754,0.5146464243988934,2.238094997139343,48.763149484202486,24.361048297887574,1.230395824799017,False
2,pixel_area,9804,0.00998103261254129,0.75,0.75,0.75,0.75,0.75,0.00030000000000000003,True
2,validity_match_distance,9804,0.00998103261254129,0.005168559255858336,0.005948028251785868,0.007255314093662488,0.009813884916640574,0.00998103261254129,0.00998103261254129,False
-1,operator_gram_core_to_fine,-1,,0.01353450846130676,0.07486915616452786,0.09825768778424585,0.030882255374124312,0.06080683522411111,749.5256559121186,False
