class,arm,estimator,snr0,direct,arm_cost,median_reduction,ci_low,ci_high,improves,n_truths
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.4689598112179292,1.7230399715843958,-0.18173573600936974,-0.45464915194278344,0.08144132173662996,False,12
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.4689598112179292,1.4801400991707825,0.03177185421556306,-0.12855381399256424,0.0715968469286238,False,12
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.4689598112179292,1.4668437932107112,1.498958605135429e-05,-0.00022560858199117446,0.001973517775395274,False,12
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,1.492847254775324,1.8687058524694795,-0.10805939637218687,-0.5374585826303528,-0.029778518402040818,False,12
L448_contrast,TOTAL_FLUX,TSVD,100.0,1.492847254775324,1.4785712347386415,0.027539622156193128,-0.011846660937314906,0.0667056816291891,False,12
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,1.492847254775324,1.4954256654449967,-0.0006042017756696817,-0.002205300219216012,4.58798629651119e-05,False,12
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,1.4774190281683686,1.7243918360023365,-0.19247825943576166,-0.4386590248155966,0.10210736187408273,False,12
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,1.4774190281683686,1.4673374611446668,0.02462583121741461,-0.15927251115778032,0.06637195965514252,False,12
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,1.4774190281683686,1.47409387716663,3.0343616376189964e-05,0.0,0.004264137028143236,False,12
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,1.4941603693120602,1.8828748703298777,-0.11682093528599274,-0.5467853388042938,-0.02503684830510306,False,12
L448_contrast,TOTAL_FLUX,TSVD,1000.0,1.4941603693120602,1.4716841410434667,0.013000588519329281,-0.01908730208215891,0.08529903880204234,False,12
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,1.4941603693120602,1.4986143188245151,-0.000297473946547127,-0.005076997598031024,0.0,False,12
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.330903649891145,1.2797786517783543,0.1157096963608607,0.007002093111858688,0.33507265588312835,True,12
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.330903649891145,1.4668002380652083,-0.03540405750366184,-0.22001212905200554,0.03362300511088445,False,12
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.330903649891145,1.3286665831467401,7.84198480016276e-05,0.0,0.0027682136061897913,False,12
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,1.4510358720442411,1.3755781815305814,0.09725164294717531,-0.030312625837322024,0.32666435216505585,False,12
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,1.4510358720442411,1.4492598246114785,0.028179460147862337,-0.07888789104944387,0.08537157303952342,False,12
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,1.4510358720442411,1.7202781471684825,-0.09717060702583169,-0.4222906865821301,0.01730561978169629,False,12
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,1.3225128783621174,1.2476278621815422,0.12076942715634821,0.02148719740329187,0.3391105549557433,True,12
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,1.3225128783621174,1.427063708018206,-0.04391276013523157,-0.19129610962785581,0.032393623589544944,False,12
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,1.3225128783621174,1.3188693194426018,0.0,-0.0001065410937442428,9.343061639220447e-05,False,12
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,1.4513414170735992,1.388438239032707,0.0873628195513117,-0.031193215404485226,0.32149134907772303,False,12
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,1.4513414170735992,1.4241860301025946,0.026320052710283166,-0.0661095435902546,0.09628904610268141,False,12
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,1.4513414170735992,1.7260388234228372,-0.11506405316953866,-0.49890641060868857,0.06468242228787704,False,12
