run_id,config_hash,spatial_structure,gamma,attenuation,readout,retarded_age,class_dimension,epoch_energy_fraction,orders_covering,shallowest_covering_order,numerical_rank,operational_rank,sigma_max,sigma_min_positive,kappa_positive,trace_information,detectable
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,19,3,0.9993748432947721,5,0,2,1,1.0504431745390828,0.9433346525640967,1.1135424440137467,1.993311129663971,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,20,3,0.9993748432947721,6,0,2,1,1.0502819631043478,0.9431898790661475,1.1135424440137465,1.9926993499951364,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,21,3,0.9993748432947722,6,0,2,1,1.0466568822418232,0.9399344298625607,1.1135424440137465,1.9789673615852308,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,22,3,0.9993748432947722,6,0,2,1,1.012593070211503,0.9093439371395908,1.1135424440137467,1.8522511218528899,True
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,23,3,0.9993748432947721,6,0,2,0,0.8713406133844088,0.7824942983256886,1.1135424440137462,1.3715317914453296,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,24,3,0.9993748432947721,5,1,2,0,0.5866878625334491,0.5268661878919871,1.1135424440137465,0.621790627987902,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,25,3,0.9993748432947719,5,1,2,0,0.2794501507189213,0.2509559938385892,1.1135424440137465,0.14107129758034187,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,26,3,0.9993748432947719,5,1,2,0,0.08914305039099436,0.08005357215633342,1.113542444013747,0.014355057848000643,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,27,3,0.9993748432947721,5,1,2,0,0.01857176768276263,0.01667809591147777,1.1135424440137467,0.0006230694380949578,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,28,3,0.9993748432947721,4,2,2,0,0.002499928286880394,0.0022450228999529105,1.113542444013747,1.1289769260857718e-05,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,29,3,0.9993748432947722,4,2,3,0,0.00021644963285002576,1.2068795432406151e-17,17934650898865.414,8.463376702296893e-08,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,30,3,0.9993748432947722,4,2,3,0,1.2031856808659885e-05,1.206370318741616e-17,997360149013.8208,2.6151419906664787e-10,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,31,3,0.9993748432947721,4,2,3,0,4.2906359692899977e-07,1.206365150853316e-17,35566643866.12162,3.3256252054108184e-13,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,32,3,0.9993748432947721,3,3,3,0,9.812659455254282e-09,1.2063649740207709e-17,813407191.5689862,1.7394158325586355e-16,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,33,3,0.9993748432947722,3,3,3,0,1.4390351771217867e-10,1.2063649678440877e-17,11928688.377726248,3.7408714575435076e-20,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,34,3,0.9993748432947722,3,3,3,0,1.3531704979216393e-12,1.2059353130583292e-17,112209.21083154222,3.3077677301490664e-24,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,35,3,0.9993748432947719,3,3,3,0,8.158692162321688e-15,6.3949904154056676e-18,1275.7942752607141,1.202461865954737e-28,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,36,3,0.9993748432949388,2,4,3,0,3.176279654351477e-17,4.9394204859653095e-18,6.4304702613928955,1.943017064609522e-33,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,37,3,0.999374843425885,2,4,3,0,1.2750144428355802e-17,7.163728757449204e-20,177.98195409196032,1.9099408317207364e-34,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,38,3,0.9993748857268745,2,4,3,0,2.0610566346902907e-17,1.1385695459958406e-22,181021.58466636346,6.613792511850135e-34,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,39,3,0.999380503580925,2,4,3,0,1.3471504987384073e-17,1.160257061487023e-25,116107933.61704306,1.8619354789789431e-34,False
AMD001_20260824T224126Z_2ba66f02,2ba66f0209fe1cdec97b8cf5862494c22fb94704318f9601a7a1f9eb4b783796,identical,0.0,equalized,direct_only,40,3,0.9996873239116094,1,5,3,0,1.5677975253804318e-17,7.582189270648885e-29,206773725822.10144,3.1285879930859696e-34,False
