order,metric,coarse,core,fine,rel_change_coarse_to_core,rel_change_core_to_fine
0,area,2554.880000000001,2495.5200000000013,2465.4000000000015,0.023786625633134433,0.012217084448770938
0,weighted_area,2131.6790968158216,2079.6828351115146,2053.9049895501753,0.025002015127714862,0.012550651414009606
0,delay_min,0.0,0.0,0.0,0.0,0.0
0,delay_max,57.42519866454245,57.88637070007428,58.11964428996919,0.007966850053897736,0.004013678898842938
0,mean_redshift,0.9210173925995337,0.9204585773682724,0.9204083306340426,0.0006071052462339689,5.459178557761e-05
1,area,55.19360000000001,54.59840000000002,54.84480000000002,0.010901418356581715,0.004492677519108488
1,weighted_area,29.273639214967275,28.94743025498704,29.08204858525044,0.011269012727789062,0.004628914977181998
1,delay_min,45.8588316635678,46.31560975207242,46.546315092106056,0.009862292452798413,0.00495646840307587
1,delay_max,100.69814770181847,103.3907965185889,104.35367934164435,0.02604340915669714,0.009227109471656116
1,mean_redshift,0.7364590325829736,0.736828292114822,0.7367988146903085,0.0005011473307961233,4.0007426621506404e-05
2,area,1.6592000000000007,1.6716000000000006,1.6672000000000005,0.007418042593921968,0.0026391554702496285
2,weighted_area,0.6544927773869716,0.6573196133653135,0.6505515219291774,0.004300550175080247,0.010403620940068931
2,delay_min,61.92310318283353,62.385187262026534,62.61677128738768,0.007406951865868208,0.003698434470507264
2,delay_max,118.50260063512883,120.17886422444246,120.95309187423061,0.013948073150226274,0.006401057118847379
2,mean_redshift,0.627953514996845,0.6238991481085927,0.6226916160800536,0.006498433121031693,0.0019392135647187357
