geometry,source_class,kind,arm,old_band_boundary_M,old_structural_dimension,old_structural_operational_rank,old_structural_exact_nullity,old_structural_sigma_max,old_structural_sigma_min,old_structural_information_volume,level_operational_rank,level_information_volume
a050_i050,L224,localized,DIRECT_PHYSICAL,57.666382656487954,81,0,37,1.7511348513640774e-14,0.0,4.070484908370593e-28,5,71.4029466588762
a050_i050,L224,localized,RESOLVED_PHYSICAL,57.666382656487954,81,38,0,297.5084190977347,6.189339196137952e-20,183.80832472974174,8,88.95577973059996
a050_i050,L224,localized,UNRESOLVED_IMAGE,57.666382656487954,81,21,0,50.32632586917995,8.639919021703827e-20,71.19295811948986,7,79.38020049120675
a050_i050,L224,localized,TOTAL_FLUX,57.666382656487954,81,1,0,11.230657643879015,0.004822574061260008,5.492786792404374,5,47.498373090716285
a050_i050,L224,localized,DELAY_ONLY,57.666382656487954,81,50,0,146.21063160400598,9.87392600642648e-18,254.1865641237522,8,88.95577973059996
a050_i050,L224,localized,SPATIAL_ONLY,57.666382656487954,81,0,37,1.79198995266061e-14,0.0,4.370550881830442e-28,5,71.4572078328656
a050_i050,L448,localized,DIRECT_PHYSICAL,57.666382656487954,189,0,85,1.8077371816544023e-14,0.0,5.558079243458555e-28,9,127.67297545221372
a050_i050,L448,localized,RESOLVED_PHYSICAL,57.666382656487954,189,93,0,373.0734443893516,4.1034612545963426e-35,505.9614314606158,15,169.8583998526235
a050_i050,L448,localized,UNRESOLVED_IMAGE,57.666382656487954,189,46,0,59.511120306368966,7.412929202179242e-23,192.81716753092155,13,148.59136564069507
a050_i050,L448,localized,TOTAL_FLUX,57.666382656487954,189,3,0,17.685651973337,0.05313023759530845,11.127846094282157,7,57.48559239604758
a050_i050,L448,localized,DELAY_ONLY,57.666382656487954,189,120,0,185.5210034687601,2.627255329885302e-37,668.3912137569787,15,169.8583998526235
a050_i050,L448,localized,SPATIAL_ONLY,57.666382656487954,189,0,85,1.8418108086862142e-14,0.0,5.990481825245849e-28,9,127.76917157572163
a050_i050,L1056,localized,DIRECT_PHYSICAL,57.666382656487954,455,0,143,1.0984652989802232e-14,0.0,2.4994637274366147e-28,9,124.02379703527235
a050_i050,L1056,localized,RESOLVED_PHYSICAL,57.666382656487954,455,185,0,323.31670095904667,1.0558940102803876e-50,992.5229884524451,15,163.86692567588318
a050_i050,L1056,localized,UNRESOLVED_IMAGE,57.666382656487954,455,91,0,52.96055700499963,5.557529609195042e-35,351.4272054548864,13,143.32039104205703
a050_i050,L1056,localized,TOTAL_FLUX,57.666382656487954,455,3,0,15.370378060941842,0.06181287831838243,11.697257612368425,7,54.72662515752676
a050_i050,L1056,localized,DELAY_ONLY,57.666382656487954,455,243,0,179.3732467353063,1.867546449167608e-48,1312.8706031269405,15,163.86692567588318
a050_i050,L1056,localized,SPATIAL_ONLY,57.666382656487954,455,0,143,1.1557674510983693e-14,0.0,2.965931890895901e-28,9,124.11999307545386
a050_i050,C224,global,DIRECT_PHYSICAL,57.666382656487954,0,0,0,0.0,0.0,0.0,7,99.85958665808096
a050_i050,C224,global,RESOLVED_PHYSICAL,57.666382656487954,0,0,0,0.0,0.0,0.0,8,113.11376961780132
a050_i050,C224,global,UNRESOLVED_IMAGE,57.666382656487954,0,0,0,0.0,0.0,0.0,8,105.12054013816103
a050_i050,C224,global,TOTAL_FLUX,57.666382656487954,0,0,0,0.0,0.0,0.0,5,55.01435531323143
a050_i050,C224,global,DELAY_ONLY,57.666382656487954,0,0,0,0.0,0.0,0.0,8,113.11376961780135
a050_i050,C224,global,SPATIAL_ONLY,57.666382656487954,0,0,0,0.0,0.0,0.0,7,99.93504884110902
a050_i050,C448_T,global,DIRECT_PHYSICAL,57.666382656487954,0,0,0,0.0,0.0,0.0,12,176.92886008582525
a050_i050,C448_T,global,RESOLVED_PHYSICAL,57.666382656487954,0,0,0,0.0,0.0,0.0,16,218.0350888785394
a050_i050,C448_T,global,UNRESOLVED_IMAGE,57.666382656487954,0,0,0,0.0,0.0,0.0,15,196.61430226440805
a050_i050,C448_T,global,TOTAL_FLUX,57.666382656487954,0,0,0,0.0,0.0,0.0,6,70.88533538416948
a050_i050,C448_T,global,DELAY_ONLY,57.666382656487954,0,0,0,0.0,0.0,0.0,16,218.03508887853957
a050_i050,C448_T,global,SPATIAL_ONLY,57.666382656487954,0,0,0,0.0,0.0,0.0,12,177.0572727422907
a050_i050,C1056_ST,global,DIRECT_PHYSICAL,57.666382656487954,0,0,0,0.0,0.0,0.0,12,172.03193111326686
a050_i050,C1056_ST,global,RESOLVED_PHYSICAL,57.666382656487954,0,0,0,0.0,0.0,0.0,16,211.57689349409742
a050_i050,C1056_ST,global,UNRESOLVED_IMAGE,57.666382656487954,0,0,0,0.0,0.0,0.0,15,190.61905359871974
a050_i050,C1056_ST,global,TOTAL_FLUX,57.666382656487954,0,0,0,0.0,0.0,0.0,6,68.3642613522309
a050_i050,C1056_ST,global,DELAY_ONLY,57.666382656487954,0,0,0,0.0,0.0,0.0,16,211.5768934940972
a050_i050,C1056_ST,global,SPATIAL_ONLY,57.666382656487954,0,0,0,0.0,0.0,0.0,12,172.15989080854087
