arm,snr0,n_detectable_ages,deepest_detectable_age,shallowest_detectable_age,total_ages,right_censored,age_grid_max,depth_report
DIRECT_PHYSICAL,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
DIRECT_PHYSICAL,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
DIRECT_PHYSICAL,10.0,13,48.00038218551549,0.0003821855154910736,31,False,120.00038218551549,48.0
DIRECT_PHYSICAL,30.0,15,56.00038218551549,0.0003821855154910736,31,False,120.00038218551549,56.0
DIRECT_PHYSICAL,100.0,16,60.00038218551549,0.0003821855154910736,31,False,120.00038218551549,60.0
DIRECT_PHYSICAL,300.0,16,60.00038218551549,0.0003821855154910736,31,False,120.00038218551549,60.0
DIRECT_PHYSICAL,1000.0,17,64.00038218551549,0.0003821855154910736,31,False,120.00038218551549,64.0
DIRECT_PHYSICAL,3000.0,17,64.00038218551549,0.0003821855154910736,31,False,120.00038218551549,64.0
DIRECT_PHYSICAL,10000.0,17,64.00038218551549,0.0003821855154910736,31,False,120.00038218551549,64.0
DIRECT_PHYSICAL,30000.0,18,68.00038218551549,0.0003821855154910736,31,False,120.00038218551549,68.0
DIRECT_PHYSICAL,100000.0,18,68.00038218551549,0.0003821855154910736,31,False,120.00038218551549,68.0
DIRECT_PHYSICAL,1000000.0,18,68.00038218551549,0.0003821855154910736,31,False,120.00038218551549,68.0
RESOLVED_PHYSICAL,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
RESOLVED_PHYSICAL,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
RESOLVED_PHYSICAL,10.0,13,48.00038218551549,0.0003821855154910736,31,False,120.00038218551549,48.0
RESOLVED_PHYSICAL,30.0,15,56.00038218551549,0.0003821855154910736,31,False,120.00038218551549,56.0
RESOLVED_PHYSICAL,100.0,22,84.00038218551549,0.0003821855154910736,31,False,120.00038218551549,84.0
RESOLVED_PHYSICAL,300.0,25,96.00038218551549,0.0003821855154910736,31,False,120.00038218551549,96.0
RESOLVED_PHYSICAL,1000.0,27,104.00038218551549,0.0003821855154910736,31,False,120.00038218551549,104.0
RESOLVED_PHYSICAL,3000.0,29,112.00038218551549,0.0003821855154910736,31,False,120.00038218551549,112.0
RESOLVED_PHYSICAL,10000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_PHYSICAL,30000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_PHYSICAL,100000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_PHYSICAL,1000000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
RESOLVED_EQUALIZED,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
RESOLVED_EQUALIZED,10.0,25,96.00038218551549,0.0003821855154910736,31,False,120.00038218551549,96.0
RESOLVED_EQUALIZED,30.0,29,112.00038218551549,0.0003821855154910736,31,False,120.00038218551549,112.0
RESOLVED_EQUALIZED,100.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,300.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,1000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,3000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,10000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,30000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,100000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
RESOLVED_EQUALIZED,1000000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
DELAY_ONLY_PHYSICAL,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
DELAY_ONLY_PHYSICAL,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
DELAY_ONLY_PHYSICAL,10.0,13,48.00038218551549,0.0003821855154910736,31,False,120.00038218551549,48.0
DELAY_ONLY_PHYSICAL,30.0,15,56.00038218551549,0.0003821855154910736,31,False,120.00038218551549,56.0
DELAY_ONLY_PHYSICAL,100.0,22,84.00038218551549,0.0003821855154910736,31,False,120.00038218551549,84.0
DELAY_ONLY_PHYSICAL,300.0,25,96.00038218551549,0.0003821855154910736,31,False,120.00038218551549,96.0
DELAY_ONLY_PHYSICAL,1000.0,27,104.00038218551549,0.0003821855154910736,31,False,120.00038218551549,104.0
DELAY_ONLY_PHYSICAL,3000.0,29,112.00038218551549,0.0003821855154910736,31,False,120.00038218551549,112.0
DELAY_ONLY_PHYSICAL,10000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
DELAY_ONLY_PHYSICAL,30000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
DELAY_ONLY_PHYSICAL,100000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
DELAY_ONLY_PHYSICAL,1000000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
SPATIAL_ONLY_PHYSICAL,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
SPATIAL_ONLY_PHYSICAL,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
SPATIAL_ONLY_PHYSICAL,10.0,13,48.00038218551549,0.0003821855154910736,31,False,120.00038218551549,48.0
SPATIAL_ONLY_PHYSICAL,30.0,15,56.00038218551549,0.0003821855154910736,31,False,120.00038218551549,56.0
SPATIAL_ONLY_PHYSICAL,100.0,16,60.00038218551549,0.0003821855154910736,31,False,120.00038218551549,60.0
SPATIAL_ONLY_PHYSICAL,300.0,16,60.00038218551549,0.0003821855154910736,31,False,120.00038218551549,60.0
SPATIAL_ONLY_PHYSICAL,1000.0,17,64.00038218551549,0.0003821855154910736,31,False,120.00038218551549,64.0
SPATIAL_ONLY_PHYSICAL,3000.0,17,64.00038218551549,0.0003821855154910736,31,False,120.00038218551549,64.0
SPATIAL_ONLY_PHYSICAL,10000.0,17,64.00038218551549,0.0003821855154910736,31,False,120.00038218551549,64.0
SPATIAL_ONLY_PHYSICAL,30000.0,18,68.00038218551549,0.0003821855154910736,31,False,120.00038218551549,68.0
SPATIAL_ONLY_PHYSICAL,100000.0,18,68.00038218551549,0.0003821855154910736,31,False,120.00038218551549,68.0
SPATIAL_ONLY_PHYSICAL,1000000.0,18,68.00038218551549,0.0003821855154910736,31,False,120.00038218551549,68.0
PAIRING_DESTROYED,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
PAIRING_DESTROYED,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
PAIRING_DESTROYED,10.0,13,48.00038218551549,0.0003821855154910736,31,False,120.00038218551549,48.0
PAIRING_DESTROYED,30.0,15,56.00038218551549,0.0003821855154910736,31,False,120.00038218551549,56.0
PAIRING_DESTROYED,100.0,19,72.00038218551549,0.0003821855154910736,31,False,120.00038218551549,72.0
PAIRING_DESTROYED,300.0,24,92.00038218551549,0.0003821855154910736,31,False,120.00038218551549,92.0
PAIRING_DESTROYED,1000.0,26,100.00038218551549,0.0003821855154910736,31,False,120.00038218551549,100.0
PAIRING_DESTROYED,3000.0,28,108.00038218551549,0.0003821855154910736,31,False,120.00038218551549,108.0
PAIRING_DESTROYED,10000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
PAIRING_DESTROYED,30000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
PAIRING_DESTROYED,100000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
PAIRING_DESTROYED,1000000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
UNRESOLVED_PHYSICAL,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
UNRESOLVED_PHYSICAL,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
UNRESOLVED_PHYSICAL,10.0,13,48.00038218551549,0.0003821855154910736,31,False,120.00038218551549,48.0
UNRESOLVED_PHYSICAL,30.0,15,56.00038218551549,0.0003821855154910736,31,False,120.00038218551549,56.0
UNRESOLVED_PHYSICAL,100.0,16,60.00038218551549,0.0003821855154910736,31,False,120.00038218551549,60.0
UNRESOLVED_PHYSICAL,300.0,17,64.00038218551549,0.0003821855154910736,31,False,120.00038218551549,64.0
UNRESOLVED_PHYSICAL,1000.0,24,92.00038218551549,0.0003821855154910736,31,False,120.00038218551549,92.0
UNRESOLVED_PHYSICAL,3000.0,25,96.00038218551549,0.0003821855154910736,31,False,120.00038218551549,96.0
UNRESOLVED_PHYSICAL,10000.0,26,100.00038218551549,0.0003821855154910736,31,False,120.00038218551549,100.0
UNRESOLVED_PHYSICAL,30000.0,27,104.00038218551549,0.0003821855154910736,31,False,120.00038218551549,104.0
UNRESOLVED_PHYSICAL,100000.0,29,112.00038218551549,0.0003821855154910736,31,False,120.00038218551549,112.0
UNRESOLVED_PHYSICAL,1000000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
TOTAL_FLUX,1.0,0,-1.0,-1.0,31,False,120.00038218551549,none
TOTAL_FLUX,3.0,0,-1.0,-1.0,31,False,120.00038218551549,none
TOTAL_FLUX,10.0,0,-1.0,-1.0,31,False,120.00038218551549,none
TOTAL_FLUX,30.0,14,52.00038218551549,0.0003821855154910736,31,False,120.00038218551549,52.0
TOTAL_FLUX,100.0,15,56.00038218551549,0.0003821855154910736,31,False,120.00038218551549,56.0
TOTAL_FLUX,300.0,20,76.00038218551549,0.0003821855154910736,31,False,120.00038218551549,76.0
TOTAL_FLUX,1000.0,24,92.00038218551549,0.0003821855154910736,31,False,120.00038218551549,92.0
TOTAL_FLUX,3000.0,25,96.00038218551549,0.0003821855154910736,31,False,120.00038218551549,96.0
TOTAL_FLUX,10000.0,28,108.00038218551549,0.0003821855154910736,31,False,120.00038218551549,108.0
TOTAL_FLUX,30000.0,29,112.00038218551549,0.0003821855154910736,31,False,120.00038218551549,112.0
TOTAL_FLUX,100000.0,30,116.00038218551549,0.0003821855154910736,31,False,120.00038218551549,116.0
TOTAL_FLUX,1000000.0,31,120.00038218551549,0.0003821855154910736,31,True,120.00038218551549,>=120.0
