family,index,truth_seed,off_manifold,canary,expected_multiplicity,n_ages,n_single_resolved,n_multi_resolved,n_blended,n_dead,n_ambiguous,grid_convergence_cells_median,grid_convergence_cells_max,grid_convergence_cardinality_error_max,contrast_fraction,peak_fraction_of_background
circular_hotspot_trajectory,0,1130015606841209510,False,False,1,61,61,0,0,0,0,0.04608294930875557,0.2542117979500463,0,0.022023535235293674,0.675280107830417
circular_hotspot_trajectory,1,138559380046793133,False,False,1,61,61,0,0,0,0,0.0844854070660516,0.2638897194039932,0,0.07764546780374082,0.7939451655877787
circular_hotspot_trajectory,2,2233524223272701217,False,False,1,61,61,0,0,0,0,0.2615320153388552,0.2615320153388595,0,0.15975530286046435,0.5941585470932571
circular_hotspot_trajectory,3,8680077441403183060,False,False,1,61,61,0,0,0,0,0.2820427196125055,0.2820427196125095,0,0.0816696194578856,0.571478249947807
circular_hotspot_trajectory,4,8309523062925305292,False,False,1,61,61,0,0,0,0,0.16897081413210574,0.3017468078181913,0,0.04119903733683713,0.6275153685079429
circular_hotspot_trajectory,5,6041301433645468961,False,False,1,61,61,0,0,0,0,0.05376344086021527,0.2557156772142289,0,0.0305914398384164,0.5576442623951051
circular_hotspot_trajectory,6,480461138156347996,False,False,1,61,61,0,0,0,0,0.023041474654377093,0.25105957371558274,0,0.01172443319104794,0.301411056531696
circular_hotspot_trajectory,7,7826661063199045359,False,False,1,61,61,0,0,0,0,0.15360983102918657,0.29342116520254136,0,0.1313555962692802,0.6642063930048239
circular_hotspot_trajectory,8,4027502651011452264,False,False,1,61,61,0,0,0,0,0.2638897194039889,0.2638897194039932,0,0.04807000511398239,0.5415005896297083
circular_hotspot_trajectory,9,7563401374376898137,False,False,1,61,61,0,0,0,0,0.30611384124163227,0.306113841241636,0,0.052473903971376114,0.4660186263426949
circular_hotspot_trajectory,10,4216234601748106974,False,False,1,61,61,0,0,0,0,0.0,0.24999999999999914,0,0.012530736665497541,0.6069161105440513
circular_hotspot_trajectory,11,7125896143519501743,False,False,1,61,61,0,0,0,0,0.42656142547806153,0.4265614254780642,0,0.09125248489017618,0.48102174264138686
