order,field,n_matched,max_screen_distance,median_relative,p95_relative,p99_relative,max_relative_interior,max_relative_boundary,max_absolute,expected_to_differ
0,source_r,15597,0.15263580427591808,0.002720843580031349,0.018044977913252557,0.039459944419832756,0.03868196202782028,0.08619450242091817,0.18693369911452407,False
0,source_phi,15597,0.15263580427591808,0.0003426183681080013,0.0017102156187999795,0.003922563406073174,0.006239324166556023,0.16989047127260054,1.0674533129298194,False
0,delay,15597,0.15263580427591808,0.011871093841482095,0.0873818611264883,0.5006721267357852,0.10430312350524336,2.351543300372896e+299,8.201159080816637,False
0,redshift,15597,0.15263580427591808,0.0003414748992254461,0.005995823315066532,0.06581423664256345,0.041576993844289506,8.598409894843991,0.09233241956955035,False
0,pixel_area,15597,0.15263580427591808,0.75,0.75,0.75,0.75,0.75,0.12000000000000002,True
0,validity_match_distance,15597,0.15263580427591808,0.07951401555511226,0.1183315460928696,0.12840356696156127,0.13207906693072888,0.15263580427591808,0.15263580427591808,False
1,source_r,8531,0.036953887453347385,0.019598060461705546,0.10002252876209777,0.19933202912539236,0.3126476709151036,0.453273615015886,19.652369838089903,False
1,source_phi,8531,0.036953887453347385,0.0003896412956742423,0.006981936191701404,0.02679318180261222,0.07999501816430045,0.20016719246726353,1.2576875626896986,False
1,delay,8531,0.036953887453347385,0.007304066998895489,0.024272904657056033,0.07103347136736007,0.11208066403455685,0.19634081431828923,20.299833181476288,False
1,redshift,8531,0.036953887453347385,0.0036224043746895546,0.172579348567299,0.907456698660594,4.86850065700336,82.06482717586583,0.17729360223953528,False
1,pixel_area,8531,0.036953887453347385,0.75,0.75,0.75,0.75,0.75,0.0048000000000000004,True
1,validity_match_distance,8531,0.036953887453347385,0.018285595456969915,0.02166811755745998,0.02284165080857878,0.029596902761755337,0.036953887453347385,0.036953887453347385,False
2,source_r,4179,0.009785519507376458,0.1319968758366676,0.6804584069220894,1.4714882087804102,3.368161160200926,3.139171876359229,37.541024555237406,False
2,source_phi,4179,0.009785519507376458,0.004376785552330631,0.03978875161131529,0.09579143795923849,0.4210866145782928,0.172758325959193,2.6457652297683225,False
2,delay,4179,0.009785519507376458,0.016336543628850925,0.14884735979460972,0.28354294857436274,0.5056288030206009,0.48482978905111035,40.09681762956302,False
2,redshift,4179,0.009785519507376458,0.054239093316872586,1.5601926834952642,8.876977050895464,11154.392801118325,62.28242520864641,0.6921249151333507,False
2,pixel_area,4179,0.009785519507376458,0.75,0.75,0.75,0.75,0.75,0.00030000000000000003,True
2,validity_match_distance,4179,0.009785519507376458,0.004503512381182909,0.006553464249114895,0.007761747245964975,0.009785519507376458,0.008974020655648757,0.009785519507376458,False
-1,operator_gram_core_to_fine,-1,,0.00723660568630941,0.02703865505493089,0.04704964844104019,0.021915075762718932,0.04408342847375116,429.60198389358027,False
