target,realized,relative_error
0.25,0.24999999999999994,2.220446049250313e-16
0.25,0.24999999999999994,2.220446049250313e-16
0.25,0.24999999999999997,1.1102230246251565e-16
0.25,0.24999999999999997,1.1102230246251565e-16
0.5,0.5,0.0
0.5,0.5,0.0
0.5,0.49999999999999994,1.1102230246251565e-16
0.5,0.49999999999999994,1.1102230246251565e-16
1.0,0.9999999999999998,2.220446049250313e-16
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
2.0,1.9999999999999998,1.1102230246251565e-16
2.0,2.0,0.0
2.0,1.9999999999999998,1.1102230246251565e-16
2.0,1.9999999999999996,2.220446049250313e-16
4.0,4.0,0.0
4.0,4.0,0.0
4.0,3.9999999999999996,1.1102230246251565e-16
4.0,4.0,0.0
