class,arm,estimator,snr0,n_truths,PHYSICAL_END_TO_END_direct,PHYSICAL_END_TO_END_arm,PHYSICAL_END_TO_END_median_reduction,PHYSICAL_END_TO_END_ci_low,PHYSICAL_END_TO_END_ci_high,PHYSICAL_END_TO_END_improves,CLASS_CONDITIONAL_direct,CLASS_CONDITIONAL_arm,CLASS_CONDITIONAL_median_reduction,CLASS_CONDITIONAL_ci_low,CLASS_CONDITIONAL_ci_high,CLASS_CONDITIONAL_improves,stable_multi_direct,stable_multi_arm,n_stable_multi_truths
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,36,0.7596697659822936,0.6602487289758806,0.12006452059289144,0.07092478200843794,0.15171594114395529,True,0.7557461666393303,0.6592882221583366,0.12171941204350972,0.06826141647758134,0.1424742292281863,True,1.4510358720442411,1.3755781815305814,12
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,36,0.7596697659822936,0.7259180170035822,0.037300704740204,-7.562211543670107e-05,0.07176544764553418,False,0.7557461666393303,0.7241585362328258,0.03761012319392039,-0.006878789352168624,0.07232570458141015,False,1.4510358720442411,1.4492598246114785,12
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,36,0.7596697659822936,0.727903638357986,0.03040004749942892,-0.04104787556262757,0.08025536671924216,False,0.7557461666393303,0.7318233924595902,0.014131683017539656,-0.05695586623049709,0.07013066249060272,False,1.4510358720442411,1.7202781471684825,12
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,36,0.7324526779382771,0.6161748498013789,0.13023647386893333,0.08307335048695796,0.20282316526668026,True,0.727599641797109,0.6119151325568146,0.14620130143905538,0.09277295309606667,0.19032701159831172,True,,,0
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,36,0.7324526779382771,0.734362225614015,-0.028223562902930426,-0.07025855497261387,0.039838112664003326,False,0.727599641797109,0.7315976014129119,-0.029275269473277715,-0.07085804525601315,0.03978637124209166,False,,,0
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,36,0.7324526779382771,0.7140179669272783,9.785370136332785e-05,0.0,0.001265898412309014,False,0.727599641797109,0.708875833410151,9.466174829612337e-05,0.0,0.0008800628185152825,False,,,0
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,36,0.7626611291087585,0.6601736549951606,0.12212117518296253,0.10123591796814262,0.13772920909952596,True,0.7589981334469507,0.657991485461038,0.11903272582264175,0.10045587973005767,0.1561127737381046,True,,,0
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,36,0.7626611291087585,0.7187189417991959,0.028394410912696975,-0.008006094164125907,0.07591407180118145,False,0.7589981334469507,0.7176912185646982,0.028394410912696975,-0.014275446369861248,0.07311714738173093,False,,,0
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,36,0.7626611291087585,0.7342917379490892,0.014586682041822514,-0.0635310134203344,0.08576723145721195,False,0.7589981334469507,0.7370190416316423,0.011377792736891715,-0.06618890517999024,0.07757157334578083,False,,,0
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,36,0.7306909916080256,0.6119057712008994,0.14056696702020857,0.11133975400283823,0.19749210319656207,True,0.7262787344028974,0.6070538879359579,0.14987498230628288,0.11222125330889632,0.19582410749407853,True,,,0
