class,arm,estimator,snr0,family,n_truths,PHYSICAL_END_TO_END_median_reduction,PHYSICAL_END_TO_END_ci_low,PHYSICAL_END_TO_END_material,CLASS_CONDITIONAL_median_reduction,CLASS_CONDITIONAL_ci_low,CLASS_CONDITIONAL_material
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,m2_structural_mode,10,0.0,-0.00248899898985237,False,0.0,-0.002667245939536666,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,plunging_feature,10,0.026634061502403737,0.005958184211567892,False,0.03435213108563278,0.007731781663909521,False
L448_contrast,TOTAL_FLUX,TSVD,100.0,plunging_feature,10,0.0007125483316308121,-0.009172926928168987,False,0.0004915405090383442,-0.009349077703674312,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,plunging_feature,10,0.0006577077356871832,-0.009874405775308697,False,0.0004113684890597996,-0.005434700104766776,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,10,0.05878862521154986,0.03125719033330251,False,0.15189314432689258,0.053824807241141956,True
L448_contrast,TOTAL_FLUX,TSVD,100.0,two_hotspot_trajectories,10,0.030510124039094547,-0.028590891242106866,False,0.01941810601362174,-0.094324175248282,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,two_hotspot_trajectories,10,8.388294994985999e-05,-0.0037578423539924165,False,0.0001520586304200549,-0.00026053235687102536,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,10,-0.01566946326040082,-0.1950355054049973,False,0.05757801051316049,0.012753772272849101,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,10,0.039499125305952246,-0.05848125000465951,False,0.006863794204917395,-0.04840105484001631,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,10,0.0,0.0,False,0.0,0.0,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,10,0.3027739483488475,0.2503696500195194,True,0.3212746857053152,0.2636028051811088,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,10,0.019091276696275833,-0.07331007690044598,False,0.015777563531170574,-0.14681144029620194,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,10,0.014352272781136157,0.006988117426171973,False,0.035047348103628494,0.022259105514673017,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,10,0.06443436207882408,-0.11886325734858473,False,0.13481559488274186,0.04092787595779798,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,10,0.08085764713641505,0.04287571846080645,False,-0.011934412364366046,-0.09411888209475122,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,10,0.0,-0.00013663342940341486,False,0.0,-3.3504022997064766e-05,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,m2_structural_mode,10,0.05682829802340387,-0.015414662419200262,False,0.2109782113762619,0.13489171203293496,True
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,m2_structural_mode,10,-0.07103326980820782,-0.1444865447538426,False,-0.05742335271288808,-0.14320292547553,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,m2_structural_mode,10,0.0,-0.00037621395052159386,False,0.0,-0.00041522438934679244,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,plunging_feature,10,0.10815327174560047,0.06469882159627596,True,0.0872403591270687,0.04707453848327799,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,plunging_feature,10,-0.0490342911438568,-0.07976270890735518,False,-0.018950806503511747,-0.12135209451465256,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,plunging_feature,10,0.0,-0.0005940901513023752,False,0.0,-5.3158689310660365e-05,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,10,0.08595553386736701,0.011445398276404279,False,0.13867336561033158,0.030574892868649638,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,10,0.013097202333877178,-0.054330506623697664,False,-0.012316036836171922,-0.13040120608180025,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,10,5.853758073422897e-05,0.0,False,0.00011121415280153119,0.0,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,10,0.004255609194155398,-0.16480112945099845,False,0.010668641499639715,-0.008376195379720015,False
L448_contrast,TOTAL_FLUX,TSVD,1000.0,circular_hotspot_trajectory,10,0.08140909027050056,-0.014170780282504507,False,0.027804279676933538,-0.04564194958816472,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,circular_hotspot_trajectory,10,0.0,-0.00037105800947191653,False,0.0,-0.0001958740000502854,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,10,0.3734744759021115,0.25946787822703976,True,0.3340121674672374,0.16635338646095177,True
L448_contrast,TOTAL_FLUX,TSVD,1000.0,flare_birth_motion_decay,10,0.06069390933677164,0.003651483168394018,False,0.07934955481200856,-0.06985277107750862,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,flare_birth_motion_decay,10,0.0022925757446049548,-0.00022078964265807513,False,0.004061069209882414,0.0004030776123997101,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,10,0.07335495335906891,-0.1821725929809874,False,0.18401334213530585,0.08571799327399963,True
L448_contrast,TOTAL_FLUX,TSVD,1000.0,m1_rotating_crescent,10,0.10271434515808348,0.06236596731819459,True,0.03409854435969325,-0.00031522447899188263,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,m1_rotating_crescent,10,0.0,-0.00013664840531177574,False,0.0,-0.00015916460842243615,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,m2_structural_mode,10,0.13602426349194274,0.039376315386049576,False,0.23917193343165177,0.15750623368691563,True
L448_contrast,TOTAL_FLUX,TSVD,1000.0,m2_structural_mode,10,-0.02591483078046105,-0.10100754200494369,False,-0.015086502289866972,-0.062431994321179116,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,m2_structural_mode,10,0.0,0.0,False,0.0,-0.0005093020770633791,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,plunging_feature,10,0.04405284822394176,0.024202564452898218,False,0.05778456907884874,0.019636003147773966,False
L448_contrast,TOTAL_FLUX,TSVD,1000.0,plunging_feature,10,0.019706764271233787,-0.003802826474351565,False,0.014011039666705525,-0.005641558059088762,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,plunging_feature,10,0.0022267841657859265,-0.009172161722417086,False,-0.0006423347038840686,-0.012678487573777243,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,10,0.06456096723043081,0.034072210346969625,False,0.16698896001029495,0.0866694401856049,True
L448_contrast,TOTAL_FLUX,TSVD,1000.0,two_hotspot_trajectories,10,0.04985558360866486,-0.005450718974255234,False,0.04104590325395076,-0.08482721883088425,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,10,0.0,-0.004146354094141831,False,7.236595126249701e-05,-2.326600623508398e-05,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,10,-0.02216418472091765,-0.19999398095792012,False,-0.020279388999496613,-0.19999398095792012,False
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,10,0.004514621253245119,-0.106302330841298,False,0.004514621253245119,-0.0985322047448086,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,circular_hotspot_trajectory,10,-5.375274032517556e-05,-0.004611448580967371,False,-5.375274032517556e-05,-0.004611448580967371,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,10,0.38068372699012054,0.19095663294639662,True,0.30370386032285007,0.11387449837534813,True
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,10,-0.01134734932549689,-0.05188948367530734,False,-0.016448722575757975,-0.06795645514981954,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,flare_birth_motion_decay,10,0.010778857365714713,0.0027341122178476227,False,0.015422502208692951,0.007558088689111497,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,m1_rotating_crescent,10,0.20427019910455113,0.029688670734934038,False,0.20414410487981455,0.029688670734934038,False
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,m1_rotating_crescent,10,0.023332734141306,-0.02344723658707707,False,0.023332734141306,-0.01703296457960845,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m1_rotating_crescent,10,0.0,-0.0002874757334382577,False,0.0,-0.0002874757334382577,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,m2_structural_mode,10,0.3203862580181981,0.14643554284190013,True,0.3205181411784329,0.14643554284190013,True
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,m2_structural_mode,10,-0.11415445715797089,-0.1323401889972493,False,-0.11415445715797089,-0.13712939758218448,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,m2_structural_mode,10,-2.8185731413176307e-05,-0.00011576005862009747,False,-2.8185731413176307e-05,-0.00014110245875342345,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,plunging_feature,10,0.11050651463487553,0.08430024437443537,True,0.11375683601436354,0.08535415334907598,True
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,plunging_feature,10,-0.05865793251543552,-0.07265260728000761,False,-0.05912475569327079,-0.08113103516709293,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,plunging_feature,10,-0.00035958615645540517,-0.0017733387496227102,False,-0.0003521667718507965,-0.0019386228513827413,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,10,0.1781662533720802,-0.0063894645459741176,False,0.13381767934006397,-0.006308606402143861,False
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,10,-0.027578260899989035,-0.11666957010737398,False,-0.040038443610817966,-0.17960515270788918,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,two_hotspot_trajectories,10,0.0016191643705250965,0.0,False,0.00013903212130686275,-0.0017767734371646401,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,10,-0.05145824487175919,-0.11529967883549337,False,-0.05145824487175919,-0.11529967883549337,False
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,circular_hotspot_trajectory,10,0.10263507524769525,0.008779007580726809,False,0.10263507524769525,0.008779007580726809,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,circular_hotspot_trajectory,10,-0.024487596777685205,-0.13469452086098455,False,-0.02409777596248947,-0.13469452086098455,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,10,0.3767309115243056,0.06460266655935816,True,0.36728206598979096,0.009097633272806105,False
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,flare_birth_motion_decay,10,-0.03363855018930994,-0.12527744515043432,False,-0.03560547521519593,-0.05219867059457905,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,flare_birth_motion_decay,10,0.09569895459524252,-0.1598985270025698,False,0.012825843342964818,-0.27352562732192764,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,m1_rotating_crescent,10,0.21231739604283278,0.048553880570624985,False,0.21231739604283278,0.048553880570624985,False
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,m1_rotating_crescent,10,0.13077587973717755,0.014549917844600562,False,0.13077587973717755,0.015680395061450178,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,m1_rotating_crescent,10,0.004650274437182054,-0.1772796358382767,False,0.004650274437182054,-0.1772796358382767,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,m2_structural_mode,10,0.24326488823266826,0.16454961152574532,True,0.24641297032133455,0.16454961152574532,True
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,m2_structural_mode,10,-0.11793609291987754,-0.15678644983816753,False,-0.12612700595691217,-0.16697460287411814,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,m2_structural_mode,10,0.09573074747904894,-0.09502084404304868,False,0.09488053125337872,-0.09580694744470107,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,plunging_feature,10,0.09682593472026503,0.07101649566475893,False,0.09697423518890139,0.068806245699307,False
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,plunging_feature,10,0.06614532654639585,0.026486893508140427,False,0.060964056580791515,0.02601863029974125,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,plunging_feature,10,0.15371630437393477,0.03568215897099152,False,0.15799374463981103,0.03434668091634992,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,10,0.13503135579944764,-0.08736646617120505,False,0.1829854553505815,-0.0642754583193268,False
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,two_hotspot_trajectories,10,-0.02837141101825717,-0.0895601691724174,False,-0.030874532849628093,-0.1641848122862224,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,two_hotspot_trajectories,10,-0.07096620751797779,-0.15873887772638728,False,-0.06257726696207612,-0.18172762801953618,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,10,0.0017365064089421324,-0.2017074314360693,False,0.003195556132754242,-0.20105202946771414,False
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,10,0.058505669556815104,-0.023806092786370015,False,0.058505669556815104,-0.023806092786370015,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,circular_hotspot_trajectory,10,0.0,-0.0005126491023652347,False,0.0,-0.0005126491023652347,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,10,0.35974861675338343,0.23144028909783176,True,0.3703867679588796,0.18580257795407304,True
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,10,0.03922702304479989,-0.0704280262997082,False,0.043074611854914895,-0.08098860982353882,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,flare_birth_motion_decay,10,0.012544992749851071,0.0008648535288492029,False,0.0143673819088902,0.0022208222728480925,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,10,0.21496172472301361,0.035703398435279726,False,0.21483313933449322,0.035703398435279726,False
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,10,0.06280809910493458,-0.011739426892893989,False,0.06281666700161632,-0.0024143824551130493,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,m1_rotating_crescent,10,0.0,-0.0003990079655467703,False,0.0,-0.0003990079655467703,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,m2_structural_mode,10,0.31124239205631826,0.14135552925313455,True,0.311475537837436,0.14135552925313455,True
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,m2_structural_mode,10,-0.12050781813780875,-0.15300198686954536,False,-0.12050781813780875,-0.15389017993857815,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,m2_structural_mode,10,0.0,-5.828644527944474e-05,False,0.0,-5.828644527944474e-05,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,plunging_feature,10,0.1062519930137745,0.09118360825372429,True,0.10958267213184364,0.09308230234921132,True
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,plunging_feature,10,-0.015165373007403192,-0.04579735557555661,False,-0.014796857661029676,-0.052194165969774164,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,plunging_feature,10,0.0,-1.9903656348010866e-05,False,0.0,-1.1693013147586421e-05,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,10,0.1771033595716246,0.02082327534003729,False,0.1327488271758958,0.0013987359788380275,False
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,10,-0.02847466371463695,-0.1352730520576844,False,-0.0900831598222813,-0.2477385634798318,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,two_hotspot_trajectories,10,0.0022813791772166073,-7.595125883797187e-05,False,2.8498128472519787e-05,-0.0008864028427524517,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,10,-0.037893380574159564,-0.11166472771489791,False,-0.037893380574159564,-0.11166472771489791,False
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,circular_hotspot_trajectory,10,0.12830626290566294,0.035568846163235,False,0.12400852016029087,0.035568846163235,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,circular_hotspot_trajectory,10,-0.06190827713783624,-0.15665069462775705,False,-0.06214122039377115,-0.15665069462775705,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,10,0.33776189683694524,0.11086019822860142,True,0.34680836171028806,0.05011988783134048,True
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,flare_birth_motion_decay,10,0.0006562202376652251,-0.1645234727080449,False,0.02663867820600422,-0.13635883635354112,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,flare_birth_motion_decay,10,0.20062286417645597,-0.10621809934390253,False,0.05495193050347766,-0.13762672468501094,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,10,0.23202323703259747,0.04061358326389727,False,0.23202323703259747,0.04061358326389727,False
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,m1_rotating_crescent,10,0.13868602507844643,0.01583337594054783,False,0.13868602507844643,0.01583337594054783,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,m1_rotating_crescent,10,0.0026763467169485444,-0.17159742656212246,False,0.0026763467169485444,-0.17159742656212246,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,m2_structural_mode,10,0.24053260457792458,0.15235972205919243,True,0.24053260457792458,0.15235972205919243,True
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,m2_structural_mode,10,-0.11585773854546866,-0.17166804590167462,False,-0.1244715606550291,-0.17166804590167462,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,m2_structural_mode,10,0.07927749288727048,-0.11778846811445041,False,0.07806092518378834,-0.11778846811445041,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,plunging_feature,10,0.1159267617593473,0.09276256344666975,True,0.11349819427808529,0.09675150505363092,True
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,plunging_feature,10,0.07929700242186419,0.06865856386614483,False,0.07731161887029797,0.061939617440842594,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,plunging_feature,10,0.16693009094540856,0.059780574980183146,True,0.16987910190519465,0.05945864603312706,True
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,10,0.1487301237649185,-0.09081551081428724,False,0.17825413742351925,-0.058562229963767067,False
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,two_hotspot_trajectories,10,-0.019589823926278747,-0.09126732929443557,False,-0.027665605288482817,-0.18452144030217044,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,two_hotspot_trajectories,10,-0.058835898813347325,-0.1691158868024093,False,-0.06697730705911291,-0.17335718982817377,False
