family,index,off_manifold,canary,age_M,peak,cardinality,peak_r,peak_phi,peak_amplitude,peak_prominence
two_hotspot_trajectories,0,False,False,0.0,0,2,40.56525264457996,5.988660995905543,0.18684914271044384,0.2478243377377919
two_hotspot_trajectories,0,False,False,0.0,1,2,29.659534639761464,3.436116964863836,0.17963353630386938,0.18847741916834387
two_hotspot_trajectories,0,False,False,2.0,0,2,40.56525264457996,5.988660995905543,0.18695241154625306,0.24792745368519373
two_hotspot_trajectories,0,False,False,2.0,1,2,29.659534639761464,3.436116964863836,0.17943659195642506,0.18830003722338054
two_hotspot_trajectories,0,False,False,4.0,0,2,40.56525264457996,5.988660995905543,0.18701478761815443,0.24798965096652587
two_hotspot_trajectories,0,False,False,4.0,1,2,29.659534639761464,3.3870295796514958,0.17962947034007973,0.18860865056640544
two_hotspot_trajectories,0,False,False,6.0,0,2,40.56525264457996,5.988660995905543,0.18703623999593413,0.2480109083102961
two_hotspot_trajectories,0,False,False,6.0,1,2,29.659534639761464,3.3870295796514958,0.1797033610922719,0.18879154415389612
two_hotspot_trajectories,0,False,False,8.0,0,2,40.56525264457996,5.988660995905543,0.18701675803072096,0.2479913408572419
two_hotspot_trajectories,0,False,False,8.0,1,2,29.659534639761464,3.3870295796514958,0.1796502687923359,0.18881851357329849
two_hotspot_trajectories,0,False,False,10.0,0,2,40.56525264457996,5.988660995905543,0.1869563513935427,0.24793081988311924
two_hotspot_trajectories,0,False,False,10.0,1,2,29.659534639761464,3.3870295796514958,0.1794702835628924,0.1885135953676726
two_hotspot_trajectories,0,False,False,12.0,0,2,40.56525264457996,5.988660995905543,0.1868550500396743,0.24782937632957883
two_hotspot_trajectories,0,False,False,12.0,1,2,29.659534639761464,3.3379421944391554,0.17960995703605154,0.18860239239827586
two_hotspot_trajectories,0,False,False,14.0,0,2,40.56525264457996,5.939573610693203,0.18693505459225293,0.24790921180316122
two_hotspot_trajectories,0,False,False,14.0,1,2,29.659534639761464,3.3379421944391554,0.17970083262755732,0.18880378789093524
two_hotspot_trajectories,0,False,False,16.0,0,2,40.56525264457996,5.939573610693203,0.18700560031551133,0.2479795625742135
two_hotspot_trajectories,0,False,False,16.0,1,2,29.659534639761464,3.3379421944391554,0.1796647294592466,0.1888716869025924
two_hotspot_trajectories,0,False,False,18.0,0,2,40.56525264457996,5.939573610693203,0.18703522690300825,0.2480090372285355
two_hotspot_trajectories,0,False,False,18.0,1,2,29.659534639761464,3.3379421944391554,0.17950170881627567,0.1888063850807422
two_hotspot_trajectories,0,False,False,20.0,0,2,40.56525264457996,5.939573610693203,0.1870239196500309,0.24799762869160358
two_hotspot_trajectories,0,False,False,20.0,1,2,29.659534639761464,3.2888548092268146,0.17958817313547834,0.188825522286662
two_hotspot_trajectories,0,False,False,22.0,0,2,40.56525264457996,5.939573610693203,0.18697168417006502,0.24794526305058792
two_hotspot_trajectories,0,False,False,22.0,1,2,29.659534639761464,3.2888548092268146,0.17969603080445998,0.18881218115856563
two_hotspot_trajectories,0,False,False,24.0,0,2,40.56525264457996,5.939573610693203,0.18687854637350085,0.24785196725248637
two_hotspot_trajectories,0,False,False,24.0,1,2,29.659534639761464,3.2888548092268146,0.1796769178650961,0.18889854917317508
two_hotspot_trajectories,0,False,False,26.0,0,2,40.56525264457996,5.890486225480862,0.18691606701419236,0.24788930307695478
two_hotspot_trajectories,0,False,False,26.0,1,2,29.659534639761464,3.2888548092268146,0.17953086676197358,0.1888516727335299
two_hotspot_trajectories,0,False,False,28.0,0,2,40.56525264457996,5.890486225480862,0.1869947809927069,0.2479678064723611
two_hotspot_trajectories,0,False,False,28.0,1,2,29.659534639761464,3.2397674240144743,0.1795641193002713,0.1889780242316298
two_hotspot_trajectories,0,False,False,30.0,0,2,40.56525264457996,5.890486225480862,0.1870325812021322,0.24800549636694605
two_hotspot_trajectories,0,False,False,30.0,1,2,29.659534639761464,3.2397674240144743,0.1796889557689071,0.1891150448766859
two_hotspot_trajectories,0,False,False,32.0,0,2,40.56525264457996,5.890486225480862,0.18702944888489606,0.24800224734169424
two_hotspot_trajectories,0,False,False,32.0,1,2,29.659534639761464,3.2397674240144743,0.17968683363942126,0.1889893608939649
two_hotspot_trajectories,0,False,False,34.0,0,2,40.56525264457996,5.890486225480862,0.1869853855961878,0.2479580385107943
two_hotspot_trajectories,0,False,False,34.0,1,2,29.659534639761464,3.2397674240144743,0.17955775651418643,0.1888931268053461
two_hotspot_trajectories,0,False,False,36.0,0,2,40.56525264457996,5.890486225480862,0.1869004131977525,0.24787289282779904
