class,arm,estimator,snr0,direct,arm_cost,median_reduction,ci_low,material,n_truths
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.5047432327317296,1.4770722944027341,-0.03869980486892251,-0.14167683607589912,False,17
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.5047432327317296,1.4757099416877575,-0.019093909327655142,-0.039943692735380745,False,17
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.5047432327317296,1.5048290318455395,0.0,-0.00018631599737568155,False,17
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,1.5445407088442615,1.5719650404076002,-0.06046670654547231,-0.14244494209309486,False,17
L448_contrast,TOTAL_FLUX,TSVD,100.0,1.5445407088442615,1.4692656431848317,0.009053742266569431,-0.02816685661126907,False,17
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,1.5445407088442615,1.5420320805048795,5.485546870274326e-05,0.0,False,17
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,1.5053430326214872,1.477173495414407,-0.033496276423736586,-0.12211518574890604,False,17
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,1.5053430326214872,1.4767517018655822,-0.007404084476817804,-0.05422483318441632,False,17
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,1.5053430326214872,1.50610836097139,0.0,0.0,False,17
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,1.5450831368588103,1.573397089464032,-0.061207101633742995,-0.1474211181734782,False,17
L448_contrast,TOTAL_FLUX,TSVD,1000.0,1.5450831368588103,1.4716096708605009,0.02384935130719045,-0.03542217953015578,False,17
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,1.5450831368588103,1.5441722197102068,0.0,0.0,False,17
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.4323920747838932,1.2075161404856698,0.13652694175114452,-0.014377138699635573,False,17
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.4323920747838932,1.4771871364885936,-0.04244293013948335,-0.10684327775990865,False,17
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.4323920747838932,1.4316209588320805,0.0,-4.8686230762498236e-05,False,17
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,1.4925741046721774,1.3019210031782413,0.18678397863237226,-0.08324338770504393,False,17
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,1.4925741046721774,1.465994182984458,-0.004100966689786218,-0.08840985060564459,False,17
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,1.4925741046721774,1.7596014951004582,-0.1669411795240238,-0.3740973393801197,False,17
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,1.4278327114775673,1.203281350698882,0.1591989090878449,0.024075978871738343,False,17
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,1.4278327114775673,1.4682334793876417,-0.0452242328654865,-0.08024545675117072,False,17
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,1.4278327114775673,1.4282320616001922,0.0,-0.00011657289055888949,False,17
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,1.4943817761838432,1.2996430222990094,0.16392693002774752,-0.043567534132992934,False,17
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,1.4943817761838432,1.474341212049134,0.007712605646741076,-0.09573948212346484,False,17
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,1.4943817761838432,1.7216894540443006,-0.15771039156184355,-0.4115240363302507,False,17
