arm,estimator,snr0,selection_regime,selected_hyperparameter,selection_rule,selected_L_stable_anchor,selected_old_band_normalized_error,oracle_hyperparameter,oracle_old_band_normalized_error,oracle_label,n_grid,selection_seconds,freeze_sha256
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,10.0,IN_CLASS_ID,1.0,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",0.0,1.1601363097772526,1.0,1.1601363097772526,ORACLE_UPPER_BOUND,7,0.04654097557067871,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,30.0,IN_CLASS_ID,0.001,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",0.0,0.6465588259169278,0.001,0.6465588259169278,ORACLE_UPPER_BOUND,15,0.08631038665771484,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,RIDGE_IDENTITY,30.0,IN_CLASS_ID,3.162277660168379e-06,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",40.0,0.6753769359891375,1e-06,0.6599081580633631,ORACLE_UPPER_BOUND,21,0.12219405174255371,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,30.0,IN_CLASS_ID,1e-06,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",56.0,1.1311942655700509,9.999999999999999e-06,1.1022260578310905,ORACLE_UPPER_BOUND,21,0.1400623321533203,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,30.0,IN_CLASS_ID,0.03162277660168379,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",0.0,0.27171023373404246,0.03162277660168379,0.27171023373404246,ORACLE_UPPER_BOUND,13,0.07690119743347168,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,LINEAR_STATE_SPACE,30.0,IN_CLASS_ID,1.0,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",0.0,1.1315943727430031,1.0,1.1315943727430031,ORACLE_UPPER_BOUND,7,0.04972505569458008,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TSVD,100.0,IN_CLASS_ID,0.00031622776601683794,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",48.0,0.6324287581857975,9.999999999999999e-05,0.6308700960971505,ORACLE_UPPER_BOUND,15,0.09591555595397949,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,IN_CLASS_ID,1e-07,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",48.0,0.6196289483644608,3.162277660168379e-08,0.6106814324359621,ORACLE_UPPER_BOUND,21,0.16385841369628906,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,TIKHONOV_TEMPORAL,100.0,IN_CLASS_ID,1e-06,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",60.0,1.091378215728908,3.162277660168379e-06,1.0872333404626087,ORACLE_UPPER_BOUND,21,0.13965845108032227,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
DIRECT_PHYSICAL,WIENER_GAUSSIAN,100.0,IN_CLASS_ID,0.03162277660168379,"lexicographic on the repair-validation bank, primary cell (0.25, 0.95)",0.0,0.27733172921829874,0.03162277660168379,0.27733172921829874,ORACLE_UPPER_BOUND,13,0.0832972526550293,5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
