geometry,spin,inclination_deg,arm,support,r_inner,r_outer,rays_per_order,numerical_rank,operational_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information,J_old_at_reference_snr,T_rec_at_reference_snr,T_rec_right_censored
a000_i020,0.0,20,DIRECT_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,133,0,11505.505253437766,3.40425484556201e-07,33797426383.7416,5.721429761583566,40.388661667652826,757383711.5533334,15.015935530161347,20.0,False
a000_i020,0.0,20,DIRECT_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,133,0,11505.505253437766,3.40425484556201e-07,33797426383.7416,5.721429761583566,40.388661667652826,757383711.5533334,15.015935530161347,20.0,False
a000_i020,0.0,20,RESOLVED_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,203,0,11506.557191583122,0.016348267016151895,703839.567840113,5.769277180446952,53.04085090656546,763857251.0570157,67.85788581646776,60.0,False
a000_i020,0.0,20,RESOLVED_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,203,0,11506.557191583122,0.016348267016151895,703839.567840113,5.769277180446952,53.04085090656546,763857251.0570157,67.85788581646776,60.0,False
a000_i020,0.0,20,UNRESOLVED_IMAGE,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,177,0,11430.05611583363,0.0011574115932930285,9875532.768177325,5.712409264552144,42.125444647309166,746304465.0685335,16.48052396125176,20.0,False
a000_i020,0.0,20,UNRESOLVED_IMAGE,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,177,0,11430.05611583363,0.0011574115932930285,9875532.768177325,5.712409264552144,42.125444647309166,746304465.0685335,16.48052396125176,20.0,False
a000_i020,0.0,20,TOTAL_FLUX,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,24,14,200,10282.363041806644,1.5362587216317902e-05,669311939.2601317,1.319502959228324,3.3046880927993763,139507075.81047562,22.42631738194587,20.0,False
a000_i020,0.0,20,TOTAL_FLUX,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,24,14,200,10282.363041806644,1.5362587216317902e-05,669311939.2601317,1.319502959228324,3.3046880927993763,139507075.81047562,22.42631738194587,20.0,False
a000_i020,0.0,20,DELAY_ONLY,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,215,0,11506.898406195676,0.13048353222071235,88186.5949699446,5.763822059408864,54.17414903177748,763180248.919157,67.85788581646776,60.0,False
a000_i020,0.0,20,DELAY_ONLY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,215,0,11506.898406195676,0.13048353222071235,88186.5949699446,5.763822059408864,54.17414903177748,763180248.919157,67.85788581646776,60.0,False
