source_class,arm,snr0,bank,family,index,retarded_age,structure_error_normalized,in_old_band
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,96.0,1.0003255016190615,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,98.0,1.0003775825063586,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,100.0,1.0006952469386414,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,102.0,1.0008137020479555,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,104.0,1.000771592659222,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,106.0,1.0005664904061575,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,108.0,1.0002583425834646,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,110.0,1.0000460288297783,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,112.0,0.999890579575511,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,114.0,0.9998627181061456,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,116.0,0.9999113336523543,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,118.0,0.9999660124084899,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,120.0,1.0000181724758719,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,0.0,0.46229930344887654,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,2.0,0.3890507303090688,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,4.0,0.3195112872765782,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,6.0,0.24619466630474518,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,8.0,0.17935430654818957,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,10.0,0.12839654325795138,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,12.0,0.08779910857015275,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,14.0,0.06112088638386999,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,16.0,0.051167306784266536,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,18.0,0.06317720730589503,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,20.0,0.07280011456311913,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,22.0,0.076085019688352,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,24.0,0.07383799406970577,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,26.0,0.06318491960313738,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,28.0,0.056184767550621156,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,30.0,0.06676748804976795,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,32.0,0.10270934095723017,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,34.0,0.16665011409853545,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,36.0,0.22879467356860475,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,38.0,0.30266764599450785,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,40.0,0.3713361109521825,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,42.0,0.44649336844728926,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,44.0,0.516876406708584,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,46.0,0.5905661713009405,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,48.0,0.651485715322987,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,50.0,0.694109342990804,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,52.0,0.7246718314190632,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,54.0,0.7416293790729982,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,56.0,0.7570223253508734,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,58.0,0.7803587837260756,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,60.0,0.808671988433321,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,62.0,0.8443108521810253,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,64.0,0.8840162270798859,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,66.0,0.9283448532634184,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,68.0,0.968827292738676,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,70.0,0.9915906887694117,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,72.0,1.005002693146865,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,74.0,1.006378005384172,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,76.0,1.0032706885118907,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,78.0,1.000400395398332,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,80.0,0.997905807629003,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,82.0,0.9963558431967625,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,84.0,0.9954206697486958,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,86.0,0.9957212082174376,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,88.0,0.9966388762670839,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,90.0,0.997645925052941,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,92.0,0.9986879696604682,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,94.0,0.9993289174826688,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,96.0,0.9997545719327601,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,98.0,0.9998180237662857,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,100.0,0.9996610407966365,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,102.0,0.9993332034994298,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,104.0,0.9989059520602127,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,106.0,0.9986465639750334,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,108.0,0.9985097890436883,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,110.0,0.998627994368674,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,112.0,0.9989343146713543,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,114.0,0.999277881154728,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,116.0,0.9996592128127801,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,118.0,0.9998349174704716,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,120.0,0.9998620811212212,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,0.0,0.3273790681631058,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,2.0,0.2741571933099654,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,4.0,0.22334433456031086,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,6.0,0.16941139873579217,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,8.0,0.11979875221529353,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,10.0,0.08322675011439198,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,12.0,0.0558617542997252,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,14.0,0.043717091013014256,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,16.0,0.04044610336361651,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,18.0,0.04212399649793584,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,20.0,0.043184768648050105,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,22.0,0.041727089516724034,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,24.0,0.039158554674239565,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,26.0,0.03509625898303304,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,28.0,0.03290864431678542,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,30.0,0.03725691212900946,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,32.0,0.052237189708278314,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,34.0,0.08013606721981019,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,36.0,0.1076014084999784,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,38.0,0.14014799806678646,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,40.0,0.17032842427160644,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,42.0,0.2031162686198524,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,44.0,0.2339219870932657,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,46.0,0.2660136680927435,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,48.0,0.28994814006920144,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,50.0,0.2996018668293811,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,52.0,0.3054290339934403,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,54.0,0.31360481296768905,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,56.0,0.329606916271325,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,58.0,0.3647560210332379,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,60.0,0.40827680968136226,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,62.0,0.4627166326890586,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,64.0,0.5211008857368007,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,66.0,0.5846524284681909,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,68.0,0.6363286273001839,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,70.0,0.6508932562950637,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,72.0,0.6497645798670096,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,74.0,0.6401667848259455,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,76.0,0.633434637930494,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,78.0,0.6491008714540016,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,80.0,0.6807349156778617,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,82.0,0.730533325746178,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,84.0,0.7932963312696655,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,86.0,0.8652741834090049,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,88.0,0.935657040751815,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,90.0,0.9716437945163608,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,92.0,0.9922325430428651,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,94.0,0.9988509213480494,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,96.0,0.9998534221331445,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,98.0,0.9999377398126257,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,100.0,0.9998641222661202,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,102.0,0.9994942686237953,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,104.0,0.9989300268088792,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,106.0,0.9985128455338187,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,108.0,0.9982104630414382,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,110.0,0.9982769061062987,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,112.0,0.9986084049409045,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,114.0,0.9990352731758076,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,116.0,0.9995382337223175,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,118.0,0.9997806676091485,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,120.0,0.9998324364719062,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,0.0,0.5363458309784815,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,2.0,0.4485814135019,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,4.0,0.36347520734788585,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,6.0,0.27139921230413916,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,8.0,0.1849879036589701,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,10.0,0.11873263131145606,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,12.0,0.06522493677154645,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,14.0,0.04102692772457261,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,16.0,0.03802308916460444,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,18.0,0.04603086251629292,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,20.0,0.05162028451798861,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,22.0,0.05288009064692163,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,24.0,0.051408420775245225,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,26.0,0.04610054463555764,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,28.0,0.04038544897994229,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,30.0,0.036563545186229646,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,32.0,0.04322726103637547,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,34.0,0.06523933377657329,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,36.0,0.08844302136940105,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,38.0,0.11668395267096636,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,40.0,0.1424304394323005,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,42.0,0.16947812390308362,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,44.0,0.19467187110773207,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,46.0,0.22084354004948642,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,48.0,0.24148725289086656,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,50.0,0.25358156293187395,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,52.0,0.26364949603286203,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,54.0,0.2764329452625057,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,56.0,0.29436009129666985,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,58.0,0.32441225096627413,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,60.0,0.35946083409389595,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,62.0,0.4012497464222615,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,64.0,0.44579633537582936,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,66.0,0.49448544803022376,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,68.0,0.5372265982500637,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,70.0,0.5608630018182555,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,72.0,0.578362090679138,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,74.0,0.5955190635114925,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,76.0,0.6180271886844098,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,78.0,0.6543075333899097,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,80.0,0.7005743367690752,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,82.0,0.7554946063853362,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,84.0,0.8180530489539217,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,86.0,0.883387622190666,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,88.0,0.9454529385058067,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,90.0,0.9765438572659887,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,92.0,0.9938686540761691,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,94.0,0.9993093424116041,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,96.0,1.000005149994759,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,98.0,1.0000577835858064,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,100.0,1.000079877958886,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,102.0,0.999974448558087,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,104.0,0.9997835619855147,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,106.0,0.9996268658688431,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,108.0,0.9994991465911517,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,110.0,0.9994980042629231,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,112.0,0.9995849925153619,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,114.0,0.9997106940563675,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,116.0,0.9998645910675514,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,118.0,0.9999393146047851,True
