source_class,arm,estimator,snr0,bank,family,index,selected_hyperparameter,old_band_structure_error,running_max_rel_at_age0
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,0,0.001,3.2104705084441507,0.5517950702982077
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,1,0.001,3.6889847413507413,0.8192566969382996
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,2,0.001,4.199761354762671,0.3191052182812383
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,3,0.001,3.416116515255329,0.525113857770354
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,4,0.001,2.7563438524482153,0.5460710983851313
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,5,0.001,5.907379219730964,0.6675307306138716
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,6,0.001,4.0348224277312985,0.580383226084229
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_two_hotspots,7,0.001,2.3953094129250783,0.5482563363603965
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,0,0.001,3.691832422509437,0.45213474127934783
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,1,0.001,3.6252685324627145,0.4219539126334116
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,2,0.001,4.566666272682564,0.41962458308111233
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,3,0.001,6.654078502227442,0.6664383548083024
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,4,0.001,4.096506717621428,0.504975223404846
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,5,0.001,2.801280608929942,0.5953478707157627
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,6,0.001,3.571374437818592,0.40399163964080237
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,circular_crescent,7,0.001,3.444569770466395,0.5163452186855901
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,0,0.001,0.5318277614335719,1.4100871919979023
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,1,0.001,0.7143668518659122,0.9600361358117891
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,2,0.001,1.7844166259124752,0.8240268377410128
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,3,0.001,0.8626724938767993,1.3857555846159488
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,4,0.001,0.9547534104950107,0.6735119021624715
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,5,0.001,1.0694771800462686,1.2626603735092872
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,6,0.001,1.896275917509632,0.7498264220259327
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_050,plunging_hotspot,7,0.001,1.2625794281869798,0.7258573321371343
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,0,0.001,1.7300839955397234,0.22730752117864306
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,1,0.001,4.386827627032957,0.7304822701407174
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,2,0.001,0.8962762773630064,0.801699379443851
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,3,0.001,3.553507424901453,0.19641839424179103
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,4,0.001,1.7989235459216197,0.2898658377048826
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,5,0.001,0.35294200571649464,1.2630915539166794
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,6,0.001,4.70310828296381,0.16090580804124566
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_single_hotspot,7,0.001,1.6714883877219056,0.3828585149944658
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,0,0.001,2.708942543549809,0.5020175320113679
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,1,0.001,2.6764069101270853,0.38819860809110296
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,2,0.001,3.5529483656437426,0.4596619243366893
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,3,0.001,4.073966153956022,0.358902495041691
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,4,0.001,2.557441231506128,0.6875107229824253
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,5,0.001,3.5468704183549757,0.21017173533946887
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,6,0.001,3.0553669756778854,0.33412697006868464
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_two_hotspots,7,0.001,1.8475447078927034,0.6669011726366052
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,0,0.001,3.687942857956019,0.7184484907378914
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,1,0.001,5.112017564361292,0.49748492066543976
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,2,0.001,4.496601588182959,0.4705247224893142
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,3,0.001,4.634184528218606,0.33763933440364424
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,4,0.001,4.394300088506714,0.7380158418229767
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,5,0.001,2.670974480784699,0.39833997307659674
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,6,0.001,4.588255765479707,0.4567752434805238
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,circular_crescent,7,0.001,3.6000993671172843,0.43176731168213534
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,0,0.001,0.8088453663249587,0.6547031150863555
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,1,0.001,1.028211433816908,0.9039254250137402
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,2,0.001,1.1611150131016124,0.7825519447176168
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,3,0.001,1.127573831738619,0.7368919224288367
L224,DIRECT_PHYSICAL,TSVD,100.0,structure_balanced_080,plunging_hotspot,4,0.001,1.0217685111680157,0.7391228753050936
