source_class,arm,snr0,bank,family,index,draw,max_rel_error_from_age0,passes_epsilon_everywhere,pass_to_age_M
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,0,1.0008589002289785,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,1,1.0008564564299558,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,2,1.000776815679224,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,3,1.000762635853664,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,0,1.006891720173557,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,1,1.0044125809534303,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,2,1.0071558377814742,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,3,1.0070518826282264,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,0,0.9999404195330298,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,1,0.9999494976245233,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,2,0.9999358281113998,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,3,0.99992521398155,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,0,1.0000673484691325,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,1,1.000082799859588,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,2,1.0000740078076944,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,3,1.0000953556991283,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,4,0,1.0003566317043815,False,0.0
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,4,1,1.000370264523165,False,0.0
